,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：419yd,Hdcp：5,PAR：5,Reg.：511yd,Hdcp：2,PAR：4,Reg.：363yd,Hdcp：3
1,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
2,難易度3位/9ホール中 平均スコア5.29 平均パット数1.96 パーオン率17.0% フェアウェイ率41.8% OB率13.7% バンカー率37.8%,難易度3位/9ホール中 平均スコア5.29 平均パット数1.96 パーオン率17.0% フェアウェイ率41.8% OB率13.7% バンカー率37.8%,難易度3位/9ホール中 平均スコア5.29 平均パット数1.96 パーオン率17.0% フェアウェイ率41.8% OB率13.7% バンカー率37.8%,難易度1位/9ホール中 平均スコア6.65 平均パット数2.05 パーオン率14.0% フェアウェイ率55.5% OB率30.0% バンカー率28.8%,難易度1位/9ホール中 平均スコア6.65 平均パット数2.05 パーオン率14.0% フェアウェイ率55.5% OB率30.0% バンカー率28.8%,難易度1位/9ホール中 平均スコア6.65 平均パット数2.05 パーオン率14.0% フェアウェイ率55.5% OB率30.0% バンカー率28.8%,難易度2位/9ホール中 平均スコア5.35 平均パット数2.08 パーオン率21.8% フェアウェイ率48.8% OB率24.0% バンカー率29.8%,難易度2位/9ホール中 平均スコア5.35 平均パット数2.08 パーオン率21.8% フェアウェイ率48.8% OB率24.0% バンカー率29.8%,難易度2位/9ホール中 平均スコア5.35 平均パット数2.08 パーオン率21.8% フェアウェイ率48.8% OB率24.0% バンカー率29.8%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：308yd,Hdcp：7,PAR：5,Reg.：456yd,Hdcp：9,PAR：4,Reg.：308yd,Hdcp：1
5,短いミドルホール,短いミドルホール,短いミドルホール,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
6,難易度7位/9ホール中 平均スコア5.13 平均パット数1.92 パーオン率27.8% フェアウェイ率48.8% OB率44.0% バンカー率8.0%,難易度7位/9ホール中 平均スコア5.13 平均パット数1.92 パーオン率27.8% フェアウェイ率48.8% OB率44.0% バンカー率8.0%,難易度7位/9ホール中 平均スコア5.13 平均パット数1.92 パーオン率27.8% フェアウェイ率48.8% OB率44.0% バンカー率8.0%,難易度9位/9ホール中 平均スコア5.81 平均パット数1.94 パーオン率43.8% フェアウェイ率43.8% OB率25.0% バンカー率27.8%,難易度9位/9ホール中 平均スコア5.81 平均パット数1.94 パーオン率43.8% フェアウェイ率43.8% OB率25.0% バンカー率27.8%,難易度9位/9ホール中 平均スコア5.81 平均パット数1.94 パーオン率43.8% フェアウェイ率43.8% OB率25.0% バンカー率27.8%,難易度5位/9ホール中 平均スコア5.04 平均パット数2 パーオン率35.3% フェアウェイ率55.5% OB率16.7% バンカー率25.3%,難易度5位/9ホール中 平均スコア5.04 平均パット数2 パーオン率35.3% フェアウェイ率55.5% OB率16.7% バンカー率25.3%,難易度5位/9ホール中 平均スコア5.04 平均パット数2 パーオン率35.3% フェアウェイ率55.5% OB率16.7% バンカー率25.3%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：185yd,Hdcp：4,PAR：4,Reg.：328yd,Hdcp：8,PAR：3,Reg.：145yd,Hdcp：6
9,池越えのショートホール,池越えのショートホール,池越えのショートホール,短いミドルホール,短いミドルホール,短いミドルホール,池越えのショートホール,池越えのショートホール,池越えのショートホール
10,難易度6位/9ホール中 平均スコア4.18 平均パット数2.01 パーオン率20.5% フェアウェイ率- OB率19.0% バンカー率35.3%,難易度6位/9ホール中 平均スコア4.18 平均パット数2.01 パーオン率20.5% フェアウェイ率- OB率19.0% バンカー率35.3%,難易度6位/9ホール中 平均スコア4.18 平均パット数2.01 パーオン率20.5% フェアウェイ率- OB率19.0% バンカー率35.3%,難易度4位/9ホール中 平均スコア5.18 平均パット数2.1 パーオン率30.5% フェアウェイ率44.0% OB率10.3% バンカー率35.8%,難易度4位/9ホール中 平均スコア5.18 平均パット数2.1 パーオン率30.5% フェアウェイ率44.0% OB率10.3% バンカー率35.8%,難易度4位/9ホール中 平均スコア5.18 平均パット数2.1 パーオン率30.5% フェアウェイ率44.0% OB率10.3% バンカー率35.8%,難易度8位/9ホール中 平均スコア3.97 平均パット数2.03 パーオン率33.0% フェアウェイ率- OB率6.0% バンカー率38.8%,難易度8位/9ホール中 平均スコア3.97 平均パット数2.03 パーオン率33.0% フェアウェイ率- OB率6.0% バンカー率38.8%,難易度8位/9ホール中 平均スコア3.97 平均パット数2.03 パーオン率33.0% フェアウェイ率- OB率6.0% バンカー率38.8%
