,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：399yd,Hdcp：2,PAR：4,Reg.：383yd,Hdcp：7,PAR：4,Reg.：366yd,Hdcp：5
1,右ドッグレッグの打ち上げミドルホール,右ドッグレッグの打ち上げミドルホール,右ドッグレッグの打ち上げミドルホール,第１打は山裾へ　第２打は花道になります,第１打は山裾へ　第２打は花道になります,第１打は山裾へ　第２打は花道になります,クロスバンカーまで１５０Ｙ　やや右目が安全ルート,クロスバンカーまで１５０Ｙ　やや右目が安全ルート,クロスバンカーまで１５０Ｙ　やや右目が安全ルート
2,難易度2位/9ホール中 平均スコア5.69 平均パット数2.04 パーオン率9.3% フェアウェイ率55.5% OB率20.3% バンカー率22.3%,難易度2位/9ホール中 平均スコア5.69 平均パット数2.04 パーオン率9.3% フェアウェイ率55.5% OB率20.3% バンカー率22.3%,難易度2位/9ホール中 平均スコア5.69 平均パット数2.04 パーオン率9.3% フェアウェイ率55.5% OB率20.3% バンカー率22.3%,難易度6位/9ホール中 平均スコア5.29 平均パット数2.08 パーオン率26.5% フェアウェイ率55.0% OB率24.0% バンカー率17.3%,難易度6位/9ホール中 平均スコア5.29 平均パット数2.08 パーオン率26.5% フェアウェイ率55.0% OB率24.0% バンカー率17.3%,難易度6位/9ホール中 平均スコア5.29 平均パット数2.08 パーオン率26.5% フェアウェイ率55.0% OB率24.0% バンカー率17.3%,難易度4位/9ホール中 平均スコア5.38 平均パット数2.06 パーオン率22.0% フェアウェイ率64.0% OB率32.0% バンカー率17.3%,難易度4位/9ホール中 平均スコア5.38 平均パット数2.06 パーオン率22.0% フェアウェイ率64.0% OB率32.0% バンカー率17.3%,難易度4位/9ホール中 平均スコア5.38 平均パット数2.06 パーオン率22.0% フェアウェイ率64.0% OB率32.0% バンカー率17.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：170yd,Hdcp：9,PAR：5,Reg.：503yd,Hdcp：3,PAR：4,Reg.：425yd,Hdcp：1
5,谷越えのショートホール,谷越えのショートホール,谷越えのショートホール,第１打距離のでない人は右の法面狙い,第１打距離のでない人は右の法面狙い,第１打距離のでない人は右の法面狙い,第１打正面左の大きな一本松が目標,第１打正面左の大きな一本松が目標,第１打正面左の大きな一本松が目標
6,難易度8位/9ホール中 平均スコア4.06 平均パット数2.12 パーオン率32.0% フェアウェイ率- OB率28.3% バンカー率14.8%,難易度8位/9ホール中 平均スコア4.06 平均パット数2.12 パーオン率32.0% フェアウェイ率- OB率28.3% バンカー率14.8%,難易度8位/9ホール中 平均スコア4.06 平均パット数2.12 パーオン率32.0% フェアウェイ率- OB率28.3% バンカー率14.8%,難易度1位/9ホール中 平均スコア6.72 平均パット数2.08 パーオン率20.5% フェアウェイ率52.8% OB率43.5% バンカー率10.0%,難易度1位/9ホール中 平均スコア6.72 平均パット数2.08 パーオン率20.5% フェアウェイ率52.8% OB率43.5% バンカー率10.0%,難易度1位/9ホール中 平均スコア6.72 平均パット数2.08 パーオン率20.5% フェアウェイ率52.8% OB率43.5% バンカー率10.0%,難易度3位/9ホール中 平均スコア5.72 平均パット数2.07 パーオン率10.3% フェアウェイ率51.0% OB率37.8% バンカー率13.3%,難易度3位/9ホール中 平均スコア5.72 平均パット数2.07 パーオン率10.3% フェアウェイ率51.0% OB率37.8% バンカー率13.3%,難易度3位/9ホール中 平均スコア5.72 平均パット数2.07 パーオン率10.3% フェアウェイ率51.0% OB率37.8% バンカー率13.3%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：405yd,Hdcp：4,PAR：3,Reg.：164yd,Hdcp：8,PAR：5,Reg.：492yd,Hdcp：6
9,切り通しの打ち下ろしミドルホール,切り通しの打ち下ろしミドルホール,切り通しの打ち下ろしミドルホール,池に囲まれ４つのバンカーにガードされた名物ホール,池に囲まれ４つのバンカーにガードされた名物ホール,池に囲まれ４つのバンカーにガードされた名物ホール,右手の時計台が狙い目　フックボールは禁物,右手の時計台が狙い目　フックボールは禁物,右手の時計台が狙い目　フックボールは禁物
10,難易度7位/9ホール中 平均スコア5.28 平均パット数2.11 パーオン率28.8% フェアウェイ率59.0% OB率25.3% バンカー率20.3%,難易度7位/9ホール中 平均スコア5.28 平均パット数2.11 パーオン率28.8% フェアウェイ率59.0% OB率25.3% バンカー率20.3%,難易度7位/9ホール中 平均スコア5.28 平均パット数2.11 パーオン率28.8% フェアウェイ率59.0% OB率25.3% バンカー率20.3%,難易度9位/9ホール中 平均スコア3.88 平均パット数1.99 パーオン率40.8% フェアウェイ率- OB率12.7% バンカー率13.5%,難易度9位/9ホール中 平均スコア3.88 平均パット数1.99 パーオン率40.8% フェアウェイ率- OB率12.7% バンカー率13.5%,難易度9位/9ホール中 平均スコア3.88 平均パット数1.99 パーオン率40.8% フェアウェイ率- OB率12.7% バンカー率13.5%,難易度5位/9ホール中 平均スコア6.27 平均パット数2.03 パーオン率31.0% フェアウェイ率55.8% OB率39.8% バンカー率17.3%,難易度5位/9ホール中 平均スコア6.27 平均パット数2.03 パーオン率31.0% フェアウェイ率55.8% OB率39.8% バンカー率17.3%,難易度5位/9ホール中 平均スコア6.27 平均パット数2.03 パーオン率31.0% フェアウェイ率55.8% OB率39.8% バンカー率17.3%
