,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：364yd,Hdcp：5,PAR：4,Reg.：362yd,Hdcp：8,PAR：5,Reg.：562yd,Hdcp：2
1,セカンドより下って落下地点が見えにくい,セカンドより下って落下地点が見えにくい,セカンドより下って落下地点が見えにくい,右ドッグレッグのミドル　右側ＯＢは見た目より近い,右ドッグレッグのミドル　右側ＯＢは見た目より近い,右ドッグレッグのミドル　右側ＯＢは見た目より近い,長いロング　左右にＯＢだが広めなので気にせず,長いロング　左右にＯＢだが広めなので気にせず,長いロング　左右にＯＢだが広めなので気にせず
2,難易度7位/9ホール中 平均スコア5.29 平均パット数2.15 パーオン率23.3% フェアウェイ率60.0% OB率100.0% バンカー率54.0%,難易度7位/9ホール中 平均スコア5.29 平均パット数2.15 パーオン率23.3% フェアウェイ率60.0% OB率100.0% バンカー率54.0%,難易度7位/9ホール中 平均スコア5.29 平均パット数2.15 パーオン率23.3% フェアウェイ率60.0% OB率100.0% バンカー率54.0%,難易度5位/9ホール中 平均スコア5.51 平均パット数2.05 パーオン率43.3% フェアウェイ率58.5% OB率40.0% バンカー率62.5%,難易度5位/9ホール中 平均スコア5.51 平均パット数2.05 パーオン率43.3% フェアウェイ率58.5% OB率40.0% バンカー率62.5%,難易度5位/9ホール中 平均スコア5.51 平均パット数2.05 パーオン率43.3% フェアウェイ率58.5% OB率40.0% バンカー率62.5%,難易度1位/9ホール中 平均スコア7.01 平均パット数2.3 パーオン率25.0% フェアウェイ率80.0% OB率33.0% バンカー率100.0%,難易度1位/9ホール中 平均スコア7.01 平均パット数2.3 パーオン率25.0% フェアウェイ率80.0% OB率33.0% バンカー率100.0%,難易度1位/9ホール中 平均スコア7.01 平均パット数2.3 パーオン率25.0% フェアウェイ率80.0% OB率33.0% バンカー率100.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：178yd,Hdcp：4,PAR：5,Reg.：515yd,Hdcp：7,PAR：4,Reg.：350yd,Hdcp：1
5,打ち下ろしのバーディが取りやすいショートホール,打ち下ろしのバーディが取りやすいショートホール,打ち下ろしのバーディが取りやすいショートホール,右側ＯＢの打ち下ろしロングホール,右側ＯＢの打ち下ろしロングホール,右側ＯＢの打ち下ろしロングホール,高低差約２ｍある２段グリーンの名物ミドルホール,高低差約２ｍある２段グリーンの名物ミドルホール,高低差約２ｍある２段グリーンの名物ミドルホール
6,難易度8位/9ホール中 平均スコア4 平均パット数1.95 パーオン率30.0% フェアウェイ率- OB率33.0% バンカー率67.0%,難易度8位/9ホール中 平均スコア4 平均パット数1.95 パーオン率30.0% フェアウェイ率- OB率33.0% バンカー率67.0%,難易度8位/9ホール中 平均スコア4 平均パット数1.95 パーオン率30.0% フェアウェイ率- OB率33.0% バンカー率67.0%,難易度6位/9ホール中 平均スコア6.48 平均パット数2.24 パーオン率55.0% フェアウェイ率90.0% OB率32.0% バンカー率-,難易度6位/9ホール中 平均スコア6.48 平均パット数2.24 パーオン率55.0% フェアウェイ率90.0% OB率32.0% バンカー率-,難易度6位/9ホール中 平均スコア6.48 平均パット数2.24 パーオン率55.0% フェアウェイ率90.0% OB率32.0% バンカー率-,難易度2位/9ホール中 平均スコア5.94 平均パット数2.41 パーオン率17.5% フェアウェイ率63.3% OB率- バンカー率14.0%,難易度2位/9ホール中 平均スコア5.94 平均パット数2.41 パーオン率17.5% フェアウェイ率63.3% OB率- バンカー率14.0%,難易度2位/9ホール中 平均スコア5.94 平均パット数2.41 パーオン率17.5% フェアウェイ率63.3% OB率- バンカー率14.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：176yd,Hdcp：6,PAR：4,Reg.：380yd,Hdcp：9,PAR：4,Reg.：366yd,Hdcp：3
9,やや打ち上げの距離のあるショートホール,やや打ち上げの距離のあるショートホール,やや打ち上げの距離のあるショートホール,打ち下ろしのミドルホール,打ち下ろしのミドルホール,打ち下ろしのミドルホール,比較的短めのミドルホール　グリーンは馬の背,比較的短めのミドルホール　グリーンは馬の背,比較的短めのミドルホール　グリーンは馬の背
10,難易度9位/9ホール中 平均スコア4.09 平均パット数1.99 パーオン率15.0% フェアウェイ率- OB率50.0% バンカー率100.0%,難易度9位/9ホール中 平均スコア4.09 平均パット数1.99 パーオン率15.0% フェアウェイ率- OB率50.0% バンカー率100.0%,難易度9位/9ホール中 平均スコア4.09 平均パット数1.99 パーオン率15.0% フェアウェイ率- OB率50.0% バンカー率100.0%,難易度4位/9ホール中 平均スコア5.22 平均パット数2.17 パーオン率61.7% フェアウェイ率48.0% OB率- バンカー率54.7%,難易度4位/9ホール中 平均スコア5.22 平均パット数2.17 パーオン率61.7% フェアウェイ率48.0% OB率- バンカー率54.7%,難易度4位/9ホール中 平均スコア5.22 平均パット数2.17 パーオン率61.7% フェアウェイ率48.0% OB率- バンカー率54.7%,難易度3位/9ホール中 平均スコア5.34 平均パット数2.09 パーオン率42.5% フェアウェイ率85.0% OB率33.0% バンカー率-,難易度3位/9ホール中 平均スコア5.34 平均パット数2.09 パーオン率42.5% フェアウェイ率85.0% OB率33.0% バンカー率-,難易度3位/9ホール中 平均スコア5.34 平均パット数2.09 パーオン率42.5% フェアウェイ率85.0% OB率33.0% バンカー率-
