,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：360yd,Hdcp：8,PAR：4,Reg.：348yd,Hdcp：5,PAR：3,Reg.：184yd,Hdcp：2
1,距離短めの打ちおろしミドル,距離短めの打ちおろしミドル,距離短めの打ちおろしミドル,左側大きな池に浮島がある打ちおろしのミドル,左側大きな池に浮島がある打ちおろしのミドル,左側大きな池に浮島がある打ちおろしのミドル,大きな池越えのショートホール,大きな池越えのショートホール,大きな池越えのショートホール
2,難易度9位/9ホール中 平均スコア5.67 平均パット数2.3 パーオン率32.0% フェアウェイ率50.7% OB率- バンカー率30.0%,難易度9位/9ホール中 平均スコア5.67 平均パット数2.3 パーオン率32.0% フェアウェイ率50.7% OB率- バンカー率30.0%,難易度9位/9ホール中 平均スコア5.67 平均パット数2.3 パーオン率32.0% フェアウェイ率50.7% OB率- バンカー率30.0%,難易度1位/9ホール中 平均スコア5.85 平均パット数2.28 パーオン率16.0% フェアウェイ率32.5% OB率- バンカー率-,難易度1位/9ホール中 平均スコア5.85 平均パット数2.28 パーオン率16.0% フェアウェイ率32.5% OB率- バンカー率-,難易度1位/9ホール中 平均スコア5.85 平均パット数2.28 パーオン率16.0% フェアウェイ率32.5% OB率- バンカー率-,難易度5位/9ホール中 平均スコア4.03 平均パット数1.96 パーオン率28.0% フェアウェイ率- OB率100.0% バンカー率26.0%,難易度5位/9ホール中 平均スコア4.03 平均パット数1.96 パーオン率28.0% フェアウェイ率- OB率100.0% バンカー率26.0%,難易度5位/9ホール中 平均スコア4.03 平均パット数1.96 パーオン率28.0% フェアウェイ率- OB率100.0% バンカー率26.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：5,Reg.：536yd,Hdcp：7,PAR：4,Reg.：368yd,Hdcp：1,PAR：4,Reg.：393yd,Hdcp：4
5,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,セカンドから打ち上げのミドル,セカンドから打ち上げのミドル,セカンドから打ち上げのミドル,少し長めのミドルホール,少し長めのミドルホール,少し長めのミドルホール
6,難易度2位/9ホール中 平均スコア6.59 平均パット数2.02 パーオン率35.3% フェアウェイ率59.7% OB率61.7% バンカー率9.0%,難易度2位/9ホール中 平均スコア6.59 平均パット数2.02 パーオン率35.3% フェアウェイ率59.7% OB率61.7% バンカー率9.0%,難易度2位/9ホール中 平均スコア6.59 平均パット数2.02 パーオン率35.3% フェアウェイ率59.7% OB率61.7% バンカー率9.0%,難易度4位/9ホール中 平均スコア5.45 平均パット数2.09 パーオン率30.7% フェアウェイ率64.0% OB率- バンカー率25.0%,難易度4位/9ホール中 平均スコア5.45 平均パット数2.09 パーオン率30.7% フェアウェイ率64.0% OB率- バンカー率25.0%,難易度4位/9ホール中 平均スコア5.45 平均パット数2.09 パーオン率30.7% フェアウェイ率64.0% OB率- バンカー率25.0%,難易度6位/9ホール中 平均スコア5.1 平均パット数1.78 パーオン率51.5% フェアウェイ率54.3% OB率- バンカー率66.5%,難易度6位/9ホール中 平均スコア5.1 平均パット数1.78 パーオン率51.5% フェアウェイ率54.3% OB率- バンカー率66.5%,難易度6位/9ホール中 平均スコア5.1 平均パット数1.78 パーオン率51.5% フェアウェイ率54.3% OB率- バンカー率66.5%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：5,Reg.：533yd,Hdcp：3,PAR：3,Reg.：180yd,Hdcp：6,PAR：4,Reg.：372yd,Hdcp：9
9,少し長めのロングホール,少し長めのロングホール,少し長めのロングホール,距離のあるショートホール,距離のあるショートホール,距離のあるショートホール,右は大きな池、左は斜面下のミドル,右は大きな池、左は斜面下のミドル,右は大きな池、左は斜面下のミドル
10,難易度8位/9ホール中 平均スコア7.02 平均パット数2.05 パーオン率29.3% フェアウェイ率36.0% OB率- バンカー率34.0%,難易度8位/9ホール中 平均スコア7.02 平均パット数2.05 パーオン率29.3% フェアウェイ率36.0% OB率- バンカー率34.0%,難易度8位/9ホール中 平均スコア7.02 平均パット数2.05 パーオン率29.3% フェアウェイ率36.0% OB率- バンカー率34.0%,難易度7位/9ホール中 平均スコア4.18 平均パット数1.92 パーオン率13.5% フェアウェイ率- OB率- バンカー率60.0%,難易度7位/9ホール中 平均スコア4.18 平均パット数1.92 パーオン率13.5% フェアウェイ率- OB率- バンカー率60.0%,難易度7位/9ホール中 平均スコア4.18 平均パット数1.92 パーオン率13.5% フェアウェイ率- OB率- バンカー率60.0%,難易度3位/9ホール中 平均スコア5.2 平均パット数1.99 パーオン率30.7% フェアウェイ率84.5% OB率10.0% バンカー率40.0%,難易度3位/9ホール中 平均スコア5.2 平均パット数1.99 パーオン率30.7% フェアウェイ率84.5% OB率10.0% バンカー率40.0%,難易度3位/9ホール中 平均スコア5.2 平均パット数1.99 パーオン率30.7% フェアウェイ率84.5% OB率10.0% バンカー率40.0%
