,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：366yd,Hdcp：4,PAR：3,Reg.：203yd,Hdcp：10,PAR：4,Reg.：346yd,Hdcp：16
1,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,距離が長く難易度の高いショートホール,距離が長く難易度の高いショートホール,距離が長く難易度の高いショートホール,距離の短いミドルホール,距離の短いミドルホール,距離の短いミドルホール
2,難易度9位/18ホール中 平均スコア5.35 平均パット数1.81 パーオン率12.3% フェアウェイ率44.3% OB率39.3% バンカー率4.0%,難易度9位/18ホール中 平均スコア5.35 平均パット数1.81 パーオン率12.3% フェアウェイ率44.3% OB率39.3% バンカー率4.0%,難易度9位/18ホール中 平均スコア5.35 平均パット数1.81 パーオン率12.3% フェアウェイ率44.3% OB率39.3% バンカー率4.0%,難易度17位/18ホール中 平均スコア3.99 平均パット数1.84 パーオン率17.0% フェアウェイ率- OB率6.0% バンカー率14.5%,難易度17位/18ホール中 平均スコア3.99 平均パット数1.84 パーオン率17.0% フェアウェイ率- OB率6.0% バンカー率14.5%,難易度17位/18ホール中 平均スコア3.99 平均パット数1.84 パーオン率17.0% フェアウェイ率- OB率6.0% バンカー率14.5%,難易度6位/18ホール中 平均スコア5.46 平均パット数1.93 パーオン率15.5% フェアウェイ率46.0% OB率36.8% バンカー率8.3%,難易度6位/18ホール中 平均スコア5.46 平均パット数1.93 パーオン率15.5% フェアウェイ率46.0% OB率36.8% バンカー率8.3%,難易度6位/18ホール中 平均スコア5.46 平均パット数1.93 パーオン率15.5% フェアウェイ率46.0% OB率36.8% バンカー率8.3%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：3,Reg.：163yd,Hdcp：14,PAR：5,Reg.：466yd,Hdcp：2,PAR：4,Reg.：417yd,Hdcp：8
5,少し打ち下ろしのショートホール,少し打ち下ろしのショートホール,少し打ち下ろしのショートホール,少し打ち下ろしのロングホール,少し打ち下ろしのロングホール,少し打ち下ろしのロングホール,真っ直ぐな打ち下ろしのミドルホール,真っ直ぐな打ち下ろしのミドルホール,真っ直ぐな打ち下ろしのミドルホール
6,難易度14位/18ホール中 平均スコア4.14 平均パット数1.9 パーオン率16.3% フェアウェイ率- OB率19.0% バンカー率25.8%,難易度14位/18ホール中 平均スコア4.14 平均パット数1.9 パーオン率16.3% フェアウェイ率- OB率19.0% バンカー率25.8%,難易度14位/18ホール中 平均スコア4.14 平均パット数1.9 パーオン率16.3% フェアウェイ率- OB率19.0% バンカー率25.8%,難易度10位/18ホール中 平均スコア6.32 平均パット数1.86 パーオン率21.0% フェアウェイ率45.3% OB率20.5% バンカー率23.8%,難易度10位/18ホール中 平均スコア6.32 平均パット数1.86 パーオン率21.0% フェアウェイ率45.3% OB率20.5% バンカー率23.8%,難易度10位/18ホール中 平均スコア6.32 平均パット数1.86 パーオン率21.0% フェアウェイ率45.3% OB率20.5% バンカー率23.8%,難易度12位/18ホール中 平均スコア5.26 平均パット数1.88 パーオン率19.5% フェアウェイ率49.0% OB率9.8% バンカー率21.0%,難易度12位/18ホール中 平均スコア5.26 平均パット数1.88 パーオン率19.5% フェアウェイ率49.0% OB率9.8% バンカー率21.0%,難易度12位/18ホール中 平均スコア5.26 平均パット数1.88 パーオン率19.5% フェアウェイ率49.0% OB率9.8% バンカー率21.0%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：419yd,Hdcp：6,PAR：4,Reg.：355yd,Hdcp：18,PAR：5,Reg.：477yd,Hdcp：12
9,打上げで距離もあるミドル　手前がＬ（左）グリーン,打上げで距離もあるミドル　手前がＬ（左）グリーン,打上げで距離もあるミドル　手前がＬ（左）グリーン,打ち下ろしのミドルホール,打ち下ろしのミドルホール,打ち下ろしのミドルホール,少し打ち下ろしのロングホール,少し打ち下ろしのロングホール,少し打ち下ろしのロングホール
10,難易度3位/18ホール中 平均スコア5.5 平均パット数1.93 パーオン率11.3% フェアウェイ率50.8% OB率20.3% バンカー率13.5%,難易度3位/18ホール中 平均スコア5.5 平均パット数1.93 パーオン率11.3% フェアウェイ率50.8% OB率20.3% バンカー率13.5%,難易度3位/18ホール中 平均スコア5.5 平均パット数1.93 パーオン率11.3% フェアウェイ率50.8% OB率20.3% バンカー率13.5%,難易度11位/18ホール中 平均スコア5.27 平均パット数1.89 パーオン率19.3% フェアウェイ率47.3% OB率36.8% バンカー率11.8%,難易度11位/18ホール中 平均スコア5.27 平均パット数1.89 パーオン率19.3% フェアウェイ率47.3% OB率36.8% バンカー率11.8%,難易度11位/18ホール中 平均スコア5.27 平均パット数1.89 パーオン率19.3% フェアウェイ率47.3% OB率36.8% バンカー率11.8%,難易度2位/18ホール中 平均スコア6.54 平均パット数1.83 パーオン率15.5% フェアウェイ率47.5% OB率27.0% バンカー率12.5%,難易度2位/18ホール中 平均スコア6.54 平均パット数1.83 パーオン率15.5% フェアウェイ率47.5% OB率27.0% バンカー率12.5%,難易度2位/18ホール中 平均スコア6.54 平均パット数1.83 パーオン率15.5% フェアウェイ率47.5% OB率27.0% バンカー率12.5%
