,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：376yd,Hdcp：7,PAR：5,Reg.：480yd,Hdcp：11,PAR：3,Reg.：167yd,Hdcp：5
1,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,ティグランドが６段ある打ち下ろしのショートホール,ティグランドが６段ある打ち下ろしのショートホール,ティグランドが６段ある打ち下ろしのショートホール
2,難易度4位/18ホール中 平均スコア5.5 平均パット数2 パーオン率13.8% フェアウェイ率43.8% OB率35.3% バンカー率29.8%,難易度4位/18ホール中 平均スコア5.5 平均パット数2 パーオン率13.8% フェアウェイ率43.8% OB率35.3% バンカー率29.8%,難易度4位/18ホール中 平均スコア5.5 平均パット数2 パーオン率13.8% フェアウェイ率43.8% OB率35.3% バンカー率29.8%,難易度5位/18ホール中 平均スコア6.47 平均パット数1.88 パーオン率20.5% フェアウェイ率44.8% OB率51.3% バンカー率20.3%,難易度5位/18ホール中 平均スコア6.47 平均パット数1.88 パーオン率20.5% フェアウェイ率44.8% OB率51.3% バンカー率20.3%,難易度5位/18ホール中 平均スコア6.47 平均パット数1.88 パーオン率20.5% フェアウェイ率44.8% OB率51.3% バンカー率20.3%,難易度15位/18ホール中 平均スコア4.13 平均パット数1.98 パーオン率24.5% フェアウェイ率- OB率32.8% バンカー率32.3%,難易度15位/18ホール中 平均スコア4.13 平均パット数1.98 パーオン率24.5% フェアウェイ率- OB率32.8% バンカー率32.3%,難易度15位/18ホール中 平均スコア4.13 平均パット数1.98 パーオン率24.5% フェアウェイ率- OB率32.8% バンカー率32.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：324yd,Hdcp：3,PAR：4,Reg.：359yd,Hdcp：1,PAR：4,Reg.：346yd,Hdcp：15
5,左右がＯＢで打ち上げのミドルホール,左右がＯＢで打ち上げのミドルホール,左右がＯＢで打ち上げのミドルホール,第1打打ちおろし、第2打は打ち上げのミドルホール,第1打打ちおろし、第2打は打ち上げのミドルホール,第1打打ちおろし、第2打は打ち上げのミドルホール,クリーク越えのミドルホール,クリーク越えのミドルホール,クリーク越えのミドルホール
6,難易度7位/18ホール中 平均スコア5.45 平均パット数1.99 パーオン率19.8% フェアウェイ率47.3% OB率44.5% バンカー率25.5%,難易度7位/18ホール中 平均スコア5.45 平均パット数1.99 パーオン率19.8% フェアウェイ率47.3% OB率44.5% バンカー率25.5%,難易度7位/18ホール中 平均スコア5.45 平均パット数1.99 パーオン率19.8% フェアウェイ率47.3% OB率44.5% バンカー率25.5%,難易度3位/18ホール中 平均スコア5.52 平均パット数1.97 パーオン率14.8% フェアウェイ率48.3% OB率40.5% バンカー率36.8%,難易度3位/18ホール中 平均スコア5.52 平均パット数1.97 パーオン率14.8% フェアウェイ率48.3% OB率40.5% バンカー率36.8%,難易度3位/18ホール中 平均スコア5.52 平均パット数1.97 パーオン率14.8% フェアウェイ率48.3% OB率40.5% バンカー率36.8%,難易度9位/18ホール中 平均スコア5.36 平均パット数1.95 パーオン率21.3% フェアウェイ率58.0% OB率31.3% バンカー率23.8%,難易度9位/18ホール中 平均スコア5.36 平均パット数1.95 パーオン率21.3% フェアウェイ率58.0% OB率31.3% バンカー率23.8%,難易度9位/18ホール中 平均スコア5.36 平均パット数1.95 パーオン率21.3% フェアウェイ率58.0% OB率31.3% バンカー率23.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：5,Reg.：499yd,Hdcp：9,PAR：3,Reg.：129yd,Hdcp：17,PAR：4,Reg.：389yd,Hdcp：13
9,広く見通しの良いロングホール,広く見通しの良いロングホール,広く見通しの良いロングホール,グリーンまわりのバンカーが意外と深いショート,グリーンまわりのバンカーが意外と深いショート,グリーンまわりのバンカーが意外と深いショート,打ち下ろしのミドルホール,打ち下ろしのミドルホール,打ち下ろしのミドルホール
10,難易度8位/18ホール中 平均スコア6.34 平均パット数2 パーオン率26.8% フェアウェイ率56.8% OB率30.5% バンカー率28.5%,難易度8位/18ホール中 平均スコア6.34 平均パット数2 パーオン率26.8% フェアウェイ率56.8% OB率30.5% バンカー率28.5%,難易度8位/18ホール中 平均スコア6.34 平均パット数2 パーオン率26.8% フェアウェイ率56.8% OB率30.5% バンカー率28.5%,難易度18位/18ホール中 平均スコア3.9 平均パット数1.97 パーオン率32.8% フェアウェイ率- OB率6.5% バンカー率49.3%,難易度18位/18ホール中 平均スコア3.9 平均パット数1.97 パーオン率32.8% フェアウェイ率- OB率6.5% バンカー率49.3%,難易度18位/18ホール中 平均スコア3.9 平均パット数1.97 パーオン率32.8% フェアウェイ率- OB率6.5% バンカー率49.3%,難易度10位/18ホール中 平均スコア5.37 平均パット数1.99 パーオン率16.8% フェアウェイ率53.5% OB率32.3% バンカー率33.5%,難易度10位/18ホール中 平均スコア5.37 平均パット数1.99 パーオン率16.8% フェアウェイ率53.5% OB率32.3% バンカー率33.5%,難易度10位/18ホール中 平均スコア5.37 平均パット数1.99 パーオン率16.8% フェアウェイ率53.5% OB率32.3% バンカー率33.5%
