,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：368yd,Hdcp：3,PAR：4,Reg.：384yd,Hdcp：15,PAR：3,Reg.：158yd,Hdcp：9
1,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,長いミドルホール,長いミドルホール,長いミドルホール,池越えのショートホール,池越えのショートホール,池越えのショートホール
2,難易度7位/18ホール中 平均スコア5.3 平均パット数2.04 パーオン率27.0% フェアウェイ率45.3% OB率17.0% バンカー率28.8%,難易度7位/18ホール中 平均スコア5.3 平均パット数2.04 パーオン率27.0% フェアウェイ率45.3% OB率17.0% バンカー率28.8%,難易度7位/18ホール中 平均スコア5.3 平均パット数2.04 パーオン率27.0% フェアウェイ率45.3% OB率17.0% バンカー率28.8%,難易度12位/18ホール中 平均スコア5.22 平均パット数1.89 パーオン率20.5% フェアウェイ率39.5% OB率23.3% バンカー率29.8%,難易度12位/18ホール中 平均スコア5.22 平均パット数1.89 パーオン率20.5% フェアウェイ率39.5% OB率23.3% バンカー率29.8%,難易度12位/18ホール中 平均スコア5.22 平均パット数1.89 パーオン率20.5% フェアウェイ率39.5% OB率23.3% バンカー率29.8%,難易度15位/18ホール中 平均スコア4.1 平均パット数2.01 パーオン率33.5% フェアウェイ率- OB率19.3% バンカー率18.0%,難易度15位/18ホール中 平均スコア4.1 平均パット数2.01 パーオン率33.5% フェアウェイ率- OB率19.3% バンカー率18.0%,難易度15位/18ホール中 平均スコア4.1 平均パット数2.01 パーオン率33.5% フェアウェイ率- OB率19.3% バンカー率18.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：287yd,Hdcp：7,PAR：5,Reg.：451yd,Hdcp：13,PAR：4,Reg.：382yd,Hdcp：1
5,短いミドルホール,短いミドルホール,短いミドルホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,長いミドルホール,長いミドルホール,長いミドルホール
6,難易度13位/18ホール中 平均スコア5.2 平均パット数2.03 パーオン率34.0% フェアウェイ率34.5% OB率41.8% バンカー率27.5%,難易度13位/18ホール中 平均スコア5.2 平均パット数2.03 パーオン率34.0% フェアウェイ率34.5% OB率41.8% バンカー率27.5%,難易度13位/18ホール中 平均スコア5.2 平均パット数2.03 パーオン率34.0% フェアウェイ率34.5% OB率41.8% バンカー率27.5%,難易度8位/18ホール中 平均スコア6.25 平均パット数2.07 パーオン率35.5% フェアウェイ率42.5% OB率38.3% バンカー率21.5%,難易度8位/18ホール中 平均スコア6.25 平均パット数2.07 パーオン率35.5% フェアウェイ率42.5% OB率38.3% バンカー率21.5%,難易度8位/18ホール中 平均スコア6.25 平均パット数2.07 パーオン率35.5% フェアウェイ率42.5% OB率38.3% バンカー率21.5%,難易度3位/18ホール中 平均スコア5.37 平均パット数1.99 パーオン率16.8% フェアウェイ率45.5% OB率26.8% バンカー率25.8%,難易度3位/18ホール中 平均スコア5.37 平均パット数1.99 パーオン率16.8% フェアウェイ率45.5% OB率26.8% バンカー率25.8%,難易度3位/18ホール中 平均スコア5.37 平均パット数1.99 パーオン率16.8% フェアウェイ率45.5% OB率26.8% バンカー率25.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：351yd,Hdcp：11,PAR：3,Reg.：150yd,Hdcp：17,PAR：5,Reg.：494yd,Hdcp：5
9,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,池越えのショートホール,池越えのショートホール,池越えのショートホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール
10,難易度9位/18ホール中 平均スコア5.27 平均パット数2.02 パーオン率24.0% フェアウェイ率39.8% OB率14.0% バンカー率48.8%,難易度9位/18ホール中 平均スコア5.27 平均パット数2.02 パーオン率24.0% フェアウェイ率39.8% OB率14.0% バンカー率48.8%,難易度9位/18ホール中 平均スコア5.27 平均パット数2.02 パーオン率24.0% フェアウェイ率39.8% OB率14.0% バンカー率48.8%,難易度17位/18ホール中 平均スコア3.87 平均パット数2.02 パーオン率39.3% フェアウェイ率- OB率15.8% バンカー率41.5%,難易度17位/18ホール中 平均スコア3.87 平均パット数2.02 パーオン率39.3% フェアウェイ率- OB率15.8% バンカー率41.5%,難易度17位/18ホール中 平均スコア3.87 平均パット数2.02 パーオン率39.3% フェアウェイ率- OB率15.8% バンカー率41.5%,難易度10位/18ホール中 平均スコア6.23 平均パット数1.95 パーオン率29.8% フェアウェイ率40.5% OB率27.0% バンカー率44.5%,難易度10位/18ホール中 平均スコア6.23 平均パット数1.95 パーオン率29.8% フェアウェイ率40.5% OB率27.0% バンカー率44.5%,難易度10位/18ホール中 平均スコア6.23 平均パット数1.95 パーオン率29.8% フェアウェイ率40.5% OB率27.0% バンカー率44.5%
