,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：355yd,Hdcp：9,PAR：3,Reg.：147yd,Hdcp：17,PAR：4,Reg.：373yd,Hdcp：11
1,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,,,,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
2,難易度7位/18ホール中 平均スコア5.39 平均パット数2.03 パーオン率16.0% フェアウェイ率58.8% OB率7.3% バンカー率38.5%,難易度7位/18ホール中 平均スコア5.39 平均パット数2.03 パーオン率16.0% フェアウェイ率58.8% OB率7.3% バンカー率38.5%,難易度7位/18ホール中 平均スコア5.39 平均パット数2.03 パーオン率16.0% フェアウェイ率58.8% OB率7.3% バンカー率38.5%,難易度17位/18ホール中 平均スコア3.94 平均パット数2.02 パーオン率34.0% フェアウェイ率- OB率5.0% バンカー率39.0%,難易度17位/18ホール中 平均スコア3.94 平均パット数2.02 パーオン率34.0% フェアウェイ率- OB率5.0% バンカー率39.0%,難易度17位/18ホール中 平均スコア3.94 平均パット数2.02 パーオン率34.0% フェアウェイ率- OB率5.0% バンカー率39.0%,難易度10位/18ホール中 平均スコア5.29 平均パット数2.03 パーオン率22.8% フェアウェイ率57.5% OB率21.0% バンカー率20.8%,難易度10位/18ホール中 平均スコア5.29 平均パット数2.03 パーオン率22.8% フェアウェイ率57.5% OB率21.0% バンカー率20.8%,難易度10位/18ホール中 平均スコア5.29 平均パット数2.03 パーオン率22.8% フェアウェイ率57.5% OB率21.0% バンカー率20.8%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：5,Reg.：506yd,Hdcp：1,PAR：3,Reg.：186yd,Hdcp：15,PAR：4,Reg.：423yd,Hdcp：3
5,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,長いショートホール　奥がＬ（左）グリーン,長いショートホール　奥がＬ（左）グリーン,長いショートホール　奥がＬ（左）グリーン,長いミドルホール,長いミドルホール,長いミドルホール
6,難易度9位/18ホール中 平均スコア6.28 平均パット数1.99 パーオン率29.3% フェアウェイ率62.0% OB率32.8% バンカー率27.8%,難易度9位/18ホール中 平均スコア6.28 平均パット数1.99 パーオン率29.3% フェアウェイ率62.0% OB率32.8% バンカー率27.8%,難易度9位/18ホール中 平均スコア6.28 平均パット数1.99 パーオン率29.3% フェアウェイ率62.0% OB率32.8% バンカー率27.8%,難易度14位/18ホール中 平均スコア4.18 平均パット数2.02 パーオン率22.0% フェアウェイ率- OB率28.5% バンカー率16.5%,難易度14位/18ホール中 平均スコア4.18 平均パット数2.02 パーオン率22.0% フェアウェイ率- OB率28.5% バンカー率16.5%,難易度14位/18ホール中 平均スコア4.18 平均パット数2.02 パーオン率22.0% フェアウェイ率- OB率28.5% バンカー率16.5%,難易度3位/18ホール中 平均スコア5.58 平均パット数1.99 パーオン率10.0% フェアウェイ率53.3% OB率31.3% バンカー率25.5%,難易度3位/18ホール中 平均スコア5.58 平均パット数1.99 パーオン率10.0% フェアウェイ率53.3% OB率31.3% バンカー率25.5%,難易度3位/18ホール中 平均スコア5.58 平均パット数1.99 パーオン率10.0% フェアウェイ率53.3% OB率31.3% バンカー率25.5%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：386yd,Hdcp：7,PAR：4,Reg.：363yd,Hdcp：13,PAR：5,Reg.：457yd,Hdcp：5
9,左ドッグレッグのミドルホール　手前がＬ（左）グリーン,左ドッグレッグのミドルホール　手前がＬ（左）グリーン,左ドッグレッグのミドルホール　手前がＬ（左）グリーン,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,Ｓ字のロングホール　手前がＬ（左）グリーン,Ｓ字のロングホール　手前がＬ（左）グリーン,Ｓ字のロングホール　手前がＬ（左）グリーン
10,難易度4位/18ホール中 平均スコア5.44 平均パット数2.01 パーオン率17.3% フェアウェイ率55.3% OB率20.3% バンカー率24.3%,難易度4位/18ホール中 平均スコア5.44 平均パット数2.01 パーオン率17.3% フェアウェイ率55.3% OB率20.3% バンカー率24.3%,難易度4位/18ホール中 平均スコア5.44 平均パット数2.01 パーオン率17.3% フェアウェイ率55.3% OB率20.3% バンカー率24.3%,難易度11位/18ホール中 平均スコア5.24 平均パット数2 パーオン率23.5% フェアウェイ率64.8% OB率21.8% バンカー率16.5%,難易度11位/18ホール中 平均スコア5.24 平均パット数2 パーオン率23.5% フェアウェイ率64.8% OB率21.8% バンカー率16.5%,難易度11位/18ホール中 平均スコア5.24 平均パット数2 パーオン率23.5% フェアウェイ率64.8% OB率21.8% バンカー率16.5%,難易度16位/18ホール中 平均スコア6 平均パット数1.95 パーオン率37.5% フェアウェイ率55.0% OB率39.0% バンカー率7.5%,難易度16位/18ホール中 平均スコア6 平均パット数1.95 パーオン率37.5% フェアウェイ率55.0% OB率39.0% バンカー率7.5%,難易度16位/18ホール中 平均スコア6 平均パット数1.95 パーオン率37.5% フェアウェイ率55.0% OB率39.0% バンカー率7.5%
