,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：483yd,Hdcp：9,PAR：4,Reg.：351yd,Hdcp：3,PAR：4,Reg.：321yd,Hdcp：15
1,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,距離のない左ドッグレッグのミドルホール,距離のない左ドッグレッグのミドルホール,距離のない左ドッグレッグのミドルホール
2,難易度8位/18ホール中 平均スコア6.31 平均パット数1.97 パーオン率27.8% フェアウェイ率47.5% OB率20.3% バンカー率35.0%,難易度8位/18ホール中 平均スコア6.31 平均パット数1.97 パーオン率27.8% フェアウェイ率47.5% OB率20.3% バンカー率35.0%,難易度8位/18ホール中 平均スコア6.31 平均パット数1.97 パーオン率27.8% フェアウェイ率47.5% OB率20.3% バンカー率35.0%,難易度6位/18ホール中 平均スコア5.52 平均パット数2.09 パーオン率19.5% フェアウェイ率48.8% OB率33.8% バンカー率31.3%,難易度6位/18ホール中 平均スコア5.52 平均パット数2.09 パーオン率19.5% フェアウェイ率48.8% OB率33.8% バンカー率31.3%,難易度6位/18ホール中 平均スコア5.52 平均パット数2.09 パーオン率19.5% フェアウェイ率48.8% OB率33.8% バンカー率31.3%,難易度9位/18ホール中 平均スコア5.36 平均パット数2.05 パーオン率27.3% フェアウェイ率49.8% OB率42.0% バンカー率21.5%,難易度9位/18ホール中 平均スコア5.36 平均パット数2.05 パーオン率27.3% フェアウェイ率49.8% OB率42.0% バンカー率21.5%,難易度9位/18ホール中 平均スコア5.36 平均パット数2.05 パーオン率27.3% フェアウェイ率49.8% OB率42.0% バンカー率21.5%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：144yd,Hdcp：7,PAR：4,Reg.：318yd,Hdcp：1,PAR：3,Reg.：146yd,Hdcp：13
5,ショートホール　グリーンは２段で受けグリーン,ショートホール　グリーンは２段で受けグリーン,ショートホール　グリーンは２段で受けグリーン,距離のないミドルホール,距離のないミドルホール,距離のないミドルホール,ショートホール　グリーン左側に大きなバンカー,ショートホール　グリーン左側に大きなバンカー,ショートホール　グリーン左側に大きなバンカー
6,難易度17位/18ホール中 平均スコア4.02 平均パット数2.06 パーオン率31.5% フェアウェイ率- OB率12.0% バンカー率13.5%,難易度17位/18ホール中 平均スコア4.02 平均パット数2.06 パーオン率31.5% フェアウェイ率- OB率12.0% バンカー率13.5%,難易度17位/18ホール中 平均スコア4.02 平均パット数2.06 パーオン率31.5% フェアウェイ率- OB率12.0% バンカー率13.5%,難易度14位/18ホール中 平均スコア5.16 平均パット数2.05 パーオン率30.0% フェアウェイ率48.3% OB率24.3% バンカー率2.0%,難易度14位/18ホール中 平均スコア5.16 平均パット数2.05 パーオン率30.0% フェアウェイ率48.3% OB率24.3% バンカー率2.0%,難易度14位/18ホール中 平均スコア5.16 平均パット数2.05 パーオン率30.0% フェアウェイ率48.3% OB率24.3% バンカー率2.0%,難易度18位/18ホール中 平均スコア3.94 平均パット数1.97 パーオン率29.5% フェアウェイ率- OB率9.0% バンカー率17.5%,難易度18位/18ホール中 平均スコア3.94 平均パット数1.97 パーオン率29.5% フェアウェイ率- OB率9.0% バンカー率17.5%,難易度18位/18ホール中 平均スコア3.94 平均パット数1.97 パーオン率29.5% フェアウェイ率- OB率9.0% バンカー率17.5%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：5,Reg.：455yd,Hdcp：5,PAR：4,Reg.：347yd,Hdcp：17,PAR：4,Reg.：367yd,Hdcp：11
9,真っ直ぐなロングホール　奥の鉄塔方向が狙い目,真っ直ぐなロングホール　奥の鉄塔方向が狙い目,真っ直ぐなロングホール　奥の鉄塔方向が狙い目,やや打ち上げの真っ直ぐなミドルホール,やや打ち上げの真っ直ぐなミドルホール,やや打ち上げの真っ直ぐなミドルホール,真っ直ぐなミドルホール　左の松の木まで約220y,真っ直ぐなミドルホール　左の松の木まで約220y,真っ直ぐなミドルホール　左の松の木まで約220y
10,難易度10位/18ホール中 平均スコア6.27 平均パット数2.02 パーオン率31.5% フェアウェイ率55.5% OB率19.7% バンカー率21.3%,難易度10位/18ホール中 平均スコア6.27 平均パット数2.02 パーオン率31.5% フェアウェイ率55.5% OB率19.7% バンカー率21.3%,難易度10位/18ホール中 平均スコア6.27 平均パット数2.02 パーオン率31.5% フェアウェイ率55.5% OB率19.7% バンカー率21.3%,難易度13位/18ホール中 平均スコア5.25 平均パット数2.04 パーオン率25.0% フェアウェイ率52.5% OB率10.0% バンカー率20.3%,難易度13位/18ホール中 平均スコア5.25 平均パット数2.04 パーオン率25.0% フェアウェイ率52.5% OB率10.0% バンカー率20.3%,難易度13位/18ホール中 平均スコア5.25 平均パット数2.04 パーオン率25.0% フェアウェイ率52.5% OB率10.0% バンカー率20.3%,難易度12位/18ホール中 平均スコア5.27 平均パット数2.01 パーオン率21.8% フェアウェイ率57.3% OB率16.0% バンカー率12.0%,難易度12位/18ホール中 平均スコア5.27 平均パット数2.01 パーオン率21.8% フェアウェイ率57.3% OB率16.0% バンカー率12.0%,難易度12位/18ホール中 平均スコア5.27 平均パット数2.01 パーオン率21.8% フェアウェイ率57.3% OB率16.0% バンカー率12.0%
