,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：396yd,Hdcp：9,PAR：5,Reg.：478yd,Hdcp：3,PAR：3,Reg.：185yd,Hdcp：15
1,緩やかな打ち下ろしのミドルホール,緩やかな打ち下ろしのミドルホール,緩やかな打ち下ろしのミドルホール,ロングドライブで距離を稼げる真っ直ぐなホール,ロングドライブで距離を稼げる真っ直ぐなホール,ロングドライブで距離を稼げる真っ直ぐなホール,思い切りのよいショットで攻略！谷越えのホール,思い切りのよいショットで攻略！谷越えのホール,思い切りのよいショットで攻略！谷越えのホール
2,難易度8位/18ホール中 平均スコア5.49 平均パット数1.95 パーオン率13.3% フェアウェイ率62.5% OB率31.0% バンカー率8.3%,難易度8位/18ホール中 平均スコア5.49 平均パット数1.95 パーオン率13.3% フェアウェイ率62.5% OB率31.0% バンカー率8.3%,難易度8位/18ホール中 平均スコア5.49 平均パット数1.95 パーオン率13.3% フェアウェイ率62.5% OB率31.0% バンカー率8.3%,難易度11位/18ホール中 平均スコア6.29 平均パット数1.9 パーオン率30.0% フェアウェイ率64.8% OB率41.8% バンカー率12.5%,難易度11位/18ホール中 平均スコア6.29 平均パット数1.9 パーオン率30.0% フェアウェイ率64.8% OB率41.8% バンカー率12.5%,難易度11位/18ホール中 平均スコア6.29 平均パット数1.9 パーオン率30.0% フェアウェイ率64.8% OB率41.8% バンカー率12.5%,難易度14位/18ホール中 平均スコア4.15 平均パット数1.85 パーオン率14.3% フェアウェイ率- OB率27.8% バンカー率9.5%,難易度14位/18ホール中 平均スコア4.15 平均パット数1.85 パーオン率14.3% フェアウェイ率- OB率27.8% バンカー率9.5%,難易度14位/18ホール中 平均スコア4.15 平均パット数1.85 パーオン率14.3% フェアウェイ率- OB率27.8% バンカー率9.5%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：399yd,Hdcp：13,PAR：4,Reg.：407yd,Hdcp：1,PAR：5,Reg.：495yd,Hdcp：7
5,第二打は１クラブ大きめで、セカンドから打ち上げ,第二打は１クラブ大きめで、セカンドから打ち上げ,第二打は１クラブ大きめで、セカンドから打ち上げ,両サイドが斜面になっている長いミドルホール,両サイドが斜面になっている長いミドルホール,両サイドが斜面になっている長いミドルホール,豪快なティーショットで攻略、高低差があるホール,豪快なティーショットで攻略、高低差があるホール,豪快なティーショットで攻略、高低差があるホール
6,難易度2位/18ホール中 平均スコア5.76 平均パット数1.97 パーオン率7.3% フェアウェイ率62.8% OB率46.3% バンカー率3.0%,難易度2位/18ホール中 平均スコア5.76 平均パット数1.97 パーオン率7.3% フェアウェイ率62.8% OB率46.3% バンカー率3.0%,難易度2位/18ホール中 平均スコア5.76 平均パット数1.97 パーオン率7.3% フェアウェイ率62.8% OB率46.3% バンカー率3.0%,難易度1位/18ホール中 平均スコア5.85 平均パット数1.92 パーオン率6.3% フェアウェイ率55.0% OB率50.8% バンカー率8.5%,難易度1位/18ホール中 平均スコア5.85 平均パット数1.92 パーオン率6.3% フェアウェイ率55.0% OB率50.8% バンカー率8.5%,難易度1位/18ホール中 平均スコア5.85 平均パット数1.92 パーオン率6.3% フェアウェイ率55.0% OB率50.8% バンカー率8.5%,難易度12位/18ホール中 平均スコア6.25 平均パット数1.86 パーオン率20.5% フェアウェイ率46.0% OB率21.0% バンカー率6.8%,難易度12位/18ホール中 平均スコア6.25 平均パット数1.86 パーオン率20.5% フェアウェイ率46.0% OB率21.0% バンカー率6.8%,難易度12位/18ホール中 平均スコア6.25 平均パット数1.86 パーオン率20.5% フェアウェイ率46.0% OB率21.0% バンカー率6.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：399yd,Hdcp：5,PAR：3,Reg.：125yd,Hdcp：17,PAR：4,Reg.：373yd,Hdcp：11
9,第一打はフェアウェイキープ　長いミドルホール,第一打はフェアウェイキープ　長いミドルホール,第一打はフェアウェイキープ　長いミドルホール,左OBに注意して１オン,左OBに注意して１オン,左OBに注意して１オン,もっとも打ち上げの強いミドルホール,もっとも打ち上げの強いミドルホール,もっとも打ち上げの強いミドルホール
10,難易度5位/18ホール中 平均スコア5.67 平均パット数1.99 パーオン率8.0% フェアウェイ率50.3% OB率19.8% バンカー率5.0%,難易度5位/18ホール中 平均スコア5.67 平均パット数1.99 パーオン率8.0% フェアウェイ率50.3% OB率19.8% バンカー率5.0%,難易度5位/18ホール中 平均スコア5.67 平均パット数1.99 パーオン率8.0% フェアウェイ率50.3% OB率19.8% バンカー率5.0%,難易度16位/18ホール中 平均スコア4.03 平均パット数1.97 パーオン率23.0% フェアウェイ率- OB率20.0% バンカー率1.7%,難易度16位/18ホール中 平均スコア4.03 平均パット数1.97 パーオン率23.0% フェアウェイ率- OB率20.0% バンカー率1.7%,難易度16位/18ホール中 平均スコア4.03 平均パット数1.97 パーオン率23.0% フェアウェイ率- OB率20.0% バンカー率1.7%,難易度9位/18ホール中 平均スコア5.43 平均パット数1.88 パーオン率12.8% フェアウェイ率58.0% OB率30.0% バンカー率9.7%,難易度9位/18ホール中 平均スコア5.43 平均パット数1.88 パーオン率12.8% フェアウェイ率58.0% OB率30.0% バンカー率9.7%,難易度9位/18ホール中 平均スコア5.43 平均パット数1.88 パーオン率12.8% フェアウェイ率58.0% OB率30.0% バンカー率9.7%
