,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：425yd,Hdcp：7,PAR：4,Reg.：412yd,Hdcp：1,PAR：4,Reg.：383yd,Hdcp：15
1,第１打はフェアウェイセンターへ,第１打はフェアウェイセンターへ,第１打はフェアウェイセンターへ,難しい距離のあるミドルホール,難しい距離のあるミドルホール,難しい距離のあるミドルホール,第１打は右バンカーの左端狙い,第１打は右バンカーの左端狙い,第１打は右バンカーの左端狙い
2,難易度5位/18ホール中 平均スコア5.47 平均パット数2.11 パーオン率15.3% フェアウェイ率51.8% OB率4.8% バンカー率26.3%,難易度5位/18ホール中 平均スコア5.47 平均パット数2.11 パーオン率15.3% フェアウェイ率51.8% OB率4.8% バンカー率26.3%,難易度5位/18ホール中 平均スコア5.47 平均パット数2.11 パーオン率15.3% フェアウェイ率51.8% OB率4.8% バンカー率26.3%,難易度1位/18ホール中 平均スコア5.69 平均パット数2.12 パーオン率9.5% フェアウェイ率41.3% OB率23.5% バンカー率22.8%,難易度1位/18ホール中 平均スコア5.69 平均パット数2.12 パーオン率9.5% フェアウェイ率41.3% OB率23.5% バンカー率22.8%,難易度1位/18ホール中 平均スコア5.69 平均パット数2.12 パーオン率9.5% フェアウェイ率41.3% OB率23.5% バンカー率22.8%,難易度9位/18ホール中 平均スコア5.36 平均パット数2.06 パーオン率19.8% フェアウェイ率50.8% OB率3.3% バンカー率33.3%,難易度9位/18ホール中 平均スコア5.36 平均パット数2.06 パーオン率19.8% フェアウェイ率50.8% OB率3.3% バンカー率33.3%,難易度9位/18ホール中 平均スコア5.36 平均パット数2.06 パーオン率19.8% フェアウェイ率50.8% OB率3.3% バンカー率33.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：149yd,Hdcp：9,PAR：4,Reg.：364yd,Hdcp：11,PAR：5,Reg.：499yd,Hdcp：13
5,左右から池が迫るショートホール,左右から池が迫るショートホール,左右から池が迫るショートホール,第１打はフェアウェイやや右狙いで,第１打はフェアウェイやや右狙いで,第１打はフェアウェイやや右狙いで,ドッグレッグ角の池はOB,ドッグレッグ角の池はOB,ドッグレッグ角の池はOB
6,難易度16位/18ホール中 平均スコア4.1 平均パット数2.16 パーオン率32.5% フェアウェイ率- OB率4.0% バンカー率6.0%,難易度16位/18ホール中 平均スコア4.1 平均パット数2.16 パーオン率32.5% フェアウェイ率- OB率4.0% バンカー率6.0%,難易度16位/18ホール中 平均スコア4.1 平均パット数2.16 パーオン率32.5% フェアウェイ率- OB率4.0% バンカー率6.0%,難易度11位/18ホール中 平均スコア5.33 平均パット数2.09 パーオン率21.5% フェアウェイ率52.3% OB率4.7% バンカー率32.3%,難易度11位/18ホール中 平均スコア5.33 平均パット数2.09 パーオン率21.5% フェアウェイ率52.3% OB率4.7% バンカー率32.3%,難易度11位/18ホール中 平均スコア5.33 平均パット数2.09 パーオン率21.5% フェアウェイ率52.3% OB率4.7% バンカー率32.3%,難易度12位/18ホール中 平均スコア6.28 平均パット数2.06 パーオン率29.3% フェアウェイ率60.0% OB率11.8% バンカー率21.3%,難易度12位/18ホール中 平均スコア6.28 平均パット数2.06 パーオン率29.3% フェアウェイ率60.0% OB率11.8% バンカー率21.3%,難易度12位/18ホール中 平均スコア6.28 平均パット数2.06 パーオン率29.3% フェアウェイ率60.0% OB率11.8% バンカー率21.3%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：146yd,Hdcp：17,PAR：4,Reg.：394yd,Hdcp：3,PAR：5,Reg.：576yd,Hdcp：5
9,２段グリーンのショートホール,２段グリーンのショートホール,２段グリーンのショートホール,第１打はフェアウェイ左側が安全,第１打はフェアウェイ左側が安全,第１打はフェアウェイ左側が安全,最長の左ドッグレッグロングホール,最長の左ドッグレッグロングホール,最長の左ドッグレッグロングホール
10,難易度17位/18ホール中 平均スコア4.07 平均パット数2.19 パーオン率35.0% フェアウェイ率- OB率4.0% バンカー率23.3%,難易度17位/18ホール中 平均スコア4.07 平均パット数2.19 パーオン率35.0% フェアウェイ率- OB率4.0% バンカー率23.3%,難易度17位/18ホール中 平均スコア4.07 平均パット数2.19 パーオン率35.0% フェアウェイ率- OB率4.0% バンカー率23.3%,難易度10位/18ホール中 平均スコア5.33 平均パット数2.08 パーオン率20.8% フェアウェイ率63.0% OB率20.7% バンカー率24.5%,難易度10位/18ホール中 平均スコア5.33 平均パット数2.08 パーオン率20.8% フェアウェイ率63.0% OB率20.7% バンカー率24.5%,難易度10位/18ホール中 平均スコア5.33 平均パット数2.08 パーオン率20.8% フェアウェイ率63.0% OB率20.7% バンカー率24.5%,難易度4位/18ホール中 平均スコア6.48 平均パット数2.08 パーオン率21.0% フェアウェイ率51.3% OB率33.3% バンカー率13.8%,難易度4位/18ホール中 平均スコア6.48 平均パット数2.08 パーオン率21.0% フェアウェイ率51.3% OB率33.3% バンカー率13.8%,難易度4位/18ホール中 平均スコア6.48 平均パット数2.08 パーオン率21.0% フェアウェイ率51.3% OB率33.3% バンカー率13.8%
