,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：346yd,Hdcp：10,PAR：4,Reg.：319yd,Hdcp：16,PAR：5,Reg.：457yd,Hdcp：4
1,ほぼストレートなミドルホール,ほぼストレートなミドルホール,ほぼストレートなミドルホール,ストレートなミドルホール,ストレートなミドルホール,ストレートなミドルホール,打ち下ろし右ドッグレッグのロングホール,打ち下ろし右ドッグレッグのロングホール,打ち下ろし右ドッグレッグのロングホール
2,難易度1位/9ホール中 平均スコア5.64 平均パット数1.93 パーオン率7.3% フェアウェイ率56.3% OB率17.0% バンカー率29.0%,難易度1位/9ホール中 平均スコア5.64 平均パット数1.93 パーオン率7.3% フェアウェイ率56.3% OB率17.0% バンカー率29.0%,難易度1位/9ホール中 平均スコア5.64 平均パット数1.93 パーオン率7.3% フェアウェイ率56.3% OB率17.0% バンカー率29.0%,難易度5位/9ホール中 平均スコア5.32 平均パット数2.04 パーオン率20.0% フェアウェイ率58.5% OB率3.3% バンカー率30.3%,難易度5位/9ホール中 平均スコア5.32 平均パット数2.04 パーオン率20.0% フェアウェイ率58.5% OB率3.3% バンカー率30.3%,難易度5位/9ホール中 平均スコア5.32 平均パット数2.04 パーオン率20.0% フェアウェイ率58.5% OB率3.3% バンカー率30.3%,難易度7位/9ホール中 平均スコア6.25 平均パット数1.87 パーオン率24.8% フェアウェイ率63.3% OB率12.3% バンカー率3.0%,難易度7位/9ホール中 平均スコア6.25 平均パット数1.87 パーオン率24.8% フェアウェイ率63.3% OB率12.3% バンカー率3.0%,難易度7位/9ホール中 平均スコア6.25 平均パット数1.87 パーオン率24.8% フェアウェイ率63.3% OB率12.3% バンカー率3.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：298yd,Hdcp：8,PAR：3,Reg.：128yd,Hdcp：14,PAR：4,Reg.：344yd,Hdcp：2
5,打ち上げのミドルホール,打ち上げのミドルホール,打ち上げのミドルホール,谷越えのショートホール,谷越えのショートホール,谷越えのショートホール,グリーンまでストレートなミドルホール,グリーンまでストレートなミドルホール,グリーンまでストレートなミドルホール
6,難易度6位/9ホール中 平均スコア5.33 平均パット数1.95 パーオン率16.7% フェアウェイ率46.3% OB率17.0% バンカー率18.3%,難易度6位/9ホール中 平均スコア5.33 平均パット数1.95 パーオン率16.7% フェアウェイ率46.3% OB率17.0% バンカー率18.3%,難易度6位/9ホール中 平均スコア5.33 平均パット数1.95 パーオン率16.7% フェアウェイ率46.3% OB率17.0% バンカー率18.3%,難易度8位/9ホール中 平均スコア4.18 平均パット数1.99 パーオン率25.5% フェアウェイ率- OB率38.0% バンカー率13.5%,難易度8位/9ホール中 平均スコア4.18 平均パット数1.99 パーオン率25.5% フェアウェイ率- OB率38.0% バンカー率13.5%,難易度8位/9ホール中 平均スコア4.18 平均パット数1.99 パーオン率25.5% フェアウェイ率- OB率38.0% バンカー率13.5%,難易度4位/9ホール中 平均スコア5.49 平均パット数1.92 パーオン率12.5% フェアウェイ率66.3% OB率10.0% バンカー率2.7%,難易度4位/9ホール中 平均スコア5.49 平均パット数1.92 パーオン率12.5% フェアウェイ率66.3% OB率10.0% バンカー率2.7%,難易度4位/9ホール中 平均スコア5.49 平均パット数1.92 パーオン率12.5% フェアウェイ率66.3% OB率10.0% バンカー率2.7%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：375yd,Hdcp：12,PAR：5,Reg.：485yd,Hdcp：6,PAR：3,Reg.：151yd,Hdcp：18
9,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,右ＯＢのロングホール,右ＯＢのロングホール,右ＯＢのロングホール,打ち下ろしのショートホール,打ち下ろしのショートホール,打ち下ろしのショートホール
10,難易度3位/9ホール中 平均スコア5.56 平均パット数1.96 パーオン率11.0% フェアウェイ率52.3% OB率4.0% バンカー率35.0%,難易度3位/9ホール中 平均スコア5.56 平均パット数1.96 パーオン率11.0% フェアウェイ率52.3% OB率4.0% バンカー率35.0%,難易度3位/9ホール中 平均スコア5.56 平均パット数1.96 パーオン率11.0% フェアウェイ率52.3% OB率4.0% バンカー率35.0%,難易度2位/9ホール中 平均スコア6.65 平均パット数1.96 パーオン率9.8% フェアウェイ率56.0% OB率9.8% バンカー率18.3%,難易度2位/9ホール中 平均スコア6.65 平均パット数1.96 パーオン率9.8% フェアウェイ率56.0% OB率9.8% バンカー率18.3%,難易度2位/9ホール中 平均スコア6.65 平均パット数1.96 パーオン率9.8% フェアウェイ率56.0% OB率9.8% バンカー率18.3%,難易度9位/9ホール中 平均スコア3.99 平均パット数1.99 パーオン率26.3% フェアウェイ率- OB率14.7% バンカー率20.3%,難易度9位/9ホール中 平均スコア3.99 平均パット数1.99 パーオン率26.3% フェアウェイ率- OB率14.7% バンカー率20.3%,難易度9位/9ホール中 平均スコア3.99 平均パット数1.99 パーオン率26.3% フェアウェイ率- OB率14.7% バンカー率20.3%
