,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：384yd,Hdcp：9,PAR：3,Reg.：173yd,Hdcp：13,PAR：4,Reg.：426yd,Hdcp：5
1,左ドッグレッグで左OB　右には池がある,左ドッグレッグで左OB　右には池がある,左ドッグレッグで左OB　右には池がある,グリーン手前にあるバンカーに注意,グリーン手前にあるバンカーに注意,グリーン手前にあるバンカーに注意,やや打ち下ろしのミドルホール,やや打ち下ろしのミドルホール,やや打ち下ろしのミドルホール
2,難易度10位/18ホール中 平均スコア5.33 平均パット数2.12 パーオン率24.3% フェアウェイ率47.5% OB率32.3% バンカー率11.5%,難易度10位/18ホール中 平均スコア5.33 平均パット数2.12 パーオン率24.3% フェアウェイ率47.5% OB率32.3% バンカー率11.5%,難易度10位/18ホール中 平均スコア5.33 平均パット数2.12 パーオン率24.3% フェアウェイ率47.5% OB率32.3% バンカー率11.5%,難易度16位/18ホール中 平均スコア3.96 平均パット数2.1 パーオン率32.8% フェアウェイ率- OB率9.0% バンカー率24.0%,難易度16位/18ホール中 平均スコア3.96 平均パット数2.1 パーオン率32.8% フェアウェイ率- OB率9.0% バンカー率24.0%,難易度16位/18ホール中 平均スコア3.96 平均パット数2.1 パーオン率32.8% フェアウェイ率- OB率9.0% バンカー率24.0%,難易度8位/18ホール中 平均スコア5.36 平均パット数2.1 パーオン率23.0% フェアウェイ率44.5% OB率28.3% バンカー率13.5%,難易度8位/18ホール中 平均スコア5.36 平均パット数2.1 パーオン率23.0% フェアウェイ率44.5% OB率28.3% バンカー率13.5%,難易度8位/18ホール中 平均スコア5.36 平均パット数2.1 パーオン率23.0% フェアウェイ率44.5% OB率28.3% バンカー率13.5%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：5,Reg.：534yd,Hdcp：1,PAR：4,Reg.：358yd,Hdcp：15,PAR：3,Reg.：169yd,Hdcp：17
5,ロングヒッターは左のバンカー上が狙い目,ロングヒッターは左のバンカー上が狙い目,ロングヒッターは左のバンカー上が狙い目,打ち下ろしのミドルホール,打ち下ろしのミドルホール,打ち下ろしのミドルホール,谷越え打ち下ろしのショートホール,谷越え打ち下ろしのショートホール,谷越え打ち下ろしのショートホール
6,難易度2位/18ホール中 平均スコア6.53 平均パット数2.11 パーオン率26.3% フェアウェイ率47.5% OB率35.3% バンカー率29.3%,難易度2位/18ホール中 平均スコア6.53 平均パット数2.11 パーオン率26.3% フェアウェイ率47.5% OB率35.3% バンカー率29.3%,難易度2位/18ホール中 平均スコア6.53 平均パット数2.11 パーオン率26.3% フェアウェイ率47.5% OB率35.3% バンカー率29.3%,難易度7位/18ホール中 平均スコア5.38 平均パット数2.15 パーオン率27.0% フェアウェイ率52.3% OB率39.3% バンカー率13.3%,難易度7位/18ホール中 平均スコア5.38 平均パット数2.15 パーオン率27.0% フェアウェイ率52.3% OB率39.3% バンカー率13.3%,難易度7位/18ホール中 平均スコア5.38 平均パット数2.15 パーオン率27.0% フェアウェイ率52.3% OB率39.3% バンカー率13.3%,難易度17位/18ホール中 平均スコア3.91 平均パット数2.06 パーオン率42.0% フェアウェイ率- OB率33.5% バンカー率6.0%,難易度17位/18ホール中 平均スコア3.91 平均パット数2.06 パーオン率42.0% フェアウェイ率- OB率33.5% バンカー率6.0%,難易度17位/18ホール中 平均スコア3.91 平均パット数2.06 パーオン率42.0% フェアウェイ率- OB率33.5% バンカー率6.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：316yd,Hdcp：7,PAR：5,Reg.：521yd,Hdcp：3,PAR：4,Reg.：414yd,Hdcp：11
9,真っ直ぐな短いミドルホール,真っ直ぐな短いミドルホール,真っ直ぐな短いミドルホール,グリーン付近で右ドッグレッグするロングホール,グリーン付近で右ドッグレッグするロングホール,グリーン付近で右ドッグレッグするロングホール,打ち下ろしのミドルホール,打ち下ろしのミドルホール,打ち下ろしのミドルホール
10,難易度4位/18ホール中 平均スコア5.48 平均パット数2.11 パーオン率21.3% フェアウェイ率49.8% OB率40.3% バンカー率4.0%,難易度4位/18ホール中 平均スコア5.48 平均パット数2.11 パーオン率21.3% フェアウェイ率49.8% OB率40.3% バンカー率4.0%,難易度4位/18ホール中 平均スコア5.48 平均パット数2.11 パーオン率21.3% フェアウェイ率49.8% OB率40.3% バンカー率4.0%,難易度5位/18ホール中 平均スコア6.41 平均パット数2.15 パーオン率32.5% フェアウェイ率45.3% OB率45.8% バンカー率14.5%,難易度5位/18ホール中 平均スコア6.41 平均パット数2.15 パーオン率32.5% フェアウェイ率45.3% OB率45.8% バンカー率14.5%,難易度5位/18ホール中 平均スコア6.41 平均パット数2.15 パーオン率32.5% フェアウェイ率45.3% OB率45.8% バンカー率14.5%,難易度3位/18ホール中 平均スコア5.55 平均パット数2.13 パーオン率16.3% フェアウェイ率35.5% OB率38.5% バンカー率23.5%,難易度3位/18ホール中 平均スコア5.55 平均パット数2.13 パーオン率16.3% フェアウェイ率35.5% OB率38.5% バンカー率23.5%,難易度3位/18ホール中 平均スコア5.55 平均パット数2.13 パーオン率16.3% フェアウェイ率35.5% OB率38.5% バンカー率23.5%
