,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：457yd,Hdcp：7,PAR：3,Reg.：180yd,Hdcp：9,PAR：4,Reg.：363yd,Hdcp：4
1,距離のないロングホール　奥がＬ（左）グリーン,距離のないロングホール　奥がＬ（左）グリーン,距離のないロングホール　奥がＬ（左）グリーン,打ち下ろしのショートホール,打ち下ろしのショートホール,打ち下ろしのショートホール,打ち下ろしのミドルホール,打ち下ろしのミドルホール,打ち下ろしのミドルホール
2,難易度5位/9ホール中 平均スコア6.17 平均パット数1.92 パーオン率32.5% フェアウェイ率55.3% OB率35.5% バンカー率30.3%,難易度5位/9ホール中 平均スコア6.17 平均パット数1.92 パーオン率32.5% フェアウェイ率55.3% OB率35.5% バンカー率30.3%,難易度5位/9ホール中 平均スコア6.17 平均パット数1.92 パーオン率32.5% フェアウェイ率55.3% OB率35.5% バンカー率30.3%,難易度8位/9ホール中 平均スコア4.05 平均パット数1.98 パーオン率29.0% フェアウェイ率- OB率19.0% バンカー率39.5%,難易度8位/9ホール中 平均スコア4.05 平均パット数1.98 パーオン率29.0% フェアウェイ率- OB率19.0% バンカー率39.5%,難易度8位/9ホール中 平均スコア4.05 平均パット数1.98 パーオン率29.0% フェアウェイ率- OB率19.0% バンカー率39.5%,難易度6位/9ホール中 平均スコア5.21 平均パット数1.92 パーオン率21.8% フェアウェイ率50.0% OB率24.3% バンカー率25.3%,難易度6位/9ホール中 平均スコア5.21 平均パット数1.92 パーオン率21.8% フェアウェイ率50.0% OB率24.3% バンカー率25.3%,難易度6位/9ホール中 平均スコア5.21 平均パット数1.92 パーオン率21.8% フェアウェイ率50.0% OB率24.3% バンカー率25.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：5,Reg.：511yd,Hdcp：6,PAR：4,Reg.：366yd,Hdcp：3,PAR：4,Reg.：350yd,Hdcp：5
5,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール奥がＬ（左）グリーン,左ドッグレッグのミドルホール奥がＬ（左）グリーン,左ドッグレッグのミドルホール奥がＬ（左）グリーン
6,難易度4位/9ホール中 平均スコア6.33 平均パット数2 パーオン率31.3% フェアウェイ率58.0% OB率34.8% バンカー率31.5%,難易度4位/9ホール中 平均スコア6.33 平均パット数2 パーオン率31.3% フェアウェイ率58.0% OB率34.8% バンカー率31.5%,難易度4位/9ホール中 平均スコア6.33 平均パット数2 パーオン率31.3% フェアウェイ率58.0% OB率34.8% バンカー率31.5%,難易度2位/9ホール中 平均スコア5.48 平均パット数1.96 パーオン率14.8% フェアウェイ率52.5% OB率18.5% バンカー率46.0%,難易度2位/9ホール中 平均スコア5.48 平均パット数1.96 パーオン率14.8% フェアウェイ率52.5% OB率18.5% バンカー率46.0%,難易度2位/9ホール中 平均スコア5.48 平均パット数1.96 パーオン率14.8% フェアウェイ率52.5% OB率18.5% バンカー率46.0%,難易度7位/9ホール中 平均スコア5.17 平均パット数1.91 パーオン率29.0% フェアウェイ率59.0% OB率43.5% バンカー率13.3%,難易度7位/9ホール中 平均スコア5.17 平均パット数1.91 パーオン率29.0% フェアウェイ率59.0% OB率43.5% バンカー率13.3%,難易度7位/9ホール中 平均スコア5.17 平均パット数1.91 パーオン率29.0% フェアウェイ率59.0% OB率43.5% バンカー率13.3%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：397yd,Hdcp：1,PAR：3,Reg.：156yd,Hdcp：8,PAR：4,Reg.：402yd,Hdcp：2
9,距離のある左ドッグレッグのミドルホール,距離のある左ドッグレッグのミドルホール,距離のある左ドッグレッグのミドルホール,ショートホール,ショートホール,ショートホール,距離のあるミドルホール,距離のあるミドルホール,距離のあるミドルホール
10,難易度1位/9ホール中 平均スコア5.54 平均パット数1.91 パーオン率8.5% フェアウェイ率55.3% OB率32.8% バンカー率21.5%,難易度1位/9ホール中 平均スコア5.54 平均パット数1.91 パーオン率8.5% フェアウェイ率55.3% OB率32.8% バンカー率21.5%,難易度1位/9ホール中 平均スコア5.54 平均パット数1.91 パーオン率8.5% フェアウェイ率55.3% OB率32.8% バンカー率21.5%,難易度9位/9ホール中 平均スコア3.96 平均パット数1.88 パーオン率25.0% フェアウェイ率- OB率17.0% バンカー率27.8%,難易度9位/9ホール中 平均スコア3.96 平均パット数1.88 パーオン率25.0% フェアウェイ率- OB率17.0% バンカー率27.8%,難易度9位/9ホール中 平均スコア3.96 平均パット数1.88 パーオン率25.0% フェアウェイ率- OB率17.0% バンカー率27.8%,難易度3位/9ホール中 平均スコア5.4 平均パット数1.99 パーオン率18.3% フェアウェイ率54.3% OB率36.3% バンカー率22.5%,難易度3位/9ホール中 平均スコア5.4 平均パット数1.99 パーオン率18.3% フェアウェイ率54.3% OB率36.3% バンカー率22.5%,難易度3位/9ホール中 平均スコア5.4 平均パット数1.99 パーオン率18.3% フェアウェイ率54.3% OB率36.3% バンカー率22.5%
