,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：386yd,Hdcp：13,PAR：4,Reg.：385yd,Hdcp：5,PAR：3,Reg.：154yd,Hdcp：17
1,希望　緩い右ドッグレッグのミドル,希望　緩い右ドッグレッグのミドル,希望　緩い右ドッグレッグのミドル,秋月の里　真っ直ぐでフラットなミドル,秋月の里　真っ直ぐでフラットなミドル,秋月の里　真っ直ぐでフラットなミドル,耳納　距離の短いショートホール,耳納　距離の短いショートホール,耳納　距離の短いショートホール
2,難易度3位/9ホール中 平均スコア5.57 平均パット数2.22 パーオン率14.0% フェアウェイ率47.0% OB率14.5% バンカー率8.0%,難易度3位/9ホール中 平均スコア5.57 平均パット数2.22 パーオン率14.0% フェアウェイ率47.0% OB率14.5% バンカー率8.0%,難易度3位/9ホール中 平均スコア5.57 平均パット数2.22 パーオン率14.0% フェアウェイ率47.0% OB率14.5% バンカー率8.0%,難易度5位/9ホール中 平均スコア5.59 平均パット数2.17 パーオン率19.5% フェアウェイ率48.8% OB率37.3% バンカー率21.5%,難易度5位/9ホール中 平均スコア5.59 平均パット数2.17 パーオン率19.5% フェアウェイ率48.8% OB率37.3% バンカー率21.5%,難易度5位/9ホール中 平均スコア5.59 平均パット数2.17 パーオン率19.5% フェアウェイ率48.8% OB率37.3% バンカー率21.5%,難易度9位/9ホール中 平均スコア3.91 平均パット数2.03 パーオン率35.8% フェアウェイ率- OB率6.3% バンカー率30.5%,難易度9位/9ホール中 平均スコア3.91 平均パット数2.03 パーオン率35.8% フェアウェイ率- OB率6.3% バンカー率30.5%,難易度9位/9ホール中 平均スコア3.91 平均パット数2.03 パーオン率35.8% フェアウェイ率- OB率6.3% バンカー率30.5%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：378yd,Hdcp：15,PAR：4,Reg.：417yd,Hdcp：1,PAR：5,Reg.：419yd,Hdcp：3
5,阿蘇　やや左ドッグレッグのミドル,阿蘇　やや左ドッグレッグのミドル,阿蘇　やや左ドッグレッグのミドル,慈悲峠　最も距離のあるミドルホール,慈悲峠　最も距離のあるミドルホール,慈悲峠　最も距離のあるミドルホール,紅葉谷　距離のあるゆるい打ち下ろし,紅葉谷　距離のあるゆるい打ち下ろし,紅葉谷　距離のあるゆるい打ち下ろし
6,難易度6位/9ホール中 平均スコア5.27 平均パット数2.09 パーオン率25.8% フェアウェイ率58.3% OB率7.8% バンカー率38.8%,難易度6位/9ホール中 平均スコア5.27 平均パット数2.09 パーオン率25.8% フェアウェイ率58.3% OB率7.8% バンカー率38.8%,難易度6位/9ホール中 平均スコア5.27 平均パット数2.09 パーオン率25.8% フェアウェイ率58.3% OB率7.8% バンカー率38.8%,難易度1位/9ホール中 平均スコア5.83 平均パット数2.21 パーオン率9.8% フェアウェイ率49.0% OB率22.5% バンカー率26.3%,難易度1位/9ホール中 平均スコア5.83 平均パット数2.21 パーオン率9.8% フェアウェイ率49.0% OB率22.5% バンカー率26.3%,難易度1位/9ホール中 平均スコア5.83 平均パット数2.21 パーオン率9.8% フェアウェイ率49.0% OB率22.5% バンカー率26.3%,難易度7位/9ホール中 平均スコア6.08 平均パット数2.15 パーオン率39.8% フェアウェイ率43.0% OB率13.5% バンカー率13.0%,難易度7位/9ホール中 平均スコア6.08 平均パット数2.15 パーオン率39.8% フェアウェイ率43.0% OB率13.5% バンカー率13.0%,難易度7位/9ホール中 平均スコア6.08 平均パット数2.15 パーオン率39.8% フェアウェイ率43.0% OB率13.5% バンカー率13.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：5,Reg.：536yd,Hdcp：11,PAR：3,Reg.：180yd,Hdcp：7,PAR：5,Reg.：554yd,Hdcp：9
9,皐月ヶ原　真っ直ぐなロングホール,皐月ヶ原　真っ直ぐなロングホール,皐月ヶ原　真っ直ぐなロングホール,山桜　クリークが戦略性を高める,山桜　クリークが戦略性を高める,山桜　クリークが戦略性を高める,華道　ゆるい打ち上げのロングホール,華道　ゆるい打ち上げのロングホール,華道　ゆるい打ち上げのロングホール
10,難易度2位/9ホール中 平均スコア6.64 平均パット数2.14 パーオン率19.5% フェアウェイ率47.3% OB率9.0% バンカー率26.3%,難易度2位/9ホール中 平均スコア6.64 平均パット数2.14 パーオン率19.5% フェアウェイ率47.3% OB率9.0% バンカー率26.3%,難易度2位/9ホール中 平均スコア6.64 平均パット数2.14 パーオン率19.5% フェアウェイ率47.3% OB率9.0% バンカー率26.3%,難易度8位/9ホール中 平均スコア4.09 平均パット数2.05 パーオン率28.8% フェアウェイ率- OB率7.0% バンカー率33.3%,難易度8位/9ホール中 平均スコア4.09 平均パット数2.05 パーオン率28.8% フェアウェイ率- OB率7.0% バンカー率33.3%,難易度8位/9ホール中 平均スコア4.09 平均パット数2.05 パーオン率28.8% フェアウェイ率- OB率7.0% バンカー率33.3%,難易度4位/9ホール中 平均スコア6.54 平均パット数2.15 パーオン率23.5% フェアウェイ率56.0% OB率24.0% バンカー率22.0%,難易度4位/9ホール中 平均スコア6.54 平均パット数2.15 パーオン率23.5% フェアウェイ率56.0% OB率24.0% バンカー率22.0%,難易度4位/9ホール中 平均スコア6.54 平均パット数2.15 パーオン率23.5% フェアウェイ率56.0% OB率24.0% バンカー率22.0%
