,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：337yd,Hdcp：15,PAR：5,Reg.：530yd,Hdcp：3,PAR：4,Reg.：409yd,Hdcp：9
1,フラットなミドルホール,フラットなミドルホール,フラットなミドルホール,緩やかな左ドッグレッグのロング,緩やかな左ドッグレッグのロング,緩やかな左ドッグレッグのロング,2打目打ち下ろしのミドルホール,2打目打ち下ろしのミドルホール,2打目打ち下ろしのミドルホール
2,難易度8位/18ホール中 平均スコア5.24 平均パット数2.01 パーオン率23.8% フェアウェイ率48.8% OB率21.3% バンカー率1.0%,難易度8位/18ホール中 平均スコア5.24 平均パット数2.01 パーオン率23.8% フェアウェイ率48.8% OB率21.3% バンカー率1.0%,難易度8位/18ホール中 平均スコア5.24 平均パット数2.01 パーオン率23.8% フェアウェイ率48.8% OB率21.3% バンカー率1.0%,難易度3位/18ホール中 平均スコア6.46 平均パット数2.02 パーオン率27.3% フェアウェイ率54.8% OB率31.5% バンカー率17.8%,難易度3位/18ホール中 平均スコア6.46 平均パット数2.02 パーオン率27.3% フェアウェイ率54.8% OB率31.5% バンカー率17.8%,難易度3位/18ホール中 平均スコア6.46 平均パット数2.02 パーオン率27.3% フェアウェイ率54.8% OB率31.5% バンカー率17.8%,難易度4位/18ホール中 平均スコア5.51 平均パット数2.1 パーオン率14.8% フェアウェイ率50.3% OB率9.0% バンカー率1.0%,難易度4位/18ホール中 平均スコア5.51 平均パット数2.1 パーオン率14.8% フェアウェイ率50.3% OB率9.0% バンカー率1.0%,難易度4位/18ホール中 平均スコア5.51 平均パット数2.1 パーオン率14.8% フェアウェイ率50.3% OB率9.0% バンカー率1.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：135yd,Hdcp：13,PAR：4,Reg.：376yd,Hdcp：1,PAR：3,Reg.：165yd,Hdcp：7
5,多少打ち上げのショートホール,多少打ち上げのショートホール,多少打ち上げのショートホール,左右とも熊笹と林でガードされているミドルホール,左右とも熊笹と林でガードされているミドルホール,左右とも熊笹と林でガードされているミドルホール,やや打ち下ろしのショートホール,やや打ち下ろしのショートホール,やや打ち下ろしのショートホール
6,難易度17位/18ホール中 平均スコア3.98 平均パット数2.06 パーオン率32.5% フェアウェイ率- OB率8.3% バンカー率6.3%,難易度17位/18ホール中 平均スコア3.98 平均パット数2.06 パーオン率32.5% フェアウェイ率- OB率8.3% バンカー率6.3%,難易度17位/18ホール中 平均スコア3.98 平均パット数2.06 パーオン率32.5% フェアウェイ率- OB率8.3% バンカー率6.3%,難易度6位/18ホール中 平均スコア5.41 平均パット数2.01 パーオン率16.3% フェアウェイ率47.5% OB率4.0% バンカー率-,難易度6位/18ホール中 平均スコア5.41 平均パット数2.01 パーオン率16.3% フェアウェイ率47.5% OB率4.0% バンカー率-,難易度6位/18ホール中 平均スコア5.41 平均パット数2.01 パーオン率16.3% フェアウェイ率47.5% OB率4.0% バンカー率-,難易度18位/18ホール中 平均スコア3.91 平均パット数2 パーオン率30.8% フェアウェイ率- OB率10.0% バンカー率1.0%,難易度18位/18ホール中 平均スコア3.91 平均パット数2 パーオン率30.8% フェアウェイ率- OB率10.0% バンカー率1.0%,難易度18位/18ホール中 平均スコア3.91 平均パット数2 パーオン率30.8% フェアウェイ率- OB率10.0% バンカー率1.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：289yd,Hdcp：17,PAR：4,Reg.：317yd,Hdcp：11,PAR：5,Reg.：528yd,Hdcp：5
9,距離の無いミドルホール,距離の無いミドルホール,距離の無いミドルホール,左サイドＯＢのミドルホール,左サイドＯＢのミドルホール,左サイドＯＢのミドルホール,1打目2打目とも豪快なショットを期待できるロング,1打目2打目とも豪快なショットを期待できるロング,1打目2打目とも豪快なショットを期待できるロング
10,難易度13位/18ホール中 平均スコア5.15 平均パット数1.93 パーオン率27.3% フェアウェイ率59.0% OB率17.0% バンカー率4.7%,難易度13位/18ホール中 平均スコア5.15 平均パット数1.93 パーオン率27.3% フェアウェイ率59.0% OB率17.0% バンカー率4.7%,難易度13位/18ホール中 平均スコア5.15 平均パット数1.93 パーオン率27.3% フェアウェイ率59.0% OB率17.0% バンカー率4.7%,難易度14位/18ホール中 平均スコア5.18 平均パット数1.96 パーオン率23.0% フェアウェイ率56.5% OB率8.3% バンカー率7.0%,難易度14位/18ホール中 平均スコア5.18 平均パット数1.96 パーオン率23.0% フェアウェイ率56.5% OB率8.3% バンカー率7.0%,難易度14位/18ホール中 平均スコア5.18 平均パット数1.96 パーオン率23.0% フェアウェイ率56.5% OB率8.3% バンカー率7.0%,難易度7位/18ホール中 平均スコア6.4 平均パット数1.99 パーオン率19.8% フェアウェイ率39.3% OB率3.3% バンカー率7.5%,難易度7位/18ホール中 平均スコア6.4 平均パット数1.99 パーオン率19.8% フェアウェイ率39.3% OB率3.3% バンカー率7.5%,難易度7位/18ホール中 平均スコア6.4 平均パット数1.99 パーオン率19.8% フェアウェイ率39.3% OB率3.3% バンカー率7.5%
