,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：382yd,Hdcp：8,PAR：5,Reg.：520yd,Hdcp：2,PAR：4,Reg.：340yd,Hdcp：5
1,第一打が池、ＯＢの場合、前方特設ティより四打目,第一打が池、ＯＢの場合、前方特設ティより四打目,第一打が池、ＯＢの場合、前方特設ティより四打目,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,真っ直ぐで短めのミドルホール,真っ直ぐで短めのミドルホール,真っ直ぐで短めのミドルホール
2,難易度4位/9ホール中 平均スコア5.38 平均パット数1.99 パーオン率20.0% フェアウェイ率52.0% OB率16.0% バンカー率4.8%,難易度4位/9ホール中 平均スコア5.38 平均パット数1.99 パーオン率20.0% フェアウェイ率52.0% OB率16.0% バンカー率4.8%,難易度4位/9ホール中 平均スコア5.38 平均パット数1.99 パーオン率20.0% フェアウェイ率52.0% OB率16.0% バンカー率4.8%,難易度2位/9ホール中 平均スコア6.39 平均パット数2.06 パーオン率27.8% フェアウェイ率53.5% OB率15.5% バンカー率18.5%,難易度2位/9ホール中 平均スコア6.39 平均パット数2.06 パーオン率27.8% フェアウェイ率53.5% OB率15.5% バンカー率18.5%,難易度2位/9ホール中 平均スコア6.39 平均パット数2.06 パーオン率27.8% フェアウェイ率53.5% OB率15.5% バンカー率18.5%,難易度6位/9ホール中 平均スコア5.1 平均パット数2 パーオン率30.0% フェアウェイ率52.0% OB率10.8% バンカー率6.3%,難易度6位/9ホール中 平均スコア5.1 平均パット数2 パーオン率30.0% フェアウェイ率52.0% OB率10.8% バンカー率6.3%,難易度6位/9ホール中 平均スコア5.1 平均パット数2 パーオン率30.0% フェアウェイ率52.0% OB率10.8% バンカー率6.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：168yd,Hdcp：7,PAR：5,Reg.：512yd,Hdcp：1,PAR：4,Reg.：388yd,Hdcp：4
5,池をかすめるようにショットするショートホール,池をかすめるようにショットするショートホール,池をかすめるようにショットするショートホール,緩やかな右ドッグレッグのロングホール,緩やかな右ドッグレッグのロングホール,緩やかな右ドッグレッグのロングホール,グリーン右手前の池に注意,グリーン右手前の池に注意,グリーン右手前の池に注意
6,難易度8位/9ホール中 平均スコア4.07 平均パット数1.97 パーオン率24.0% フェアウェイ率- OB率9.0% バンカー率13.5%,難易度8位/9ホール中 平均スコア4.07 平均パット数1.97 パーオン率24.0% フェアウェイ率- OB率9.0% バンカー率13.5%,難易度8位/9ホール中 平均スコア4.07 平均パット数1.97 パーオン率24.0% フェアウェイ率- OB率9.0% バンカー率13.5%,難易度7位/9ホール中 平均スコア6.07 平均パット数2.07 パーオン率36.8% フェアウェイ率48.0% OB率6.7% バンカー率5.3%,難易度7位/9ホール中 平均スコア6.07 平均パット数2.07 パーオン率36.8% フェアウェイ率48.0% OB率6.7% バンカー率5.3%,難易度7位/9ホール中 平均スコア6.07 平均パット数2.07 パーオン率36.8% フェアウェイ率48.0% OB率6.7% バンカー率5.3%,難易度3位/9ホール中 平均スコア5.39 平均パット数2.12 パーオン率23.5% フェアウェイ率51.5% OB率4.8% バンカー率2.0%,難易度3位/9ホール中 平均スコア5.39 平均パット数2.12 パーオン率23.5% フェアウェイ率51.5% OB率4.8% バンカー率2.0%,難易度3位/9ホール中 平均スコア5.39 平均パット数2.12 パーオン率23.5% フェアウェイ率51.5% OB率4.8% バンカー率2.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：361yd,Hdcp：3,PAR：3,Reg.：150yd,Hdcp：9,PAR：4,Reg.：389yd,Hdcp：6
9,グリーン前では四本のバンカーがガードする,グリーン前では四本のバンカーがガードする,グリーン前では四本のバンカーがガードする,グリーン奥の池に注意,グリーン奥の池に注意,グリーン奥の池に注意,池越えのミドルホール,池越えのミドルホール,池越えのミドルホール
10,難易度5位/9ホール中 平均スコア5.17 平均パット数2.11 パーオン率31.0% フェアウェイ率50.8% OB率9.0% バンカー率29.3%,難易度5位/9ホール中 平均スコア5.17 平均パット数2.11 パーオン率31.0% フェアウェイ率50.8% OB率9.0% バンカー率29.3%,難易度5位/9ホール中 平均スコア5.17 平均パット数2.11 パーオン率31.0% フェアウェイ率50.8% OB率9.0% バンカー率29.3%,難易度9位/9ホール中 平均スコア3.75 平均パット数1.99 パーオン率41.8% フェアウェイ率- OB率- バンカー率38.5%,難易度9位/9ホール中 平均スコア3.75 平均パット数1.99 パーオン率41.8% フェアウェイ率- OB率- バンカー率38.5%,難易度9位/9ホール中 平均スコア3.75 平均パット数1.99 パーオン率41.8% フェアウェイ率- OB率- バンカー率38.5%,難易度1位/9ホール中 平均スコア5.52 平均パット数2.19 パーオン率20.0% フェアウェイ率45.3% OB率7.5% バンカー率5.8%,難易度1位/9ホール中 平均スコア5.52 平均パット数2.19 パーオン率20.0% フェアウェイ率45.3% OB率7.5% バンカー率5.8%,難易度1位/9ホール中 平均スコア5.52 平均パット数2.19 パーオン率20.0% フェアウェイ率45.3% OB率7.5% バンカー率5.8%
