,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：503yd,Hdcp：2,PAR：4,Reg.：339yd,Hdcp：5,PAR：3,Reg.：170yd,Hdcp：8
1,打ち下ろしのロングホール,打ち下ろしのロングホール,打ち下ろしのロングホール,ティショットは、右の池を避けてセンターへ,ティショットは、右の池を避けてセンターへ,ティショットは、右の池を避けてセンターへ,バンカーに囲まれた打ち上げのショートホール,バンカーに囲まれた打ち上げのショートホール,バンカーに囲まれた打ち上げのショートホール
2,難易度5位/9ホール中 平均スコア6.32 平均パット数2.07 パーオン率28.3% フェアウェイ率40.0% OB率3.3% バンカー率19.8%,難易度5位/9ホール中 平均スコア6.32 平均パット数2.07 パーオン率28.3% フェアウェイ率40.0% OB率3.3% バンカー率19.8%,難易度5位/9ホール中 平均スコア6.32 平均パット数2.07 パーオン率28.3% フェアウェイ率40.0% OB率3.3% バンカー率19.8%,難易度4位/9ホール中 平均スコア5.37 平均パット数2.09 パーオン率21.5% フェアウェイ率50.3% OB率3.0% バンカー率23.3%,難易度4位/9ホール中 平均スコア5.37 平均パット数2.09 パーオン率21.5% フェアウェイ率50.3% OB率3.0% バンカー率23.3%,難易度4位/9ホール中 平均スコア5.37 平均パット数2.09 パーオン率21.5% フェアウェイ率50.3% OB率3.0% バンカー率23.3%,難易度8位/9ホール中 平均スコア4.03 平均パット数2.06 パーオン率26.8% フェアウェイ率- OB率2.3% バンカー率29.5%,難易度8位/9ホール中 平均スコア4.03 平均パット数2.06 パーオン率26.8% フェアウェイ率- OB率2.3% バンカー率29.5%,難易度8位/9ホール中 平均スコア4.03 平均パット数2.06 パーオン率26.8% フェアウェイ率- OB率2.3% バンカー率29.5%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：363yd,Hdcp：7,PAR：5,Reg.：549yd,Hdcp：1,PAR：4,Reg.：329yd,Hdcp：4
5,北コース最難のミドルホール,北コース最難のミドルホール,北コース最難のミドルホール,最長のロングホール　ティショットはＦＷ右サイドへ,最長のロングホール　ティショットはＦＷ右サイドへ,最長のロングホール　ティショットはＦＷ右サイドへ,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
6,難易度6位/9ホール中 平均スコア5.31 平均パット数2.03 パーオン率19.8% フェアウェイ率50.8% OB率3.5% バンカー率7.8%,難易度6位/9ホール中 平均スコア5.31 平均パット数2.03 パーオン率19.8% フェアウェイ率50.8% OB率3.5% バンカー率7.8%,難易度6位/9ホール中 平均スコア5.31 平均パット数2.03 パーオン率19.8% フェアウェイ率50.8% OB率3.5% バンカー率7.8%,難易度2位/9ホール中 平均スコア6.48 平均パット数2.1 パーオン率23.0% フェアウェイ率58.8% OB率6.0% バンカー率13.8%,難易度2位/9ホール中 平均スコア6.48 平均パット数2.1 パーオン率23.0% フェアウェイ率58.8% OB率6.0% バンカー率13.8%,難易度2位/9ホール中 平均スコア6.48 平均パット数2.1 パーオン率23.0% フェアウェイ率58.8% OB率6.0% バンカー率13.8%,難易度7位/9ホール中 平均スコア5.14 平均パット数2.07 パーオン率31.5% フェアウェイ率50.3% OB率2.3% バンカー率35.0%,難易度7位/9ホール中 平均スコア5.14 平均パット数2.07 パーオン率31.5% フェアウェイ率50.3% OB率2.3% バンカー率35.0%,難易度7位/9ホール中 平均スコア5.14 平均パット数2.07 パーオン率31.5% フェアウェイ率50.3% OB率2.3% バンカー率35.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：139yd,Hdcp：9,PAR：4,Reg.：394yd,Hdcp：6,PAR：4,Reg.：389yd,Hdcp：3
9,グリーン右側へ行くほど打ち上げとなるショート,グリーン右側へ行くほど打ち上げとなるショート,グリーン右側へ行くほど打ち上げとなるショート,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右にＯＢと池があるミドルホール,右にＯＢと池があるミドルホール,右にＯＢと池があるミドルホール
10,難易度9位/9ホール中 平均スコア3.91 平均パット数2.03 パーオン率33.5% フェアウェイ率- OB率2.3% バンカー率16.3%,難易度9位/9ホール中 平均スコア3.91 平均パット数2.03 パーオン率33.5% フェアウェイ率- OB率2.3% バンカー率16.3%,難易度9位/9ホール中 平均スコア3.91 平均パット数2.03 パーオン率33.5% フェアウェイ率- OB率2.3% バンカー率16.3%,難易度3位/9ホール中 平均スコア5.45 平均パット数2.01 パーオン率16.8% フェアウェイ率48.5% OB率23.8% バンカー率27.0%,難易度3位/9ホール中 平均スコア5.45 平均パット数2.01 パーオン率16.8% フェアウェイ率48.5% OB率23.8% バンカー率27.0%,難易度3位/9ホール中 平均スコア5.45 平均パット数2.01 パーオン率16.8% フェアウェイ率48.5% OB率23.8% バンカー率27.0%,難易度1位/9ホール中 平均スコア5.58 平均パット数2.04 パーオン率13.3% フェアウェイ率47.0% OB率18.0% バンカー率16.5%,難易度1位/9ホール中 平均スコア5.58 平均パット数2.04 パーオン率13.3% フェアウェイ率47.0% OB率18.0% バンカー率16.5%,難易度1位/9ホール中 平均スコア5.58 平均パット数2.04 パーオン率13.3% フェアウェイ率47.0% OB率18.0% バンカー率16.5%
