,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：367yd,Hdcp：9,PAR：3,Reg.：134yd,Hdcp：15,PAR：5,Reg.：497yd,Hdcp：3
1,ティーショットは正面クロスバンカー右側へ,ティーショットは正面クロスバンカー右側へ,ティーショットは正面クロスバンカー右側へ,池越えのショートホール,池越えのショートホール,池越えのショートホール,やや左ドッグレッグのロングホール,やや左ドッグレッグのロングホール,やや左ドッグレッグのロングホール
2,難易度7位/18ホール中 平均スコア5.48 平均パット数1.95 パーオン率10.8% フェアウェイ率40.3% OB率3.7% バンカー率15.0%,難易度7位/18ホール中 平均スコア5.48 平均パット数1.95 パーオン率10.8% フェアウェイ率40.3% OB率3.7% バンカー率15.0%,難易度7位/18ホール中 平均スコア5.48 平均パット数1.95 パーオン率10.8% フェアウェイ率40.3% OB率3.7% バンカー率15.0%,難易度18位/18ホール中 平均スコア3.91 平均パット数1.96 パーオン率31.0% フェアウェイ率- OB率4.3% バンカー率24.8%,難易度18位/18ホール中 平均スコア3.91 平均パット数1.96 パーオン率31.0% フェアウェイ率- OB率4.3% バンカー率24.8%,難易度18位/18ホール中 平均スコア3.91 平均パット数1.96 パーオン率31.0% フェアウェイ率- OB率4.3% バンカー率24.8%,難易度6位/18ホール中 平均スコア6.49 平均パット数2.01 パーオン率22.5% フェアウェイ率52.8% OB率9.3% バンカー率20.5%,難易度6位/18ホール中 平均スコア6.49 平均パット数2.01 パーオン率22.5% フェアウェイ率52.8% OB率9.3% バンカー率20.5%,難易度6位/18ホール中 平均スコア6.49 平均パット数2.01 パーオン率22.5% フェアウェイ率52.8% OB率9.3% バンカー率20.5%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：340yd,Hdcp：13,PAR：5,Reg.：489yd,Hdcp：7,PAR：4,Reg.：425yd,Hdcp：1
5,狙い目はＦＷ中央 ホール右下広くグリーン狙える,狙い目はＦＷ中央 ホール右下広くグリーン狙える,狙い目はＦＷ中央 ホール右下広くグリーン狙える,右ドッグレッグのロング　奥がＬ（左）グリーン,右ドッグレッグのロング　奥がＬ（左）グリーン,右ドッグレッグのロング　奥がＬ（左）グリーン,タフなミドルホール,タフなミドルホール,タフなミドルホール
6,難易度14位/18ホール中 平均スコア5.29 平均パット数2.01 パーオン率22.3% フェアウェイ率43.5% OB率9.5% バンカー率35.3%,難易度14位/18ホール中 平均スコア5.29 平均パット数2.01 パーオン率22.3% フェアウェイ率43.5% OB率9.5% バンカー率35.3%,難易度14位/18ホール中 平均スコア5.29 平均パット数2.01 パーオン率22.3% フェアウェイ率43.5% OB率9.5% バンカー率35.3%,難易度11位/18ホール中 平均スコア6.36 平均パット数1.91 パーオン率21.5% フェアウェイ率44.5% OB率12.3% バンカー率40.0%,難易度11位/18ホール中 平均スコア6.36 平均パット数1.91 パーオン率21.5% フェアウェイ率44.5% OB率12.3% バンカー率40.0%,難易度11位/18ホール中 平均スコア6.36 平均パット数1.91 パーオン率21.5% フェアウェイ率44.5% OB率12.3% バンカー率40.0%,難易度1位/18ホール中 平均スコア5.7 平均パット数2 パーオン率6.5% フェアウェイ率49.0% OB率12.5% バンカー率31.8%,難易度1位/18ホール中 平均スコア5.7 平均パット数2 パーオン率6.5% フェアウェイ率49.0% OB率12.5% バンカー率31.8%,難易度1位/18ホール中 平均スコア5.7 平均パット数2 パーオン率6.5% フェアウェイ率49.0% OB率12.5% バンカー率31.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：382yd,Hdcp：5,PAR：3,Reg.：161yd,Hdcp：17,PAR：4,Reg.：376yd,Hdcp：11
9,長いミドルホール　奥がＬ（左）グリーン,長いミドルホール　奥がＬ（左）グリーン,長いミドルホール　奥がＬ（左）グリーン,池越えのショートホール,池越えのショートホール,池越えのショートホール,左側はＯＢ、右側は池があり慎重にＦＷに運びたい,左側はＯＢ、右側は池があり慎重にＦＷに運びたい,左側はＯＢ、右側は池があり慎重にＦＷに運びたい
10,難易度10位/18ホール中 平均スコア5.44 平均パット数2.02 パーオン率14.8% フェアウェイ率49.3% OB率3.5% バンカー率27.3%,難易度10位/18ホール中 平均スコア5.44 平均パット数2.02 パーオン率14.8% フェアウェイ率49.3% OB率3.5% バンカー率27.3%,難易度10位/18ホール中 平均スコア5.44 平均パット数2.02 パーオン率14.8% フェアウェイ率49.3% OB率3.5% バンカー率27.3%,難易度16位/18ホール中 平均スコア4.14 平均パット数1.9 パーオン率19.0% フェアウェイ率- OB率6.5% バンカー率15.0%,難易度16位/18ホール中 平均スコア4.14 平均パット数1.9 パーオン率19.0% フェアウェイ率- OB率6.5% バンカー率15.0%,難易度16位/18ホール中 平均スコア4.14 平均パット数1.9 パーオン率19.0% フェアウェイ率- OB率6.5% バンカー率15.0%,難易度9位/18ホール中 平均スコア5.42 平均パット数1.98 パーオン率17.0% フェアウェイ率50.8% OB率21.5% バンカー率20.8%,難易度9位/18ホール中 平均スコア5.42 平均パット数1.98 パーオン率17.0% フェアウェイ率50.8% OB率21.5% バンカー率20.8%,難易度9位/18ホール中 平均スコア5.42 平均パット数1.98 パーオン率17.0% フェアウェイ率50.8% OB率21.5% バンカー率20.8%
