,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：317yd,Hdcp：3,PAR：4,Reg.：360yd,Hdcp：9,PAR：4,Reg.：307yd,Hdcp：15
1,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,アイランドグリーンのミドルホール,アイランドグリーンのミドルホール,アイランドグリーンのミドルホール
2,難易度14位/18ホール中 平均スコア5.26 平均パット数2.09 パーオン率26.0% フェアウェイ率47.8% OB率11.5% バンカー率12.5%,難易度14位/18ホール中 平均スコア5.26 平均パット数2.09 パーオン率26.0% フェアウェイ率47.8% OB率11.5% バンカー率12.5%,難易度14位/18ホール中 平均スコア5.26 平均パット数2.09 パーオン率26.0% フェアウェイ率47.8% OB率11.5% バンカー率12.5%,難易度5位/18ホール中 平均スコア5.47 平均パット数2.06 パーオン率18.3% フェアウェイ率50.8% OB率3.7% バンカー率11.8%,難易度5位/18ホール中 平均スコア5.47 平均パット数2.06 パーオン率18.3% フェアウェイ率50.8% OB率3.7% バンカー率11.8%,難易度5位/18ホール中 平均スコア5.47 平均パット数2.06 パーオン率18.3% フェアウェイ率50.8% OB率3.7% バンカー率11.8%,難易度12位/18ホール中 平均スコア5.36 平均パット数1.99 パーオン率28.3% フェアウェイ率52.0% OB率3.7% バンカー率12.3%,難易度12位/18ホール中 平均スコア5.36 平均パット数1.99 パーオン率28.3% フェアウェイ率52.0% OB率3.7% バンカー率12.3%,難易度12位/18ホール中 平均スコア5.36 平均パット数1.99 パーオン率28.3% フェアウェイ率52.0% OB率3.7% バンカー率12.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：362yd,Hdcp：7,PAR：5,Reg.：535yd,Hdcp：1,PAR：3,Reg.：162yd,Hdcp：13
5,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール,池越えのショートホール,池越えのショートホール,池越えのショートホール
6,難易度4位/18ホール中 平均スコア5.53 平均パット数2.07 パーオン率14.8% フェアウェイ率47.0% OB率2.0% バンカー率16.0%,難易度4位/18ホール中 平均スコア5.53 平均パット数2.07 パーオン率14.8% フェアウェイ率47.0% OB率2.0% バンカー率16.0%,難易度4位/18ホール中 平均スコア5.53 平均パット数2.07 パーオン率14.8% フェアウェイ率47.0% OB率2.0% バンカー率16.0%,難易度6位/18ホール中 平均スコア6.45 平均パット数2.02 パーオン率19.3% フェアウェイ率44.8% OB率3.0% バンカー率15.8%,難易度6位/18ホール中 平均スコア6.45 平均パット数2.02 パーオン率19.3% フェアウェイ率44.8% OB率3.0% バンカー率15.8%,難易度6位/18ホール中 平均スコア6.45 平均パット数2.02 パーオン率19.3% フェアウェイ率44.8% OB率3.0% バンカー率15.8%,難易度16位/18ホール中 平均スコア4.03 平均パット数1.98 パーオン率28.0% フェアウェイ率- OB率3.3% バンカー率3.5%,難易度16位/18ホール中 平均スコア4.03 平均パット数1.98 パーオン率28.0% フェアウェイ率- OB率3.3% バンカー率3.5%,難易度16位/18ホール中 平均スコア4.03 平均パット数1.98 パーオン率28.0% フェアウェイ率- OB率3.3% バンカー率3.5%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：5,Reg.：526yd,Hdcp：5,PAR：3,Reg.：159yd,Hdcp：17,PAR：4,Reg.：385yd,Hdcp：11
9,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール,ショートホール,ショートホール,ショートホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
10,難易度8位/18ホール中 平均スコア6.42 平均パット数2.19 パーオン率28.0% フェアウェイ率58.0% OB率7.3% バンカー率10.8%,難易度8位/18ホール中 平均スコア6.42 平均パット数2.19 パーオン率28.0% フェアウェイ率58.0% OB率7.3% バンカー率10.8%,難易度8位/18ホール中 平均スコア6.42 平均パット数2.19 パーオン率28.0% フェアウェイ率58.0% OB率7.3% バンカー率10.8%,難易度17位/18ホール中 平均スコア4.03 平均パット数1.93 パーオン率21.8% フェアウェイ率- OB率3.0% バンカー率15.5%,難易度17位/18ホール中 平均スコア4.03 平均パット数1.93 パーオン率21.8% フェアウェイ率- OB率3.0% バンカー率15.5%,難易度17位/18ホール中 平均スコア4.03 平均パット数1.93 パーオン率21.8% フェアウェイ率- OB率3.0% バンカー率15.5%,難易度10位/18ホール中 平均スコア5.45 平均パット数2.01 パーオン率15.5% フェアウェイ率47.8% OB率12.5% バンカー率27.0%,難易度10位/18ホール中 平均スコア5.45 平均パット数2.01 パーオン率15.5% フェアウェイ率47.8% OB率12.5% バンカー率27.0%,難易度10位/18ホール中 平均スコア5.45 平均パット数2.01 パーオン率15.5% フェアウェイ率47.8% OB率12.5% バンカー率27.0%
