,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：515yd,Hdcp：9,PAR：4,Reg.：370yd,Hdcp：7,PAR：3,Reg.：142yd,Hdcp：15
1,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,ショートホール,ショートホール,ショートホール
2,難易度10位/18ホール中 平均スコア6.33 平均パット数1.92 パーオン率22.0% フェアウェイ率46.0% OB率4.7% バンカー率13.8%,難易度10位/18ホール中 平均スコア6.33 平均パット数1.92 パーオン率22.0% フェアウェイ率46.0% OB率4.7% バンカー率13.8%,難易度10位/18ホール中 平均スコア6.33 平均パット数1.92 パーオン率22.0% フェアウェイ率46.0% OB率4.7% バンカー率13.8%,難易度11位/18ホール中 平均スコア5.35 平均パット数1.96 パーオン率16.8% フェアウェイ率46.0% OB率9.0% バンカー率2.7%,難易度11位/18ホール中 平均スコア5.35 平均パット数1.96 パーオン率16.8% フェアウェイ率46.0% OB率9.0% バンカー率2.7%,難易度11位/18ホール中 平均スコア5.35 平均パット数1.96 パーオン率16.8% フェアウェイ率46.0% OB率9.0% バンカー率2.7%,難易度18位/18ホール中 平均スコア4.08 平均パット数1.94 パーオン率20.0% フェアウェイ率- OB率3.0% バンカー率21.3%,難易度18位/18ホール中 平均スコア4.08 平均パット数1.94 パーオン率20.0% フェアウェイ率- OB率3.0% バンカー率21.3%,難易度18位/18ホール中 平均スコア4.08 平均パット数1.94 パーオン率20.0% フェアウェイ率- OB率3.0% バンカー率21.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：345yd,Hdcp：13,PAR：4,Reg.：341yd,Hdcp：1,PAR：5,Reg.：499yd,Hdcp：11
5,ほぼ真っ直ぐなミドルホール,ほぼ真っ直ぐなミドルホール,ほぼ真っ直ぐなミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,フェアウェイが広いので のびのびと中央を狙う,フェアウェイが広いので のびのびと中央を狙う,フェアウェイが広いので のびのびと中央を狙う
6,難易度12位/18ホール中 平均スコア5.33 平均パット数1.92 パーオン率15.8% フェアウェイ率49.3% OB率3.0% バンカー率10.3%,難易度12位/18ホール中 平均スコア5.33 平均パット数1.92 パーオン率15.8% フェアウェイ率49.3% OB率3.0% バンカー率10.3%,難易度12位/18ホール中 平均スコア5.33 平均パット数1.92 パーオン率15.8% フェアウェイ率49.3% OB率3.0% バンカー率10.3%,難易度6位/18ホール中 平均スコア5.43 平均パット数1.94 パーオン率13.5% フェアウェイ率44.0% OB率4.0% バンカー率25.8%,難易度6位/18ホール中 平均スコア5.43 平均パット数1.94 パーオン率13.5% フェアウェイ率44.0% OB率4.0% バンカー率25.8%,難易度6位/18ホール中 平均スコア5.43 平均パット数1.94 パーオン率13.5% フェアウェイ率44.0% OB率4.0% バンカー率25.8%,難易度5位/18ホール中 平均スコア6.43 平均パット数1.96 パーオン率19.8% フェアウェイ率47.8% OB率2.3% バンカー率11.0%,難易度5位/18ホール中 平均スコア6.43 平均パット数1.96 パーオン率19.8% フェアウェイ率47.8% OB率2.3% バンカー率11.0%,難易度5位/18ホール中 平均スコア6.43 平均パット数1.96 パーオン率19.8% フェアウェイ率47.8% OB率2.3% バンカー率11.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：149yd,Hdcp：17,PAR：4,Reg.：379yd,Hdcp：5,PAR：4,Reg.：390yd,Hdcp：3
9,高低差10ヤードの打ち下ろしホール　中央手前狙い,高低差10ヤードの打ち下ろしホール　中央手前狙い,高低差10ヤードの打ち下ろしホール　中央手前狙い,ティ前の池は気にせず、まっすぐ大空に向かって,ティ前の池は気にせず、まっすぐ大空に向かって,ティ前の池は気にせず、まっすぐ大空に向かって,長いミドルホール,長いミドルホール,長いミドルホール
10,難易度15位/18ホール中 平均スコア4.18 平均パット数1.93 パーオン率16.0% フェアウェイ率- OB率3.0% バンカー率34.3%,難易度15位/18ホール中 平均スコア4.18 平均パット数1.93 パーオン率16.0% フェアウェイ率- OB率3.0% バンカー率34.3%,難易度15位/18ホール中 平均スコア4.18 平均パット数1.93 パーオン率16.0% フェアウェイ率- OB率3.0% バンカー率34.3%,難易度9位/18ホール中 平均スコア5.4 平均パット数1.89 パーオン率12.5% フェアウェイ率49.5% OB率3.0% バンカー率7.8%,難易度9位/18ホール中 平均スコア5.4 平均パット数1.89 パーオン率12.5% フェアウェイ率49.5% OB率3.0% バンカー率7.8%,難易度9位/18ホール中 平均スコア5.4 平均パット数1.89 パーオン率12.5% フェアウェイ率49.5% OB率3.0% バンカー率7.8%,難易度3位/18ホール中 平均スコア5.54 平均パット数1.91 パーオン率9.0% フェアウェイ率45.3% OB率2.0% バンカー率8.3%,難易度3位/18ホール中 平均スコア5.54 平均パット数1.91 パーオン率9.0% フェアウェイ率45.3% OB率2.0% バンカー率8.3%,難易度3位/18ホール中 平均スコア5.54 平均パット数1.91 パーオン率9.0% フェアウェイ率45.3% OB率2.0% バンカー率8.3%
