,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：5,Reg.：513yd,Hdcp：4,PAR：4,Reg.：349yd,Hdcp：10,PAR：4,Reg.：330yd,Hdcp：16
1,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,左ドッグレッグのミドル　手前がＬ（左）グリーン,左ドッグレッグのミドル　手前がＬ（左）グリーン,左ドッグレッグのミドル　手前がＬ（左）グリーン,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
2,難易度1位/18ホール中 平均スコア6.64 平均パット数1.94 パーオン率14.5% フェアウェイ率46.8% OB率19.5% バンカー率20.5%,難易度1位/18ホール中 平均スコア6.64 平均パット数1.94 パーオン率14.5% フェアウェイ率46.8% OB率19.5% バンカー率20.5%,難易度1位/18ホール中 平均スコア6.64 平均パット数1.94 パーオン率14.5% フェアウェイ率46.8% OB率19.5% バンカー率20.5%,難易度2位/18ホール中 平均スコア5.6 平均パット数1.97 パーオン率8.0% フェアウェイ率54.3% OB率10.3% バンカー率13.0%,難易度2位/18ホール中 平均スコア5.6 平均パット数1.97 パーオン率8.0% フェアウェイ率54.3% OB率10.3% バンカー率13.0%,難易度2位/18ホール中 平均スコア5.6 平均パット数1.97 パーオン率8.0% フェアウェイ率54.3% OB率10.3% バンカー率13.0%,難易度6位/18ホール中 平均スコア5.37 平均パット数1.92 パーオン率16.0% フェアウェイ率59.0% OB率15.5% バンカー率16.0%,難易度6位/18ホール中 平均スコア5.37 平均パット数1.92 パーオン率16.0% フェアウェイ率59.0% OB率15.5% バンカー率16.0%,難易度6位/18ホール中 平均スコア5.37 平均パット数1.92 パーオン率16.0% フェアウェイ率59.0% OB率15.5% バンカー率16.0%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：3,Reg.：162yd,Hdcp：14,PAR：4,Reg.：327yd,Hdcp：2,PAR：4,Reg.：281yd,Hdcp：8
5,ショートホール,ショートホール,ショートホール,谷越えのミドルホール,谷越えのミドルホール,谷越えのミドルホール,短いミドルホール　手前がＬ（左）グリーン,短いミドルホール　手前がＬ（左）グリーン,短いミドルホール　手前がＬ（左）グリーン
6,難易度18位/18ホール中 平均スコア3.85 平均パット数1.95 パーオン率33.3% フェアウェイ率- OB率4.3% バンカー率17.3%,難易度18位/18ホール中 平均スコア3.85 平均パット数1.95 パーオン率33.3% フェアウェイ率- OB率4.3% バンカー率17.3%,難易度18位/18ホール中 平均スコア3.85 平均パット数1.95 パーオン率33.3% フェアウェイ率- OB率4.3% バンカー率17.3%,難易度10位/18ホール中 平均スコア5.39 平均パット数1.95 パーオン率18.0% フェアウェイ率48.3% OB率30.3% バンカー率3.5%,難易度10位/18ホール中 平均スコア5.39 平均パット数1.95 パーオン率18.0% フェアウェイ率48.3% OB率30.3% バンカー率3.5%,難易度10位/18ホール中 平均スコア5.39 平均パット数1.95 パーオン率18.0% フェアウェイ率48.3% OB率30.3% バンカー率3.5%,難易度13位/18ホール中 平均スコア5.21 平均パット数1.91 パーオン率24.3% フェアウェイ率50.3% OB率24.8% バンカー率6.5%,難易度13位/18ホール中 平均スコア5.21 平均パット数1.91 パーオン率24.3% フェアウェイ率50.3% OB率24.8% バンカー率6.5%,難易度13位/18ホール中 平均スコア5.21 平均パット数1.91 パーオン率24.3% フェアウェイ率50.3% OB率24.8% バンカー率6.5%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：3,Reg.：132yd,Hdcp：12,PAR：4,Reg.：354yd,Hdcp：6,PAR：5,Reg.：507yd,Hdcp：18
9,短いショートホール,短いショートホール,短いショートホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのロングホール奥がＬ（左）グリーン,左ドッグレッグのロングホール奥がＬ（左）グリーン,左ドッグレッグのロングホール奥がＬ（左）グリーン
10,難易度17位/18ホール中 平均スコア3.9 平均パット数1.9 パーオン率25.8% フェアウェイ率- OB率9.5% バンカー率4.3%,難易度17位/18ホール中 平均スコア3.9 平均パット数1.9 パーオン率25.8% フェアウェイ率- OB率9.5% バンカー率4.3%,難易度17位/18ホール中 平均スコア3.9 平均パット数1.9 パーオン率25.8% フェアウェイ率- OB率9.5% バンカー率4.3%,難易度7位/18ホール中 平均スコア5.43 平均パット数1.89 パーオン率16.5% フェアウェイ率41.8% OB率47.5% バンカー率2.0%,難易度7位/18ホール中 平均スコア5.43 平均パット数1.89 パーオン率16.5% フェアウェイ率41.8% OB率47.5% バンカー率2.0%,難易度7位/18ホール中 平均スコア5.43 平均パット数1.89 パーオン率16.5% フェアウェイ率41.8% OB率47.5% バンカー率2.0%,難易度3位/18ホール中 平均スコア6.59 平均パット数1.89 パーオン率18.5% フェアウェイ率38.8% OB率43.0% バンカー率7.3%,難易度3位/18ホール中 平均スコア6.59 平均パット数1.89 パーオン率18.5% フェアウェイ率38.8% OB率43.0% バンカー率7.3%,難易度3位/18ホール中 平均スコア6.59 平均パット数1.89 パーオン率18.5% フェアウェイ率38.8% OB率43.0% バンカー率7.3%
