,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：351yd,Hdcp：7,PAR：4,Reg.：353yd,Hdcp：6,PAR：4,Reg.：353yd,Hdcp：4
1,右ＯＢあり　一打目は左に,右ＯＢあり　一打目は左に,右ＯＢあり　一打目は左に,一打目　中央松の木を目標に,一打目　中央松の木を目標に,一打目　中央松の木を目標に,右ＯＢに注意　左からの風が意外にあり左狙い,右ＯＢに注意　左からの風が意外にあり左狙い,右ＯＢに注意　左からの風が意外にあり左狙い
2,難易度3位/9ホール中 平均スコア5.41 平均パット数2.1 パーオン率24.0% フェアウェイ率57.0% OB率12.0% バンカー率42.3%,難易度3位/9ホール中 平均スコア5.41 平均パット数2.1 パーオン率24.0% フェアウェイ率57.0% OB率12.0% バンカー率42.3%,難易度3位/9ホール中 平均スコア5.41 平均パット数2.1 パーオン率24.0% フェアウェイ率57.0% OB率12.0% バンカー率42.3%,難易度6位/9ホール中 平均スコア5.28 平均パット数2.11 パーオン率25.3% フェアウェイ率66.3% OB率50.0% バンカー率37.3%,難易度6位/9ホール中 平均スコア5.28 平均パット数2.11 パーオン率25.3% フェアウェイ率66.3% OB率50.0% バンカー率37.3%,難易度6位/9ホール中 平均スコア5.28 平均パット数2.11 パーオン率25.3% フェアウェイ率66.3% OB率50.0% バンカー率37.3%,難易度7位/9ホール中 平均スコア5.14 平均パット数2.07 パーオン率26.3% フェアウェイ率56.8% OB率11.5% バンカー率39.0%,難易度7位/9ホール中 平均スコア5.14 平均パット数2.07 パーオン率26.3% フェアウェイ率56.8% OB率11.5% バンカー率39.0%,難易度7位/9ホール中 平均スコア5.14 平均パット数2.07 パーオン率26.3% フェアウェイ率56.8% OB率11.5% バンカー率39.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：189yd,Hdcp：5,PAR：5,Reg.：470yd,Hdcp：8,PAR：4,Reg.：374yd,Hdcp：1
5,ショートホール　ティとグリーンでは風の感じが違う,ショートホール　ティとグリーンでは風の感じが違う,ショートホール　ティとグリーンでは風の感じが違う,打ち上げのロングホール　一打目は左に,打ち上げのロングホール　一打目は左に,打ち上げのロングホール　一打目は左に,箱庭ホール　ハンディキャップ１のミドルホール,箱庭ホール　ハンディキャップ１のミドルホール,箱庭ホール　ハンディキャップ１のミドルホール
6,難易度9位/9ホール中 平均スコア4.12 平均パット数2.17 パーオン率26.0% フェアウェイ率- OB率30.5% バンカー率39.3%,難易度9位/9ホール中 平均スコア4.12 平均パット数2.17 パーオン率26.0% フェアウェイ率- OB率30.5% バンカー率39.3%,難易度9位/9ホール中 平均スコア4.12 平均パット数2.17 パーオン率26.0% フェアウェイ率- OB率30.5% バンカー率39.3%,難易度4位/9ホール中 平均スコア6.31 平均パット数2.15 パーオン率52.0% フェアウェイ率55.8% OB率35.7% バンカー率32.7%,難易度4位/9ホール中 平均スコア6.31 平均パット数2.15 パーオン率52.0% フェアウェイ率55.8% OB率35.7% バンカー率32.7%,難易度4位/9ホール中 平均スコア6.31 平均パット数2.15 パーオン率52.0% フェアウェイ率55.8% OB率35.7% バンカー率32.7%,難易度2位/9ホール中 平均スコア5.59 平均パット数2.09 パーオン率20.0% フェアウェイ率49.3% OB率28.0% バンカー率20.0%,難易度2位/9ホール中 平均スコア5.59 平均パット数2.09 パーオン率20.0% フェアウェイ率49.3% OB率28.0% バンカー率20.0%,難易度2位/9ホール中 平均スコア5.59 平均パット数2.09 パーオン率20.0% フェアウェイ率49.3% OB率28.0% バンカー率20.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：175yd,Hdcp：9,PAR：4,Reg.：383yd,Hdcp：3,PAR：5,Reg.：525yd,Hdcp：2
9,右バンカー、ウォーターハザードを避け左目に,右バンカー、ウォーターハザードを避け左目に,右バンカー、ウォーターハザードを避け左目に,一打目　左よりの風に注意,一打目　左よりの風に注意,一打目　左よりの風に注意,一打目二打目ともに右よりに　距離のあるロング,一打目二打目ともに右よりに　距離のあるロング,一打目二打目ともに右よりに　距離のあるロング
10,難易度8位/9ホール中 平均スコア4.25 平均パット数2.15 パーオン率20.8% フェアウェイ率- OB率32.0% バンカー率26.7%,難易度8位/9ホール中 平均スコア4.25 平均パット数2.15 パーオン率20.8% フェアウェイ率- OB率32.0% バンカー率26.7%,難易度8位/9ホール中 平均スコア4.25 平均パット数2.15 パーオン率20.8% フェアウェイ率- OB率32.0% バンカー率26.7%,難易度5位/9ホール中 平均スコア5.34 平均パット数2.1 パーオン率20.0% フェアウェイ率64.0% OB率23.0% バンカー率32.0%,難易度5位/9ホール中 平均スコア5.34 平均パット数2.1 パーオン率20.0% フェアウェイ率64.0% OB率23.0% バンカー率32.0%,難易度5位/9ホール中 平均スコア5.34 平均パット数2.1 パーオン率20.0% フェアウェイ率64.0% OB率23.0% バンカー率32.0%,難易度1位/9ホール中 平均スコア6.73 平均パット数2.06 パーオン率6.7% フェアウェイ率61.5% OB率23.0% バンカー率28.3%,難易度1位/9ホール中 平均スコア6.73 平均パット数2.06 パーオン率6.7% フェアウェイ率61.5% OB率23.0% バンカー率28.3%,難易度1位/9ホール中 平均スコア6.73 平均パット数2.06 パーオン率6.7% フェアウェイ率61.5% OB率23.0% バンカー率28.3%
