,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：420yd,Hdcp：8,PAR：3,Reg.：152yd,Hdcp：14,PAR：5,Reg.：526yd,Hdcp：2
1,狭く見えるがフェアウェイは広い　やや打ち下ろしのミドルホール,狭く見えるがフェアウェイは広い　やや打ち下ろしのミドルホール,狭く見えるがフェアウェイは広い　やや打ち下ろしのミドルホール,ショートホール。グリーン手前左側に池、グリーン左右にバンカーあり。,ショートホール。グリーン手前左側に池、グリーン左右にバンカーあり。,ショートホール。グリーン手前左側に池、グリーン左右にバンカーあり。,ティグラウンドが細く、バンカーが１４個もあるロングホール。,ティグラウンドが細く、バンカーが１４個もあるロングホール。,ティグラウンドが細く、バンカーが１４個もあるロングホール。
2,難易度5位/18ホール中 平均スコア5.56 平均パット数2.02 パーオン率13.3% フェアウェイ率42.0% OB率35.5% バンカー率25.8%,難易度5位/18ホール中 平均スコア5.56 平均パット数2.02 パーオン率13.3% フェアウェイ率42.0% OB率35.5% バンカー率25.8%,難易度5位/18ホール中 平均スコア5.56 平均パット数2.02 パーオン率13.3% フェアウェイ率42.0% OB率35.5% バンカー率25.8%,難易度17位/18ホール中 平均スコア3.96 平均パット数2.1 パーオン率40.8% フェアウェイ率- OB率16.0% バンカー率18.5%,難易度17位/18ホール中 平均スコア3.96 平均パット数2.1 パーオン率40.8% フェアウェイ率- OB率16.0% バンカー率18.5%,難易度17位/18ホール中 平均スコア3.96 平均パット数2.1 パーオン率40.8% フェアウェイ率- OB率16.0% バンカー率18.5%,難易度1位/18ホール中 平均スコア6.59 平均パット数2.08 パーオン率24.5% フェアウェイ率49.3% OB率50.8% バンカー率21.8%,難易度1位/18ホール中 平均スコア6.59 平均パット数2.08 パーオン率24.5% フェアウェイ率49.3% OB率50.8% バンカー率21.8%,難易度1位/18ホール中 平均スコア6.59 平均パット数2.08 パーオン率24.5% フェアウェイ率49.3% OB率50.8% バンカー率21.8%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：336yd,Hdcp：6,PAR：4,Reg.：383yd,Hdcp：12,PAR：4,Reg.：330yd,Hdcp：18
5,フェアウェイ中央には大きな池。ティーショットは池の手前に刻むのが無難,フェアウェイ中央には大きな池。ティーショットは池の手前に刻むのが無難,フェアウェイ中央には大きな池。ティーショットは池の手前に刻むのが無難,バンカーの無いやや打ち上げで谷越えのミドルホール,バンカーの無いやや打ち上げで谷越えのミドルホール,バンカーの無いやや打ち上げで谷越えのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
6,難易度8位/18ホール中 平均スコア5.32 平均パット数2.05 パーオン率26.8% フェアウェイ率50.0% OB率40.8% バンカー率12.0%,難易度8位/18ホール中 平均スコア5.32 平均パット数2.05 パーオン率26.8% フェアウェイ率50.0% OB率40.8% バンカー率12.0%,難易度8位/18ホール中 平均スコア5.32 平均パット数2.05 パーオン率26.8% フェアウェイ率50.0% OB率40.8% バンカー率12.0%,難易度2位/18ホール中 平均スコア5.56 平均パット数2.05 パーオン率18.3% フェアウェイ率43.3% OB率59.5% バンカー率1.3%,難易度2位/18ホール中 平均スコア5.56 平均パット数2.05 パーオン率18.3% フェアウェイ率43.3% OB率59.5% バンカー率1.3%,難易度2位/18ホール中 平均スコア5.56 平均パット数2.05 パーオン率18.3% フェアウェイ率43.3% OB率59.5% バンカー率1.3%,難易度13位/18ホール中 平均スコア5.19 平均パット数2.07 パーオン率32.3% フェアウェイ率47.5% OB率39.3% バンカー率21.5%,難易度13位/18ホール中 平均スコア5.19 平均パット数2.07 パーオン率32.3% フェアウェイ率47.5% OB率39.3% バンカー率21.5%,難易度13位/18ホール中 平均スコア5.19 平均パット数2.07 パーオン率32.3% フェアウェイ率47.5% OB率39.3% バンカー率21.5%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：5,Reg.：470yd,Hdcp：16,PAR：3,Reg.：164yd,Hdcp：10,PAR：4,Reg.：377yd,Hdcp：4
9,ストレートなサービスロングホール,ストレートなサービスロングホール,ストレートなサービスロングホール,広々としたグリーン。打ち下ろしの美しいショートホール。,広々としたグリーン。打ち下ろしの美しいショートホール。,広々としたグリーン。打ち下ろしの美しいショートホール。,やや打ち上げのミドルホール,やや打ち上げのミドルホール,やや打ち上げのミドルホール
