,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：5,Reg.：538yd,Hdcp：10,PAR：3,Reg.：147yd,Hdcp：18,PAR：4,Reg.：374yd,Hdcp：2
1,豪快なティショットが楽しめるロングホール,豪快なティショットが楽しめるロングホール,豪快なティショットが楽しめるロングホール,緩やかな打ち下ろしのショートホール,緩やかな打ち下ろしのショートホール,緩やかな打ち下ろしのショートホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
2,難易度5位/18ホール中 平均スコア6.48 平均パット数2.03 パーオン率22.8% フェアウェイ率46.8% OB率28.5% バンカー率41.5%,難易度5位/18ホール中 平均スコア6.48 平均パット数2.03 パーオン率22.8% フェアウェイ率46.8% OB率28.5% バンカー率41.5%,難易度5位/18ホール中 平均スコア6.48 平均パット数2.03 パーオン率22.8% フェアウェイ率46.8% OB率28.5% バンカー率41.5%,難易度17位/18ホール中 平均スコア3.88 平均パット数2.01 パーオン率39.0% フェアウェイ率- OB率24.0% バンカー率34.5%,難易度17位/18ホール中 平均スコア3.88 平均パット数2.01 パーオン率39.0% フェアウェイ率- OB率24.0% バンカー率34.5%,難易度17位/18ホール中 平均スコア3.88 平均パット数2.01 パーオン率39.0% フェアウェイ率- OB率24.0% バンカー率34.5%,難易度7位/18ホール中 平均スコア5.48 平均パット数2.07 パーオン率17.5% フェアウェイ率47.8% OB率32.0% バンカー率27.3%,難易度7位/18ホール中 平均スコア5.48 平均パット数2.07 パーオン率17.5% フェアウェイ率47.8% OB率32.0% バンカー率27.3%,難易度7位/18ホール中 平均スコア5.48 平均パット数2.07 パーオン率17.5% フェアウェイ率47.8% OB率32.0% バンカー率27.3%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：379yd,Hdcp：12,PAR：5,Reg.：527yd,Hdcp：8,PAR：4,Reg.：346yd,Hdcp：14
5,池とビーチバンカーを配置したドラコンホール,池とビーチバンカーを配置したドラコンホール,池とビーチバンカーを配置したドラコンホール,池がからむ美しいロングホール,池がからむ美しいロングホール,池がからむ美しいロングホール,緩やかな上りの右ドッグレッグしたミドルホール,緩やかな上りの右ドッグレッグしたミドルホール,緩やかな上りの右ドッグレッグしたミドルホール
6,難易度12位/18ホール中 平均スコア5.32 平均パット数2.1 パーオン率22.0% フェアウェイ率50.0% OB率14.0% バンカー率36.3%,難易度12位/18ホール中 平均スコア5.32 平均パット数2.1 パーオン率22.0% フェアウェイ率50.0% OB率14.0% バンカー率36.3%,難易度12位/18ホール中 平均スコア5.32 平均パット数2.1 パーオン率22.0% フェアウェイ率50.0% OB率14.0% バンカー率36.3%,難易度1位/18ホール中 平均スコア6.74 平均パット数2.09 パーオン率19.0% フェアウェイ率49.0% OB率27.0% バンカー率21.0%,難易度1位/18ホール中 平均スコア6.74 平均パット数2.09 パーオン率19.0% フェアウェイ率49.0% OB率27.0% バンカー率21.0%,難易度1位/18ホール中 平均スコア6.74 平均パット数2.09 パーオン率19.0% フェアウェイ率49.0% OB率27.0% バンカー率21.0%,難易度13位/18ホール中 平均スコア5.31 平均パット数2.07 パーオン率23.5% フェアウェイ率49.0% OB率26.0% バンカー率29.3%,難易度13位/18ホール中 平均スコア5.31 平均パット数2.07 パーオン率23.5% フェアウェイ率49.0% OB率26.0% バンカー率29.3%,難易度13位/18ホール中 平均スコア5.31 平均パット数2.07 パーオン率23.5% フェアウェイ率49.0% OB率26.0% バンカー率29.3%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：386yd,Hdcp：4,PAR：3,Reg.：179yd,Hdcp：16,PAR：4,Reg.：433yd,Hdcp：6
9,やや打ち下ろしのミドルホール,やや打ち下ろしのミドルホール,やや打ち下ろしのミドルホール,美しい池越えのショートホール,美しい池越えのショートホール,美しい池越えのショートホール,広々とした距離のある最終ホール,広々とした距離のある最終ホール,広々とした距離のある最終ホール
10,難易度11位/18ホール中 平均スコア5.32 平均パット数2.1 パーオン率24.3% フェアウェイ率48.8% OB率29.5% バンカー率32.3%,難易度11位/18ホール中 平均スコア5.32 平均パット数2.1 パーオン率24.3% フェアウェイ率48.8% OB率29.5% バンカー率32.3%,難易度11位/18ホール中 平均スコア5.32 平均パット数2.1 パーオン率24.3% フェアウェイ率48.8% OB率29.5% バンカー率32.3%,難易度16位/18ホール中 平均スコア4.09 平均パット数2.05 パーオン率32.0% フェアウェイ率- OB率10.3% バンカー率16.8%,難易度16位/18ホール中 平均スコア4.09 平均パット数2.05 パーオン率32.0% フェアウェイ率- OB率10.3% バンカー率16.8%,難易度16位/18ホール中 平均スコア4.09 平均パット数2.05 パーオン率32.0% フェアウェイ率- OB率10.3% バンカー率16.8%,難易度4位/18ホール中 平均スコア5.64 平均パット数2.06 パーオン率8.5% フェアウェイ率45.8% OB率28.0% バンカー率29.3%,難易度4位/18ホール中 平均スコア5.64 平均パット数2.06 パーオン率8.5% フェアウェイ率45.8% OB率28.0% バンカー率29.3%,難易度4位/18ホール中 平均スコア5.64 平均パット数2.06 パーオン率8.5% フェアウェイ率45.8% OB率28.0% バンカー率29.3%
