,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：335yd,Hdcp：12,PAR：5,Reg.：441yd,Hdcp：4,PAR：3,Reg.：137yd,Hdcp：10
1,グリーンまで左傾斜、打ち下ろしのミドルホール,グリーンまで左傾斜、打ち下ろしのミドルホール,グリーンまで左傾斜、打ち下ろしのミドルホール,両サイドＯＢ、方向が取りにくいロングホール,両サイドＯＢ、方向が取りにくいロングホール,両サイドＯＢ、方向が取りにくいロングホール,谷越えのショート　左右はＯＢ距離感が難しい,谷越えのショート　左右はＯＢ距離感が難しい,谷越えのショート　左右はＯＢ距離感が難しい
2,難易度11位/18ホール中 平均スコア5.25 平均パット数2.16 パーオン率35.0% フェアウェイ率47.8% OB率40.3% バンカー率19.8%,難易度11位/18ホール中 平均スコア5.25 平均パット数2.16 パーオン率35.0% フェアウェイ率47.8% OB率40.3% バンカー率19.8%,難易度11位/18ホール中 平均スコア5.25 平均パット数2.16 パーオン率35.0% フェアウェイ率47.8% OB率40.3% バンカー率19.8%,難易度6位/18ホール中 平均スコア6.41 平均パット数2.1 パーオン率30.5% フェアウェイ率53.8% OB率52.0% バンカー率1.7%,難易度6位/18ホール中 平均スコア6.41 平均パット数2.1 パーオン率30.5% フェアウェイ率53.8% OB率52.0% バンカー率1.7%,難易度6位/18ホール中 平均スコア6.41 平均パット数2.1 パーオン率30.5% フェアウェイ率53.8% OB率52.0% バンカー率1.7%,難易度12位/18ホール中 平均スコア4.24 平均パット数2.13 パーオン率28.3% フェアウェイ率- OB率36.5% バンカー率12.5%,難易度12位/18ホール中 平均スコア4.24 平均パット数2.13 パーオン率28.3% フェアウェイ率- OB率36.5% バンカー率12.5%,難易度12位/18ホール中 平均スコア4.24 平均パット数2.13 パーオン率28.3% フェアウェイ率- OB率36.5% バンカー率12.5%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：250yd,Hdcp：14,PAR：4,Reg.：380yd,Hdcp：2,PAR：4,Reg.：351yd,Hdcp：16
5,距離のないフラットなミドルホール,距離のないフラットなミドルホール,距離のないフラットなミドルホール,右ドッグレッグのミドルホール、左右はＯＢ,右ドッグレッグのミドルホール、左右はＯＢ,右ドッグレッグのミドルホール、左右はＯＢ,距離のないミドルホール,距離のないミドルホール,距離のないミドルホール
6,難易度14位/18ホール中 平均スコア5.16 平均パット数2.06 パーオン率35.0% フェアウェイ率54.0% OB率41.0% バンカー率12.0%,難易度14位/18ホール中 平均スコア5.16 平均パット数2.06 パーオン率35.0% フェアウェイ率54.0% OB率41.0% バンカー率12.0%,難易度14位/18ホール中 平均スコア5.16 平均パット数2.06 パーオン率35.0% フェアウェイ率54.0% OB率41.0% バンカー率12.0%,難易度1位/18ホール中 平均スコア5.81 平均パット数2.08 パーオン率15.0% フェアウェイ率42.8% OB率62.0% バンカー率8.5%,難易度1位/18ホール中 平均スコア5.81 平均パット数2.08 パーオン率15.0% フェアウェイ率42.8% OB率62.0% バンカー率8.5%,難易度1位/18ホール中 平均スコア5.81 平均パット数2.08 パーオン率15.0% フェアウェイ率42.8% OB率62.0% バンカー率8.5%,難易度15位/18ホール中 平均スコア5.1 平均パット数2.06 パーオン率43.3% フェアウェイ率53.5% OB率46.8% バンカー率17.3%,難易度15位/18ホール中 平均スコア5.1 平均パット数2.06 パーオン率43.3% フェアウェイ率53.5% OB率46.8% バンカー率17.3%,難易度15位/18ホール中 平均スコア5.1 平均パット数2.06 パーオン率43.3% フェアウェイ率53.5% OB率46.8% バンカー率17.3%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：5,Reg.：427yd,Hdcp：8,PAR：3,Reg.：121yd,Hdcp：18,PAR：4,Reg.：349yd,Hdcp：6
9,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,風の影響を受けやすい打ち下ろしのショートホール,風の影響を受けやすい打ち下ろしのショートホール,風の影響を受けやすい打ち下ろしのショートホール,セカンドショットが打ち上げのミドルホール,セカンドショットが打ち上げのミドルホール,セカンドショットが打ち上げのミドルホール
10,難易度16位/18ホール中 平均スコア5.85 平均パット数2.06 パーオン率46.5% フェアウェイ率48.3% OB率17.3% バンカー率20.0%,難易度16位/18ホール中 平均スコア5.85 平均パット数2.06 パーオン率46.5% フェアウェイ率48.3% OB率17.3% バンカー率20.0%,難易度16位/18ホール中 平均スコア5.85 平均パット数2.06 パーオン率46.5% フェアウェイ率48.3% OB率17.3% バンカー率20.0%,難易度17位/18ホール中 平均スコア3.93 平均パット数2.19 パーオン率46.5% フェアウェイ率- OB率33.7% バンカー率14.3%,難易度17位/18ホール中 平均スコア3.93 平均パット数2.19 パーオン率46.5% フェアウェイ率- OB率33.7% バンカー率14.3%,難易度17位/18ホール中 平均スコア3.93 平均パット数2.19 パーオン率46.5% フェアウェイ率- OB率33.7% バンカー率14.3%,難易度7位/18ホール中 平均スコア5.44 平均パット数2.15 パーオン率24.3% フェアウェイ率48.3% OB率27.0% バンカー率21.5%,難易度7位/18ホール中 平均スコア5.44 平均パット数2.15 パーオン率24.3% フェアウェイ率48.3% OB率27.0% バンカー率21.5%,難易度7位/18ホール中 平均スコア5.44 平均パット数2.15 パーオン率24.3% フェアウェイ率48.3% OB率27.0% バンカー率21.5%
