,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：404yd,Hdcp：8,PAR：4,Reg.：432yd,Hdcp：2,PAR：3,Reg.：177yd,Hdcp：14
1,緩やかな上りのミドルホール,緩やかな上りのミドルホール,緩やかな上りのミドルホール,距離が長く難易度の高いミドルホール,距離が長く難易度の高いミドルホール,距離が長く難易度の高いミドルホール,砲台グリーン　グリーン側の風をよく読むこと,砲台グリーン　グリーン側の風をよく読むこと,砲台グリーン　グリーン側の風をよく読むこと
2,難易度5位/18ホール中 平均スコア5.43 平均パット数1.96 パーオン率14.3% フェアウェイ率56.8% OB率15.0% バンカー率63.5%,難易度5位/18ホール中 平均スコア5.43 平均パット数1.96 パーオン率14.3% フェアウェイ率56.8% OB率15.0% バンカー率63.5%,難易度5位/18ホール中 平均スコア5.43 平均パット数1.96 パーオン率14.3% フェアウェイ率56.8% OB率15.0% バンカー率63.5%,難易度1位/18ホール中 平均スコア5.65 平均パット数1.98 パーオン率11.0% フェアウェイ率63.8% OB率18.0% バンカー率66.0%,難易度1位/18ホール中 平均スコア5.65 平均パット数1.98 パーオン率11.0% フェアウェイ率63.8% OB率18.0% バンカー率66.0%,難易度1位/18ホール中 平均スコア5.65 平均パット数1.98 パーオン率11.0% フェアウェイ率63.8% OB率18.0% バンカー率66.0%,難易度14位/18ホール中 平均スコア4.08 平均パット数2.05 パーオン率21.0% フェアウェイ率- OB率33.3% バンカー率53.3%,難易度14位/18ホール中 平均スコア4.08 平均パット数2.05 パーオン率21.0% フェアウェイ率- OB率33.3% バンカー率53.3%,難易度14位/18ホール中 平均スコア4.08 平均パット数2.05 パーオン率21.0% フェアウェイ率- OB率33.3% バンカー率53.3%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：339yd,Hdcp：18,PAR：4,Reg.：385yd,Hdcp：10,PAR：5,Reg.：500yd,Hdcp：6
5,距離は短いが左側にＯＢ右にはバンカー、その右は林,距離は短いが左側にＯＢ右にはバンカー、その右は林,距離は短いが左側にＯＢ右にはバンカー、その右は林,緩やかな打ち下ろしで右ドッグレッグのミドルホール,緩やかな打ち下ろしで右ドッグレッグのミドルホール,緩やかな打ち下ろしで右ドッグレッグのミドルホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール
6,難易度16位/18ホール中 平均スコア5.09 平均パット数1.93 パーオン率39.0% フェアウェイ率54.7% OB率10.0% バンカー率71.7%,難易度16位/18ホール中 平均スコア5.09 平均パット数1.93 パーオン率39.0% フェアウェイ率54.7% OB率10.0% バンカー率71.7%,難易度16位/18ホール中 平均スコア5.09 平均パット数1.93 パーオン率39.0% フェアウェイ率54.7% OB率10.0% バンカー率71.7%,難易度12位/18ホール中 平均スコア5.19 平均パット数1.96 パーオン率23.0% フェアウェイ率54.8% OB率43.0% バンカー率59.3%,難易度12位/18ホール中 平均スコア5.19 平均パット数1.96 パーオン率23.0% フェアウェイ率54.8% OB率43.0% バンカー率59.3%,難易度12位/18ホール中 平均スコア5.19 平均パット数1.96 パーオン率23.0% フェアウェイ率54.8% OB率43.0% バンカー率59.3%,難易度8位/18ホール中 平均スコア6.29 平均パット数1.93 パーオン率21.3% フェアウェイ率53.8% OB率17.0% バンカー率44.3%,難易度8位/18ホール中 平均スコア6.29 平均パット数1.93 パーオン率21.3% フェアウェイ率53.8% OB率17.0% バンカー率44.3%,難易度8位/18ホール中 平均スコア6.29 平均パット数1.93 パーオン率21.3% フェアウェイ率53.8% OB率17.0% バンカー率44.3%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：3,Reg.：186yd,Hdcp：16,PAR：4,Reg.：413yd,Hdcp：4,PAR：5,Reg.：510yd,Hdcp：12
9,池越えの美しいショートホール,池越えの美しいショートホール,池越えの美しいショートホール,左がＯＢ、右が池の長いミドルホール,左がＯＢ、右が池の長いミドルホール,左がＯＢ、右が池の長いミドルホール,美しい池越えのロングホール,美しい池越えのロングホール,美しい池越えのロングホール
10,難易度18位/18ホール中 平均スコア3.9 平均パット数1.94 パーオン率27.8% フェアウェイ率- OB率- バンカー率52.7%,難易度18位/18ホール中 平均スコア3.9 平均パット数1.94 パーオン率27.8% フェアウェイ率- OB率- バンカー率52.7%,難易度18位/18ホール中 平均スコア3.9 平均パット数1.94 パーオン率27.8% フェアウェイ率- OB率- バンカー率52.7%,難易度2位/18ホール中 平均スコア5.78 平均パット数1.98 パーオン率14.0% フェアウェイ率40.3% OB率17.7% バンカー率38.3%,難易度2位/18ホール中 平均スコア5.78 平均パット数1.98 パーオン率14.0% フェアウェイ率40.3% OB率17.7% バンカー率38.3%,難易度2位/18ホール中 平均スコア5.78 平均パット数1.98 パーオン率14.0% フェアウェイ率40.3% OB率17.7% バンカー率38.3%,難易度9位/18ホール中 平均スコア6.3 平均パット数2.09 パーオン率31.3% フェアウェイ率34.0% OB率17.0% バンカー率43.5%,難易度9位/18ホール中 平均スコア6.3 平均パット数2.09 パーオン率31.3% フェアウェイ率34.0% OB率17.0% バンカー率43.5%,難易度9位/18ホール中 平均スコア6.3 平均パット数2.09 パーオン率31.3% フェアウェイ率34.0% OB率17.0% バンカー率43.5%
