,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：430yd,Hdcp：6,PAR：4,Reg.：300yd,Hdcp：3,PAR：4,Reg.：271yd,Hdcp：7
1,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,短いミドルホール,短いミドルホール,短いミドルホール
2,難易度4位/9ホール中 平均スコア6.32 平均パット数2.08 パーオン率30.3% フェアウェイ率54.8% OB率23.8% バンカー率26.5%,難易度4位/9ホール中 平均スコア6.32 平均パット数2.08 パーオン率30.3% フェアウェイ率54.8% OB率23.8% バンカー率26.5%,難易度4位/9ホール中 平均スコア6.32 平均パット数2.08 パーオン率30.3% フェアウェイ率54.8% OB率23.8% バンカー率26.5%,難易度3位/9ホール中 平均スコア5.51 平均パット数1.96 パーオン率17.3% フェアウェイ率40.3% OB率45.8% バンカー率20.3%,難易度3位/9ホール中 平均スコア5.51 平均パット数1.96 パーオン率17.3% フェアウェイ率40.3% OB率45.8% バンカー率20.3%,難易度3位/9ホール中 平均スコア5.51 平均パット数1.96 パーオン率17.3% フェアウェイ率40.3% OB率45.8% バンカー率20.3%,難易度7位/9ホール中 平均スコア5.26 平均パット数1.92 パーオン率20.8% フェアウェイ率61.5% OB率29.0% バンカー率29.3%,難易度7位/9ホール中 平均スコア5.26 平均パット数1.92 パーオン率20.8% フェアウェイ率61.5% OB率29.0% バンカー率29.3%,難易度7位/9ホール中 平均スコア5.26 平均パット数1.92 パーオン率20.8% フェアウェイ率61.5% OB率29.0% バンカー率29.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：319yd,Hdcp：4,PAR：3,Reg.：124yd,Hdcp：9,PAR：5,Reg.：457yd,Hdcp：2
5,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,池越えのショートホール,池越えのショートホール,池越えのショートホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール
6,難易度5位/9ホール中 平均スコア5.35 平均パット数2.07 パーオン率24.5% フェアウェイ率55.8% OB率35.5% バンカー率29.0%,難易度5位/9ホール中 平均スコア5.35 平均パット数2.07 パーオン率24.5% フェアウェイ率55.8% OB率35.5% バンカー率29.0%,難易度5位/9ホール中 平均スコア5.35 平均パット数2.07 パーオン率24.5% フェアウェイ率55.8% OB率35.5% バンカー率29.0%,難易度9位/9ホール中 平均スコア3.89 平均パット数1.97 パーオン率34.5% フェアウェイ率- OB率25.0% バンカー率21.8%,難易度9位/9ホール中 平均スコア3.89 平均パット数1.97 パーオン率34.5% フェアウェイ率- OB率25.0% バンカー率21.8%,難易度9位/9ホール中 平均スコア3.89 平均パット数1.97 パーオン率34.5% フェアウェイ率- OB率25.0% バンカー率21.8%,難易度1位/9ホール中 平均スコア6.62 平均パット数2.13 パーオン率24.3% フェアウェイ率53.5% OB率45.3% バンカー率23.3%,難易度1位/9ホール中 平均スコア6.62 平均パット数2.13 パーオン率24.3% フェアウェイ率53.5% OB率45.3% バンカー率23.3%,難易度1位/9ホール中 平均スコア6.62 平均パット数2.13 パーオン率24.3% フェアウェイ率53.5% OB率45.3% バンカー率23.3%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：347yd,Hdcp：1,PAR：3,Reg.：155yd,Hdcp：8,PAR：4,Reg.：367yd,Hdcp：5
9,長いミドルホール,長いミドルホール,長いミドルホール,ショートホール,ショートホール,ショートホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール
10,難易度2位/9ホール中 平均スコア5.66 平均パット数2.1 パーオン率12.5% フェアウェイ率57.0% OB率38.0% バンカー率12.3%,難易度2位/9ホール中 平均スコア5.66 平均パット数2.1 パーオン率12.5% フェアウェイ率57.0% OB率38.0% バンカー率12.3%,難易度2位/9ホール中 平均スコア5.66 平均パット数2.1 パーオン率12.5% フェアウェイ率57.0% OB率38.0% バンカー率12.3%,難易度8位/9ホール中 平均スコア3.97 平均パット数2.09 パーオン率35.5% フェアウェイ率- OB率9.5% バンカー率31.5%,難易度8位/9ホール中 平均スコア3.97 平均パット数2.09 パーオン率35.5% フェアウェイ率- OB率9.5% バンカー率31.5%,難易度8位/9ホール中 平均スコア3.97 平均パット数2.09 パーオン率35.5% フェアウェイ率- OB率9.5% バンカー率31.5%,難易度6位/9ホール中 平均スコア5.29 平均パット数2.02 パーオン率28.5% フェアウェイ率60.0% OB率30.8% バンカー率1.5%,難易度6位/9ホール中 平均スコア5.29 平均パット数2.02 パーオン率28.5% フェアウェイ率60.0% OB率30.8% バンカー率1.5%,難易度6位/9ホール中 平均スコア5.29 平均パット数2.02 パーオン率28.5% フェアウェイ率60.0% OB率30.8% バンカー率1.5%
