,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：340yd,Hdcp：14,PAR：4,Reg.：370yd,Hdcp：4,PAR：3,Reg.：170yd,Hdcp：10
1,バンカーを避けてフェアウェイ左目に,バンカーを避けてフェアウェイ左目に,バンカーを避けてフェアウェイ左目に,飛距離に自信のある方はパンカー越え,飛距離に自信のある方はパンカー越え,飛距離に自信のある方はパンカー越え,谷越えのショートホール,谷越えのショートホール,谷越えのショートホール
2,難易度10位/18ホール中 平均スコア5.32 平均パット数1.95 パーオン率21.5% フェアウェイ率55.3% OB率30.3% バンカー率21.3%,難易度10位/18ホール中 平均スコア5.32 平均パット数1.95 パーオン率21.5% フェアウェイ率55.3% OB率30.3% バンカー率21.3%,難易度10位/18ホール中 平均スコア5.32 平均パット数1.95 パーオン率21.5% フェアウェイ率55.3% OB率30.3% バンカー率21.3%,難易度5位/18ホール中 平均スコア5.62 平均パット数2.06 パーオン率13.3% フェアウェイ率43.8% OB率37.3% バンカー率30.8%,難易度5位/18ホール中 平均スコア5.62 平均パット数2.06 パーオン率13.3% フェアウェイ率43.8% OB率37.3% バンカー率30.8%,難易度5位/18ホール中 平均スコア5.62 平均パット数2.06 パーオン率13.3% フェアウェイ率43.8% OB率37.3% バンカー率30.8%,難易度18位/18ホール中 平均スコア3.91 平均パット数1.89 パーオン率25.3% フェアウェイ率- OB率13.3% バンカー率11.5%,難易度18位/18ホール中 平均スコア3.91 平均パット数1.89 パーオン率25.3% フェアウェイ率- OB率13.3% バンカー率11.5%,難易度18位/18ホール中 平均スコア3.91 平均パット数1.89 パーオン率25.3% フェアウェイ率- OB率13.3% バンカー率11.5%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：5,Reg.：550yd,Hdcp：8,PAR：4,Reg.：444yd,Hdcp：2,PAR：4,Reg.：315yd,Hdcp：16
5,ティショットは左右ＯＢに注意して右バンカーの左に,ティショットは左右ＯＢに注意して右バンカーの左に,ティショットは左右ＯＢに注意して右バンカーの左に,距離の長いミドルホール,距離の長いミドルホール,距離の長いミドルホール,ティーショットはバンカー右狙いで,ティーショットはバンカー右狙いで,ティーショットはバンカー右狙いで
6,難易度9位/18ホール中 平均スコア6.45 平均パット数1.96 パーオン率20.5% フェアウェイ率46.0% OB率37.0% バンカー率29.0%,難易度9位/18ホール中 平均スコア6.45 平均パット数1.96 パーオン率20.5% フェアウェイ率46.0% OB率37.0% バンカー率29.0%,難易度9位/18ホール中 平均スコア6.45 平均パット数1.96 パーオン率20.5% フェアウェイ率46.0% OB率37.0% バンカー率29.0%,難易度2位/18ホール中 平均スコア5.71 平均パット数2.01 パーオン率5.3% フェアウェイ率56.0% OB率20.7% バンカー率32.3%,難易度2位/18ホール中 平均スコア5.71 平均パット数2.01 パーオン率5.3% フェアウェイ率56.0% OB率20.7% バンカー率32.3%,難易度2位/18ホール中 平均スコア5.71 平均パット数2.01 パーオン率5.3% フェアウェイ率56.0% OB率20.7% バンカー率32.3%,難易度12位/18ホール中 平均スコア5.19 平均パット数1.96 パーオン率28.5% フェアウェイ率57.0% OB率16.8% バンカー率43.3%,難易度12位/18ホール中 平均スコア5.19 平均パット数1.96 パーオン率28.5% フェアウェイ率57.0% OB率16.8% バンカー率43.3%,難易度12位/18ホール中 平均スコア5.19 平均パット数1.96 パーオン率28.5% フェアウェイ率57.0% OB率16.8% バンカー率43.3%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：335yd,Hdcp：12,PAR：3,Reg.：145yd,Hdcp：18,PAR：5,Reg.：560yd,Hdcp：6
9,ティーショットはバンカー左目に,ティーショットはバンカー左目に,ティーショットはバンカー左目に,パーの取りやすいショートホール,パーの取りやすいショートホール,パーの取りやすいショートホール,フェアウェイが右に傾斜しているので要注意,フェアウェイが右に傾斜しているので要注意,フェアウェイが右に傾斜しているので要注意
10,難易度11位/18ホール中 平均スコア5.25 平均パット数1.87 パーオン率15.8% フェアウェイ率54.3% OB率17.5% バンカー率29.0%,難易度11位/18ホール中 平均スコア5.25 平均パット数1.87 パーオン率15.8% フェアウェイ率54.3% OB率17.5% バンカー率29.0%,難易度11位/18ホール中 平均スコア5.25 平均パット数1.87 パーオン率15.8% フェアウェイ率54.3% OB率17.5% バンカー率29.0%,難易度15位/18ホール中 平均スコア3.97 平均パット数1.92 パーオン率24.3% フェアウェイ率- OB率13.0% バンカー率33.3%,難易度15位/18ホール中 平均スコア3.97 平均パット数1.92 パーオン率24.3% フェアウェイ率- OB率13.0% バンカー率33.3%,難易度15位/18ホール中 平均スコア3.97 平均パット数1.92 パーオン率24.3% フェアウェイ率- OB率13.0% バンカー率33.3%,難易度7位/18ホール中 平均スコア6.48 平均パット数1.93 パーオン率18.8% フェアウェイ率54.3% OB率26.3% バンカー率26.3%,難易度7位/18ホール中 平均スコア6.48 平均パット数1.93 パーオン率18.8% フェアウェイ率54.3% OB率26.3% バンカー率26.3%,難易度7位/18ホール中 平均スコア6.48 平均パット数1.93 パーオン率18.8% フェアウェイ率54.3% OB率26.3% バンカー率26.3%
