,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：501yd,Hdcp：4,PAR：4,Reg.：380yd,Hdcp：3,PAR：4,Reg.：329yd,Hdcp：5
1,豪快にティショットできるホール,豪快にティショットできるホール,豪快にティショットできるホール,通称松の廊下　シングルでもパーを取るのが難しい,通称松の廊下　シングルでもパーを取るのが難しい,通称松の廊下　シングルでもパーを取るのが難しい,距離はないが左の林がせり出し、右はクロスバンカー,距離はないが左の林がせり出し、右はクロスバンカー,距離はないが左の林がせり出し、右はクロスバンカー
2,難易度2位/9ホール中 平均スコア6.47 平均パット数2.05 パーオン率22.5% フェアウェイ率45.5% OB率1.5% バンカー率41.8%,難易度2位/9ホール中 平均スコア6.47 平均パット数2.05 パーオン率22.5% フェアウェイ率45.5% OB率1.5% バンカー率41.8%,難易度2位/9ホール中 平均スコア6.47 平均パット数2.05 パーオン率22.5% フェアウェイ率45.5% OB率1.5% バンカー率41.8%,難易度5位/9ホール中 平均スコア5.44 平均パット数2.01 パーオン率16.3% フェアウェイ率48.3% OB率9.0% バンカー率30.3%,難易度5位/9ホール中 平均スコア5.44 平均パット数2.01 パーオン率16.3% フェアウェイ率48.3% OB率9.0% バンカー率30.3%,難易度5位/9ホール中 平均スコア5.44 平均パット数2.01 パーオン率16.3% フェアウェイ率48.3% OB率9.0% バンカー率30.3%,難易度7位/9ホール中 平均スコア5.32 平均パット数2.07 パーオン率23.3% フェアウェイ率39.0% OB率16.3% バンカー率55.8%,難易度7位/9ホール中 平均スコア5.32 平均パット数2.07 パーオン率23.3% フェアウェイ率39.0% OB率16.3% バンカー率55.8%,難易度7位/9ホール中 平均スコア5.32 平均パット数2.07 パーオン率23.3% フェアウェイ率39.0% OB率16.3% バンカー率55.8%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：158yd,Hdcp：9,PAR：4,Reg.：444yd,Hdcp：2,PAR：5,Reg.：576yd,Hdcp：1
5,グリーンが近めに見えるので注意,グリーンが近めに見えるので注意,グリーンが近めに見えるので注意,正面には雌阿寒岳を望む名物ホール,正面には雌阿寒岳を望む名物ホール,正面には雌阿寒岳を望む名物ホール,コース随一の超ロングホール,コース随一の超ロングホール,コース随一の超ロングホール
6,難易度9位/9ホール中 平均スコア4.03 平均パット数2.01 パーオン率27.5% フェアウェイ率- OB率10.0% バンカー率62.3%,難易度9位/9ホール中 平均スコア4.03 平均パット数2.01 パーオン率27.5% フェアウェイ率- OB率10.0% バンカー率62.3%,難易度9位/9ホール中 平均スコア4.03 平均パット数2.01 パーオン率27.5% フェアウェイ率- OB率10.0% バンカー率62.3%,難易度3位/9ホール中 平均スコア5.46 平均パット数1.96 パーオン率12.3% フェアウェイ率51.0% OB率35.0% バンカー率16.3%,難易度3位/9ホール中 平均スコア5.46 平均パット数1.96 パーオン率12.3% フェアウェイ率51.0% OB率35.0% バンカー率16.3%,難易度3位/9ホール中 平均スコア5.46 平均パット数1.96 パーオン率12.3% フェアウェイ率51.0% OB率35.0% バンカー率16.3%,難易度1位/9ホール中 平均スコア6.69 平均パット数2 パーオン率11.5% フェアウェイ率52.5% OB率21.5% バンカー率28.0%,難易度1位/9ホール中 平均スコア6.69 平均パット数2 パーオン率11.5% フェアウェイ率52.5% OB率21.5% バンカー率28.0%,難易度1位/9ホール中 平均スコア6.69 平均パット数2 パーオン率11.5% フェアウェイ率52.5% OB率21.5% バンカー率28.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：364yd,Hdcp：8,PAR：3,Reg.：186yd,Hdcp：7,PAR：4,Reg.：342yd,Hdcp：6
9,林でセパレートされたミドル　左右ＯＢ有り,林でセパレートされたミドル　左右ＯＢ有り,林でセパレートされたミドル　左右ＯＢ有り,軽い打ち上げ　２段グリーンなので要注意,軽い打ち上げ　２段グリーンなので要注意,軽い打ち上げ　２段グリーンなので要注意,ティショットは打ち下ろし、セカンドは打ち上げ,ティショットは打ち下ろし、セカンドは打ち上げ,ティショットは打ち下ろし、セカンドは打ち上げ
10,難易度6位/9ホール中 平均スコア5.34 平均パット数1.94 パーオン率20.3% フェアウェイ率51.0% OB率11.3% バンカー率46.3%,難易度6位/9ホール中 平均スコア5.34 平均パット数1.94 パーオン率20.3% フェアウェイ率51.0% OB率11.3% バンカー率46.3%,難易度6位/9ホール中 平均スコア5.34 平均パット数1.94 パーオン率20.3% フェアウェイ率51.0% OB率11.3% バンカー率46.3%,難易度8位/9ホール中 平均スコア4.16 平均パット数2.06 パーオン率23.8% フェアウェイ率- OB率1.0% バンカー率57.0%,難易度8位/9ホール中 平均スコア4.16 平均パット数2.06 パーオン率23.8% フェアウェイ率- OB率1.0% バンカー率57.0%,難易度8位/9ホール中 平均スコア4.16 平均パット数2.06 パーオン率23.8% フェアウェイ率- OB率1.0% バンカー率57.0%,難易度4位/9ホール中 平均スコア5.45 平均パット数2.07 パーオン率18.3% フェアウェイ率45.3% OB率10.3% バンカー率39.0%,難易度4位/9ホール中 平均スコア5.45 平均パット数2.07 パーオン率18.3% フェアウェイ率45.3% OB率10.3% バンカー率39.0%,難易度4位/9ホール中 平均スコア5.45 平均パット数2.07 パーオン率18.3% フェアウェイ率45.3% OB率10.3% バンカー率39.0%
