,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：389yd,Hdcp：,PAR：5,Reg.：504yd,Hdcp：,PAR：4,Reg.：378yd,Hdcp：
1,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール,左ドッグレッグのミドル　手前がＬ（左）グリーン,左ドッグレッグのミドル　手前がＬ（左）グリーン,左ドッグレッグのミドル　手前がＬ（左）グリーン
2,難易度2位/18ホール中 平均スコア5.6 平均パット数1.95 パーオン率9.5% フェアウェイ率35.5% OB率7.0% バンカー率19.5%,難易度2位/18ホール中 平均スコア5.6 平均パット数1.95 パーオン率9.5% フェアウェイ率35.5% OB率7.0% バンカー率19.5%,難易度2位/18ホール中 平均スコア5.6 平均パット数1.95 パーオン率9.5% フェアウェイ率35.5% OB率7.0% バンカー率19.5%,難易度4位/18ホール中 平均スコア6.51 平均パット数2.01 パーオン率22.0% フェアウェイ率35.3% OB率7.5% バンカー率23.0%,難易度4位/18ホール中 平均スコア6.51 平均パット数2.01 パーオン率22.0% フェアウェイ率35.3% OB率7.5% バンカー率23.0%,難易度4位/18ホール中 平均スコア6.51 平均パット数2.01 パーオン率22.0% フェアウェイ率35.3% OB率7.5% バンカー率23.0%,難易度5位/18ホール中 平均スコア5.53 平均パット数2 パーオン率13.3% フェアウェイ率40.5% OB率3.8% バンカー率22.8%,難易度5位/18ホール中 平均スコア5.53 平均パット数2 パーオン率13.3% フェアウェイ率40.5% OB率3.8% バンカー率22.8%,難易度5位/18ホール中 平均スコア5.53 平均パット数2 パーオン率13.3% フェアウェイ率40.5% OB率3.8% バンカー率22.8%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：167yd,Hdcp：,PAR：4,Reg.：359yd,Hdcp：,PAR：3,Reg.：157yd,Hdcp：
5,谷越えのショートホール,谷越えのショートホール,谷越えのショートホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,池越えのショートホール,池越えのショートホール,池越えのショートホール
6,難易度15位/18ホール中 平均スコア4.1 平均パット数1.95 パーオン率18.5% フェアウェイ率- OB率14.5% バンカー率7.5%,難易度15位/18ホール中 平均スコア4.1 平均パット数1.95 パーオン率18.5% フェアウェイ率- OB率14.5% バンカー率7.5%,難易度15位/18ホール中 平均スコア4.1 平均パット数1.95 パーオン率18.5% フェアウェイ率- OB率14.5% バンカー率7.5%,難易度7位/18ホール中 平均スコア5.44 平均パット数1.96 パーオン率13.0% フェアウェイ率45.8% OB率3.3% バンカー率31.5%,難易度7位/18ホール中 平均スコア5.44 平均パット数1.96 パーオン率13.0% フェアウェイ率45.8% OB率3.3% バンカー率31.5%,難易度7位/18ホール中 平均スコア5.44 平均パット数1.96 パーオン率13.0% フェアウェイ率45.8% OB率3.3% バンカー率31.5%,難易度18位/18ホール中 平均スコア3.92 平均パット数1.96 パーオン率28.8% フェアウェイ率- OB率6.7% バンカー率5.3%,難易度18位/18ホール中 平均スコア3.92 平均パット数1.96 パーオン率28.8% フェアウェイ率- OB率6.7% バンカー率5.3%,難易度18位/18ホール中 平均スコア3.92 平均パット数1.96 パーオン率28.8% フェアウェイ率- OB率6.7% バンカー率5.3%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：331yd,Hdcp：,PAR：5,Reg.：462yd,Hdcp：,PAR：4,Reg.：352yd,Hdcp：
9,短いミドルホール,短いミドルホール,短いミドルホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール
10,難易度14位/18ホール中 平均スコア5.12 平均パット数1.99 パーオン率27.0% フェアウェイ率47.0% OB率4.0% バンカー率34.5%,難易度14位/18ホール中 平均スコア5.12 平均パット数1.99 パーオン率27.0% フェアウェイ率47.0% OB率4.0% バンカー率34.5%,難易度14位/18ホール中 平均スコア5.12 平均パット数1.99 パーオン率27.0% フェアウェイ率47.0% OB率4.0% バンカー率34.5%,難易度12位/18ホール中 平均スコア6.13 平均パット数1.95 パーオン率31.5% フェアウェイ率42.3% OB率7.8% バンカー率34.5%,難易度12位/18ホール中 平均スコア6.13 平均パット数1.95 パーオン率31.5% フェアウェイ率42.3% OB率7.8% バンカー率34.5%,難易度12位/18ホール中 平均スコア6.13 平均パット数1.95 パーオン率31.5% フェアウェイ率42.3% OB率7.8% バンカー率34.5%,難易度9位/18ホール中 平均スコア5.4 平均パット数2.01 パーオン率17.0% フェアウェイ率37.5% OB率3.0% バンカー率21.0%,難易度9位/18ホール中 平均スコア5.4 平均パット数2.01 パーオン率17.0% フェアウェイ率37.5% OB率3.0% バンカー率21.0%,難易度9位/18ホール中 平均スコア5.4 平均パット数2.01 パーオン率17.0% フェアウェイ率37.5% OB率3.0% バンカー率21.0%
