,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：297yd,Hdcp：8,PAR：4,Reg.：345yd,Hdcp：6,PAR：3,Reg.：192yd,Hdcp：3
1,短いミドルホール,短いミドルホール,短いミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,長いショートホール,長いショートホール,長いショートホール
2,難易度6位/9ホール中 平均スコア5.16 平均パット数1.96 パーオン率26.3% フェアウェイ率36.5% OB率11.8% バンカー率17.8%,難易度6位/9ホール中 平均スコア5.16 平均パット数1.96 パーオン率26.3% フェアウェイ率36.5% OB率11.8% バンカー率17.8%,難易度6位/9ホール中 平均スコア5.16 平均パット数1.96 パーオン率26.3% フェアウェイ率36.5% OB率11.8% バンカー率17.8%,難易度4位/9ホール中 平均スコア5.32 平均パット数1.87 パーオン率15.8% フェアウェイ率49.8% OB率36.3% バンカー率11.0%,難易度4位/9ホール中 平均スコア5.32 平均パット数1.87 パーオン率15.8% フェアウェイ率49.8% OB率36.3% バンカー率11.0%,難易度4位/9ホール中 平均スコア5.32 平均パット数1.87 パーオン率15.8% フェアウェイ率49.8% OB率36.3% バンカー率11.0%,難易度5位/9ホール中 平均スコア4.33 平均パット数2.02 パーオン率13.8% フェアウェイ率- OB率16.3% バンカー率22.0%,難易度5位/9ホール中 平均スコア4.33 平均パット数2.02 パーオン率13.8% フェアウェイ率- OB率16.3% バンカー率22.0%,難易度5位/9ホール中 平均スコア4.33 平均パット数2.02 パーオン率13.8% フェアウェイ率- OB率16.3% バンカー率22.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：336yd,Hdcp：1,PAR：5,Reg.：505yd,Hdcp：5,PAR：4,Reg.：208yd,Hdcp：7
5,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,池越えの短いミドルホール,池越えの短いミドルホール,池越えの短いミドルホール
6,難易度2位/9ホール中 平均スコア5.63 平均パット数2.09 パーオン率11.8% フェアウェイ率52.5% OB率31.0% バンカー率6.3%,難易度2位/9ホール中 平均スコア5.63 平均パット数2.09 パーオン率11.8% フェアウェイ率52.5% OB率31.0% バンカー率6.3%,難易度2位/9ホール中 平均スコア5.63 平均パット数2.09 パーオン率11.8% フェアウェイ率52.5% OB率31.0% バンカー率6.3%,難易度3位/9ホール中 平均スコア6.53 平均パット数1.95 パーオン率20.8% フェアウェイ率47.8% OB率60.3% バンカー率12.8%,難易度3位/9ホール中 平均スコア6.53 平均パット数1.95 パーオン率20.8% フェアウェイ率47.8% OB率60.3% バンカー率12.8%,難易度3位/9ホール中 平均スコア6.53 平均パット数1.95 パーオン率20.8% フェアウェイ率47.8% OB率60.3% バンカー率12.8%,難易度7位/9ホール中 平均スコア5.15 平均パット数1.97 パーオン率25.0% フェアウェイ率65.3% OB率11.8% バンカー率3.0%,難易度7位/9ホール中 平均スコア5.15 平均パット数1.97 パーオン率25.0% フェアウェイ率65.3% OB率11.8% バンカー率3.0%,難易度7位/9ホール中 平均スコア5.15 平均パット数1.97 パーオン率25.0% フェアウェイ率65.3% OB率11.8% バンカー率3.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：155yd,Hdcp：9,PAR：5,Reg.：512yd,Hdcp：2,PAR：4,Reg.：292yd,Hdcp：4
9,ショートホール,ショートホール,ショートホール,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール,右ドッグレッグの短いミドルホール,右ドッグレッグの短いミドルホール,右ドッグレッグの短いミドルホール
10,難易度9位/9ホール中 平均スコア4 平均パット数1.96 パーオン率27.8% フェアウェイ率- OB率2.0% バンカー率38.5%,難易度9位/9ホール中 平均スコア4 平均パット数1.96 パーオン率27.8% フェアウェイ率- OB率2.0% バンカー率38.5%,難易度9位/9ホール中 平均スコア4 平均パット数1.96 パーオン率27.8% フェアウェイ率- OB率2.0% バンカー率38.5%,難易度1位/9ホール中 平均スコア6.56 平均パット数1.92 パーオン率18.5% フェアウェイ率47.3% OB率38.0% バンカー率14.5%,難易度1位/9ホール中 平均スコア6.56 平均パット数1.92 パーオン率18.5% フェアウェイ率47.3% OB率38.0% バンカー率14.5%,難易度1位/9ホール中 平均スコア6.56 平均パット数1.92 パーオン率18.5% フェアウェイ率47.3% OB率38.0% バンカー率14.5%,難易度8位/9ホール中 平均スコア5.11 平均パット数1.84 パーオン率25.5% フェアウェイ率44.5% OB率24.8% バンカー率18.0%,難易度8位/9ホール中 平均スコア5.11 平均パット数1.84 パーオン率25.5% フェアウェイ率44.5% OB率24.8% バンカー率18.0%,難易度8位/9ホール中 平均スコア5.11 平均パット数1.84 パーオン率25.5% フェアウェイ率44.5% OB率24.8% バンカー率18.0%
