,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：379yd,Hdcp：7,PAR：4,Reg.：376yd,Hdcp：8,PAR：3,Reg.：137yd,Hdcp：9
1,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,やや右ドッグレッグのミドルホール,やや右ドッグレッグのミドルホール,やや右ドッグレッグのミドルホール,短いショートホール,短いショートホール,短いショートホール
2,難易度4位/9ホール中 平均スコア5.3 平均パット数2.02 パーオン率20.3% フェアウェイ率41.5% OB率7.5% バンカー率24.5%,難易度4位/9ホール中 平均スコア5.3 平均パット数2.02 パーオン率20.3% フェアウェイ率41.5% OB率7.5% バンカー率24.5%,難易度4位/9ホール中 平均スコア5.3 平均パット数2.02 パーオン率20.3% フェアウェイ率41.5% OB率7.5% バンカー率24.5%,難易度7位/9ホール中 平均スコア5.17 平均パット数1.99 パーオン率25.8% フェアウェイ率48.5% OB率19.8% バンカー率13.7%,難易度7位/9ホール中 平均スコア5.17 平均パット数1.99 パーオン率25.8% フェアウェイ率48.5% OB率19.8% バンカー率13.7%,難易度7位/9ホール中 平均スコア5.17 平均パット数1.99 パーオン率25.8% フェアウェイ率48.5% OB率19.8% バンカー率13.7%,難易度9位/9ホール中 平均スコア3.98 平均パット数2.05 パーオン率33.3% フェアウェイ率- OB率9.8% バンカー率23.8%,難易度9位/9ホール中 平均スコア3.98 平均パット数2.05 パーオン率33.3% フェアウェイ率- OB率9.8% バンカー率23.8%,難易度9位/9ホール中 平均スコア3.98 平均パット数2.05 パーオン率33.3% フェアウェイ率- OB率9.8% バンカー率23.8%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：329yd,Hdcp：1,PAR：5,Reg.：470yd,Hdcp：4,PAR：4,Reg.：381yd,Hdcp：3
5,短いミドルホール,短いミドルホール,短いミドルホール,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール
6,難易度1位/9ホール中 平均スコア5.52 平均パット数2.14 パーオン率23.0% フェアウェイ率47.3% OB率42.8% バンカー率14.8%,難易度1位/9ホール中 平均スコア5.52 平均パット数2.14 パーオン率23.0% フェアウェイ率47.3% OB率42.8% バンカー率14.8%,難易度1位/9ホール中 平均スコア5.52 平均パット数2.14 パーオン率23.0% フェアウェイ率47.3% OB率42.8% バンカー率14.8%,難易度3位/9ホール中 平均スコア6.39 平均パット数2.06 パーオン率27.5% フェアウェイ率41.8% OB率33.8% バンカー率10.3%,難易度3位/9ホール中 平均スコア6.39 平均パット数2.06 パーオン率27.5% フェアウェイ率41.8% OB率33.8% バンカー率10.3%,難易度3位/9ホール中 平均スコア6.39 平均パット数2.06 パーオン率27.5% フェアウェイ率41.8% OB率33.8% バンカー率10.3%,難易度2位/9ホール中 平均スコア5.45 平均パット数2.04 パーオン率13.8% フェアウェイ率56.3% OB率16.5% バンカー率8.5%,難易度2位/9ホール中 平均スコア5.45 平均パット数2.04 パーオン率13.8% フェアウェイ率56.3% OB率16.5% バンカー率8.5%,難易度2位/9ホール中 平均スコア5.45 平均パット数2.04 パーオン率13.8% フェアウェイ率56.3% OB率16.5% バンカー率8.5%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：166yd,Hdcp：5,PAR：5,Reg.：522yd,Hdcp：6,PAR：4,Reg.：380yd,Hdcp：2
9,長いショートホール,長いショートホール,長いショートホール,やや右ドッグレッグのロングホール,やや右ドッグレッグのロングホール,やや右ドッグレッグのロングホール,ミドルホール,ミドルホール,ミドルホール
10,難易度8位/9ホール中 平均スコア4.11 平均パット数2 パーオン率20.3% フェアウェイ率- OB率2.3% バンカー率36.3%,難易度8位/9ホール中 平均スコア4.11 平均パット数2 パーオン率20.3% フェアウェイ率- OB率2.3% バンカー率36.3%,難易度8位/9ホール中 平均スコア4.11 平均パット数2 パーオン率20.3% フェアウェイ率- OB率2.3% バンカー率36.3%,難易度6位/9ホール中 平均スコア6.19 平均パット数1.99 パーオン率28.5% フェアウェイ率49.0% OB率4.3% バンカー率15.5%,難易度6位/9ホール中 平均スコア6.19 平均パット数1.99 パーオン率28.5% フェアウェイ率49.0% OB率4.3% バンカー率15.5%,難易度6位/9ホール中 平均スコア6.19 平均パット数1.99 パーオン率28.5% フェアウェイ率49.0% OB率4.3% バンカー率15.5%,難易度5位/9ホール中 平均スコア5.29 平均パット数2.05 パーオン率20.8% フェアウェイ率56.0% OB率3.8% バンカー率20.0%,難易度5位/9ホール中 平均スコア5.29 平均パット数2.05 パーオン率20.8% フェアウェイ率56.0% OB率3.8% バンカー率20.0%,難易度5位/9ホール中 平均スコア5.29 平均パット数2.05 パーオン率20.8% フェアウェイ率56.0% OB率3.8% バンカー率20.0%
