,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：418yd,Hdcp：2,PAR：4,Reg.：285yd,Hdcp：12,PAR：3,Reg.：127yd,Hdcp：16
1,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,短いミドルホール,短いミドルホール,短いミドルホール,谷越えのショートホール,谷越えのショートホール,谷越えのショートホール
2,難易度3位/18ホール中 平均スコア5.46 平均パット数2.12 パーオン率20.5% フェアウェイ率58.3% OB率38.5% バンカー率12.5%,難易度3位/18ホール中 平均スコア5.46 平均パット数2.12 パーオン率20.5% フェアウェイ率58.3% OB率38.5% バンカー率12.5%,難易度3位/18ホール中 平均スコア5.46 平均パット数2.12 パーオン率20.5% フェアウェイ率58.3% OB率38.5% バンカー率12.5%,難易度14位/18ホール中 平均スコア5.06 平均パット数1.91 パーオン率31.3% フェアウェイ率49.5% OB率30.0% バンカー率30.0%,難易度14位/18ホール中 平均スコア5.06 平均パット数1.91 パーオン率31.3% フェアウェイ率49.5% OB率30.0% バンカー率30.0%,難易度14位/18ホール中 平均スコア5.06 平均パット数1.91 パーオン率31.3% フェアウェイ率49.5% OB率30.0% バンカー率30.0%,難易度18位/18ホール中 平均スコア3.79 平均パット数2.01 パーオン率46.3% フェアウェイ率- OB率26.3% バンカー率15.3%,難易度18位/18ホール中 平均スコア3.79 平均パット数2.01 パーオン率46.3% フェアウェイ率- OB率26.3% バンカー率15.3%,難易度18位/18ホール中 平均スコア3.79 平均パット数2.01 パーオン率46.3% フェアウェイ率- OB率26.3% バンカー率15.3%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：348yd,Hdcp：6,PAR：4,Reg.：378yd,Hdcp：10,PAR：5,Reg.：537yd,Hdcp：4
5,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール
6,難易度8位/18ホール中 平均スコア5.28 平均パット数1.97 パーオン率23.5% フェアウェイ率55.0% OB率40.5% バンカー率5.8%,難易度8位/18ホール中 平均スコア5.28 平均パット数1.97 パーオン率23.5% フェアウェイ率55.0% OB率40.5% バンカー率5.8%,難易度8位/18ホール中 平均スコア5.28 平均パット数1.97 パーオン率23.5% フェアウェイ率55.0% OB率40.5% バンカー率5.8%,難易度9位/18ホール中 平均スコア5.25 平均パット数2.02 パーオン率27.0% フェアウェイ率60.8% OB率39.5% バンカー率16.0%,難易度9位/18ホール中 平均スコア5.25 平均パット数2.02 パーオン率27.0% フェアウェイ率60.8% OB率39.5% バンカー率16.0%,難易度9位/18ホール中 平均スコア5.25 平均パット数2.02 パーオン率27.0% フェアウェイ率60.8% OB率39.5% バンカー率16.0%,難易度10位/18ホール中 平均スコア6.19 平均パット数1.88 パーオン率27.0% フェアウェイ率63.0% OB率35.0% バンカー率17.3%,難易度10位/18ホール中 平均スコア6.19 平均パット数1.88 パーオン率27.0% フェアウェイ率63.0% OB率35.0% バンカー率17.3%,難易度10位/18ホール中 平均スコア6.19 平均パット数1.88 パーオン率27.0% フェアウェイ率63.0% OB率35.0% バンカー率17.3%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：3,Reg.：142yd,Hdcp：8,PAR：5,Reg.：561yd,Hdcp：14,PAR：4,Reg.：379yd,Hdcp：18
9,池越えのショートホール,池越えのショートホール,池越えのショートホール,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
10,難易度15位/18ホール中 平均スコア4.04 平均パット数1.88 パーオン率24.8% フェアウェイ率- OB率29.5% バンカー率27.5%,難易度15位/18ホール中 平均スコア4.04 平均パット数1.88 パーオン率24.8% フェアウェイ率- OB率29.5% バンカー率27.5%,難易度15位/18ホール中 平均スコア4.04 平均パット数1.88 パーオン率24.8% フェアウェイ率- OB率29.5% バンカー率27.5%,難易度4位/18ホール中 平均スコア6.34 平均パット数1.98 パーオン率25.8% フェアウェイ率57.5% OB率50.0% バンカー率10.8%,難易度4位/18ホール中 平均スコア6.34 平均パット数1.98 パーオン率25.8% フェアウェイ率57.5% OB率50.0% バンカー率10.8%,難易度4位/18ホール中 平均スコア6.34 平均パット数1.98 パーオン率25.8% フェアウェイ率57.5% OB率50.0% バンカー率10.8%,難易度7位/18ホール中 平均スコア5.29 平均パット数2.03 パーオン率25.8% フェアウェイ率65.0% OB率28.8% バンカー率28.5%,難易度7位/18ホール中 平均スコア5.29 平均パット数2.03 パーオン率25.8% フェアウェイ率65.0% OB率28.8% バンカー率28.5%,難易度7位/18ホール中 平均スコア5.29 平均パット数2.03 パーオン率25.8% フェアウェイ率65.0% OB率28.8% バンカー率28.5%
