,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：355yd,Hdcp：13,PAR：3,Reg.：183yd,Hdcp：17,PAR：4,Reg.：348yd,Hdcp：9
1,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,長いショートホール,長いショートホール,長いショートホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール
2,難易度9位/18ホール中 平均スコア5.27 平均パット数1.96 パーオン率20.5% フェアウェイ率47.5% OB率28.3% バンカー率29.3%,難易度9位/18ホール中 平均スコア5.27 平均パット数1.96 パーオン率20.5% フェアウェイ率47.5% OB率28.3% バンカー率29.3%,難易度9位/18ホール中 平均スコア5.27 平均パット数1.96 パーオン率20.5% フェアウェイ率47.5% OB率28.3% バンカー率29.3%,難易度15位/18ホール中 平均スコア4.07 平均パット数1.9 パーオン率16.3% フェアウェイ率- OB率11.0% バンカー率29.3%,難易度15位/18ホール中 平均スコア4.07 平均パット数1.9 パーオン率16.3% フェアウェイ率- OB率11.0% バンカー率29.3%,難易度15位/18ホール中 平均スコア4.07 平均パット数1.9 パーオン率16.3% フェアウェイ率- OB率11.0% バンカー率29.3%,難易度7位/18ホール中 平均スコア5.32 平均パット数1.94 パーオン率19.3% フェアウェイ率48.0% OB率32.8% バンカー率24.3%,難易度7位/18ホール中 平均スコア5.32 平均パット数1.94 パーオン率19.3% フェアウェイ率48.0% OB率32.8% バンカー率24.3%,難易度7位/18ホール中 平均スコア5.32 平均パット数1.94 パーオン率19.3% フェアウェイ率48.0% OB率32.8% バンカー率24.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：5,Reg.：479yd,Hdcp：3,PAR：4,Reg.：363yd,Hdcp：5,PAR：4,Reg.：321yd,Hdcp：7
5,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール
6,難易度6位/18ホール中 平均スコア6.37 平均パット数1.92 パーオン率22.5% フェアウェイ率45.8% OB率39.8% バンカー率18.3%,難易度6位/18ホール中 平均スコア6.37 平均パット数1.92 パーオン率22.5% フェアウェイ率45.8% OB率39.8% バンカー率18.3%,難易度6位/18ホール中 平均スコア6.37 平均パット数1.92 パーオン率22.5% フェアウェイ率45.8% OB率39.8% バンカー率18.3%,難易度5位/18ホール中 平均スコア5.44 平均パット数1.92 パーオン率14.0% フェアウェイ率46.0% OB率43.8% バンカー率14.3%,難易度5位/18ホール中 平均スコア5.44 平均パット数1.92 パーオン率14.0% フェアウェイ率46.0% OB率43.8% バンカー率14.3%,難易度5位/18ホール中 平均スコア5.44 平均パット数1.92 パーオン率14.0% フェアウェイ率46.0% OB率43.8% バンカー率14.3%,難易度12位/18ホール中 平均スコア5.2 平均パット数1.93 パーオン率24.0% フェアウェイ率50.8% OB率30.0% バンカー率20.8%,難易度12位/18ホール中 平均スコア5.2 平均パット数1.93 パーオン率24.0% フェアウェイ率50.8% OB率30.0% バンカー率20.8%,難易度12位/18ホール中 平均スコア5.2 平均パット数1.93 パーオン率24.0% フェアウェイ率50.8% OB率30.0% バンカー率20.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：128yd,Hdcp：15,PAR：5,Reg.：469yd,Hdcp：1,PAR：4,Reg.：381yd,Hdcp：11
9,,,,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
10,難易度18位/18ホール中 平均スコア3.83 平均パット数1.91 パーオン率31.0% フェアウェイ率- OB率14.5% バンカー率16.5%,難易度18位/18ホール中 平均スコア3.83 平均パット数1.91 パーオン率31.0% フェアウェイ率- OB率14.5% バンカー率16.5%,難易度18位/18ホール中 平均スコア3.83 平均パット数1.91 パーオン率31.0% フェアウェイ率- OB率14.5% バンカー率16.5%,難易度11位/18ホール中 平均スコア6.15 平均パット数1.97 パーオン率31.5% フェアウェイ率50.5% OB率31.5% バンカー率14.5%,難易度11位/18ホール中 平均スコア6.15 平均パット数1.97 パーオン率31.5% フェアウェイ率50.5% OB率31.5% バンカー率14.5%,難易度11位/18ホール中 平均スコア6.15 平均パット数1.97 パーオン率31.5% フェアウェイ率50.5% OB率31.5% バンカー率14.5%,難易度8位/18ホール中 平均スコア5.27 平均パット数1.95 パーオン率22.5% フェアウェイ率48.0% OB率31.8% バンカー率23.0%,難易度8位/18ホール中 平均スコア5.27 平均パット数1.95 パーオン率22.5% フェアウェイ率48.0% OB率31.8% バンカー率23.0%,難易度8位/18ホール中 平均スコア5.27 平均パット数1.95 パーオン率22.5% フェアウェイ率48.0% OB率31.8% バンカー率23.0%
