,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：549yd,Hdcp：9,PAR：4,Reg.：284yd,Hdcp：13,PAR：4,Reg.：384yd,Hdcp：7
1,第２打から右ドッグレッグ 方向性注意,第２打から右ドッグレッグ 方向性注意,第２打から右ドッグレッグ 方向性注意,池越えの美しいミドルホール,池越えの美しいミドルホール,池越えの美しいミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
2,難易度4位/18ホール中 平均スコア6.52 平均パット数1.99 パーオン率21.5% フェアウェイ率47.8% OB率38.5% バンカー率27.3%,難易度4位/18ホール中 平均スコア6.52 平均パット数1.99 パーオン率21.5% フェアウェイ率47.8% OB率38.5% バンカー率27.3%,難易度4位/18ホール中 平均スコア6.52 平均パット数1.99 パーオン率21.5% フェアウェイ率47.8% OB率38.5% バンカー率27.3%,難易度14位/18ホール中 平均スコア5.11 平均パット数1.96 パーオン率31.3% フェアウェイ率44.0% OB率24.0% バンカー率39.3%,難易度14位/18ホール中 平均スコア5.11 平均パット数1.96 パーオン率31.3% フェアウェイ率44.0% OB率24.0% バンカー率39.3%,難易度14位/18ホール中 平均スコア5.11 平均パット数1.96 パーオン率31.3% フェアウェイ率44.0% OB率24.0% バンカー率39.3%,難易度7位/18ホール中 平均スコア5.33 平均パット数1.94 パーオン率20.5% フェアウェイ率55.5% OB率30.3% バンカー率28.3%,難易度7位/18ホール中 平均スコア5.33 平均パット数1.94 パーオン率20.5% フェアウェイ率55.5% OB率30.3% バンカー率28.3%,難易度7位/18ホール中 平均スコア5.33 平均パット数1.94 パーオン率20.5% フェアウェイ率55.5% OB率30.3% バンカー率28.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：202yd,Hdcp：5,PAR：4,Reg.：406yd,Hdcp：1,PAR：4,Reg.：329yd,Hdcp：3
5,打ち下ろしで距離のあるショートホール,打ち下ろしで距離のあるショートホール,打ち下ろしで距離のあるショートホール,右に池ありスライスボールは要注意,右に池ありスライスボールは要注意,右に池ありスライスボールは要注意,谷越えのミドルホール,谷越えのミドルホール,谷越えのミドルホール
6,難易度15位/18ホール中 平均スコア4.09 平均パット数1.85 パーオン率16.8% フェアウェイ率- OB率35.3% バンカー率22.3%,難易度15位/18ホール中 平均スコア4.09 平均パット数1.85 パーオン率16.8% フェアウェイ率- OB率35.3% バンカー率22.3%,難易度15位/18ホール中 平均スコア4.09 平均パット数1.85 パーオン率16.8% フェアウェイ率- OB率35.3% バンカー率22.3%,難易度10位/18ホール中 平均スコア5.24 平均パット数1.97 パーオン率23.0% フェアウェイ率51.5% OB率29.5% バンカー率16.5%,難易度10位/18ホール中 平均スコア5.24 平均パット数1.97 パーオン率23.0% フェアウェイ率51.5% OB率29.5% バンカー率16.5%,難易度10位/18ホール中 平均スコア5.24 平均パット数1.97 パーオン率23.0% フェアウェイ率51.5% OB率29.5% バンカー率16.5%,難易度9位/18ホール中 平均スコア5.25 平均パット数2 パーオン率30.0% フェアウェイ率60.5% OB率44.5% バンカー率20.3%,難易度9位/18ホール中 平均スコア5.25 平均パット数2 パーオン率30.0% フェアウェイ率60.5% OB率44.5% バンカー率20.3%,難易度9位/18ホール中 平均スコア5.25 平均パット数2 パーオン率30.0% フェアウェイ率60.5% OB率44.5% バンカー率20.3%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：140yd,Hdcp：17,PAR：4,Reg.：334yd,Hdcp：15,PAR：5,Reg.：490yd,Hdcp：11
9,ホールインワンのよく出るホール,ホールインワンのよく出るホール,ホールインワンのよく出るホール,極端な左ドッグレッグのミドルホール,極端な左ドッグレッグのミドルホール,極端な左ドッグレッグのミドルホール,ＦＷは広いが第１打、２打とも左サイド狙いが安全,ＦＷは広いが第１打、２打とも左サイド狙いが安全,ＦＷは広いが第１打、２打とも左サイド狙いが安全
10,難易度18位/18ホール中 平均スコア3.83 平均パット数1.89 パーオン率30.5% フェアウェイ率- OB率22.3% バンカー率18.3%,難易度18位/18ホール中 平均スコア3.83 平均パット数1.89 パーオン率30.5% フェアウェイ率- OB率22.3% バンカー率18.3%,難易度18位/18ホール中 平均スコア3.83 平均パット数1.89 パーオン率30.5% フェアウェイ率- OB率22.3% バンカー率18.3%,難易度13位/18ホール中 平均スコア5.13 平均パット数2 パーオン率35.5% フェアウェイ率50.0% OB率43.3% バンカー率21.5%,難易度13位/18ホール中 平均スコア5.13 平均パット数2 パーオン率35.5% フェアウェイ率50.0% OB率43.3% バンカー率21.5%,難易度13位/18ホール中 平均スコア5.13 平均パット数2 パーオン率35.5% フェアウェイ率50.0% OB率43.3% バンカー率21.5%,難易度8位/18ホール中 平均スコア6.29 平均パット数2.04 パーオン率30.5% フェアウェイ率51.0% OB率37.5% バンカー率20.3%,難易度8位/18ホール中 平均スコア6.29 平均パット数2.04 パーオン率30.5% フェアウェイ率51.0% OB率37.5% バンカー率20.3%,難易度8位/18ホール中 平均スコア6.29 平均パット数2.04 パーオン率30.5% フェアウェイ率51.0% OB率37.5% バンカー率20.3%
