,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：459yd,Hdcp：6,PAR：4,Reg.：355yd,Hdcp：7,PAR：3,Reg.：143yd,Hdcp：8
1,右サイドはほとんどＯＢ　短めのロングホール,右サイドはほとんどＯＢ　短めのロングホール,右サイドはほとんどＯＢ　短めのロングホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,池越えのショートホール,池越えのショートホール,池越えのショートホール
2,難易度5位/9ホール中 平均スコア6.21 平均パット数1.92 パーオン率32.3% フェアウェイ率47.5% OB率38.8% バンカー率21.5%,難易度5位/9ホール中 平均スコア6.21 平均パット数1.92 パーオン率32.3% フェアウェイ率47.5% OB率38.8% バンカー率21.5%,難易度5位/9ホール中 平均スコア6.21 平均パット数1.92 パーオン率32.3% フェアウェイ率47.5% OB率38.8% バンカー率21.5%,難易度6位/9ホール中 平均スコア5.19 平均パット数1.89 パーオン率26.0% フェアウェイ率53.8% OB率31.0% バンカー率27.5%,難易度6位/9ホール中 平均スコア5.19 平均パット数1.89 パーオン率26.0% フェアウェイ率53.8% OB率31.0% バンカー率27.5%,難易度6位/9ホール中 平均スコア5.19 平均パット数1.89 パーオン率26.0% フェアウェイ率53.8% OB率31.0% バンカー率27.5%,難易度9位/9ホール中 平均スコア3.85 平均パット数1.94 パーオン率33.3% フェアウェイ率- OB率12.0% バンカー率1.7%,難易度9位/9ホール中 平均スコア3.85 平均パット数1.94 パーオン率33.3% フェアウェイ率- OB率12.0% バンカー率1.7%,難易度9位/9ホール中 平均スコア3.85 平均パット数1.94 パーオン率33.3% フェアウェイ率- OB率12.0% バンカー率1.7%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：376yd,Hdcp：2,PAR：5,Reg.：492yd,Hdcp：3,PAR：4,Reg.：372yd,Hdcp：1
5,なだらかな打ち上げのミドルホール,なだらかな打ち上げのミドルホール,なだらかな打ち上げのミドルホール,起伏の多いロングホール,起伏の多いロングホール,起伏の多いロングホール,距離的には割合短めなミドルホール,距離的には割合短めなミドルホール,距離的には割合短めなミドルホール
6,難易度1位/9ホール中 平均スコア5.57 平均パット数1.88 パーオン率6.5% フェアウェイ率58.5% OB率26.5% バンカー率26.3%,難易度1位/9ホール中 平均スコア5.57 平均パット数1.88 パーオン率6.5% フェアウェイ率58.5% OB率26.5% バンカー率26.3%,難易度1位/9ホール中 平均スコア5.57 平均パット数1.88 パーオン率6.5% フェアウェイ率58.5% OB率26.5% バンカー率26.3%,難易度2位/9ホール中 平均スコア6.45 平均パット数1.92 パーオン率22.5% フェアウェイ率49.3% OB率46.3% バンカー率12.5%,難易度2位/9ホール中 平均スコア6.45 平均パット数1.92 パーオン率22.5% フェアウェイ率49.3% OB率46.3% バンカー率12.5%,難易度2位/9ホール中 平均スコア6.45 平均パット数1.92 パーオン率22.5% フェアウェイ率49.3% OB率46.3% バンカー率12.5%,難易度4位/9ホール中 平均スコア5.29 平均パット数1.95 パーオン率24.3% フェアウェイ率47.3% OB率42.0% バンカー率6.0%,難易度4位/9ホール中 平均スコア5.29 平均パット数1.95 パーオン率24.3% フェアウェイ率47.3% OB率42.0% バンカー率6.0%,難易度4位/9ホール中 平均スコア5.29 平均パット数1.95 パーオン率24.3% フェアウェイ率47.3% OB率42.0% バンカー率6.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：186yd,Hdcp：5,PAR：4,Reg.：318yd,Hdcp：4,PAR：4,Reg.：312yd,Hdcp：9
9,池越えのショートホール,池越えのショートホール,池越えのショートホール,左右が割合狭いミドルホール,左右が割合狭いミドルホール,左右が割合狭いミドルホール,ティーグランドからは非常に狭く感じるミドルホール,ティーグランドからは非常に狭く感じるミドルホール,ティーグランドからは非常に狭く感じるミドルホール
10,難易度8位/9ホール中 平均スコア3.97 平均パット数1.95 パーオン率27.3% フェアウェイ率- OB率30.5% バンカー率10.5%,難易度8位/9ホール中 平均スコア3.97 平均パット数1.95 パーオン率27.3% フェアウェイ率- OB率30.5% バンカー率10.5%,難易度8位/9ホール中 平均スコア3.97 平均パット数1.95 パーオン率27.3% フェアウェイ率- OB率30.5% バンカー率10.5%,難易度7位/9ホール中 平均スコア5.16 平均パット数1.91 パーオン率23.8% フェアウェイ率55.8% OB率40.8% バンカー率9.3%,難易度7位/9ホール中 平均スコア5.16 平均パット数1.91 パーオン率23.8% フェアウェイ率55.8% OB率40.8% バンカー率9.3%,難易度7位/9ホール中 平均スコア5.16 平均パット数1.91 パーオン率23.8% フェアウェイ率55.8% OB率40.8% バンカー率9.3%,難易度3位/9ホール中 平均スコア5.32 平均パット数2.01 パーオン率22.5% フェアウェイ率43.3% OB率27.5% バンカー率17.8%,難易度3位/9ホール中 平均スコア5.32 平均パット数2.01 パーオン率22.5% フェアウェイ率43.3% OB率27.5% バンカー率17.8%,難易度3位/9ホール中 平均スコア5.32 平均パット数2.01 パーオン率22.5% フェアウェイ率43.3% OB率27.5% バンカー率17.8%
