,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：371yd,Hdcp：10,PAR：3,Reg.：172yd,Hdcp：16,PAR：5,Reg.：490yd,Hdcp：4
1,打ち下ろしで距離の短いミドルホール,打ち下ろしで距離の短いミドルホール,打ち下ろしで距離の短いミドルホール,打ち下ろしで風の影響を受けやすいショートホール,打ち下ろしで風の影響を受けやすいショートホール,打ち下ろしで風の影響を受けやすいショートホール,ゆるやかな打ち下ろしのロングホール,ゆるやかな打ち下ろしのロングホール,ゆるやかな打ち下ろしのロングホール
2,難易度3位/18ホール中 平均スコア5.59 平均パット数1.9 パーオン率9.8% フェアウェイ率41.3% OB率38.0% バンカー率7.8%,難易度3位/18ホール中 平均スコア5.59 平均パット数1.9 パーオン率9.8% フェアウェイ率41.3% OB率38.0% バンカー率7.8%,難易度3位/18ホール中 平均スコア5.59 平均パット数1.9 パーオン率9.8% フェアウェイ率41.3% OB率38.0% バンカー率7.8%,難易度16位/18ホール中 平均スコア4.18 平均パット数2 パーオン率19.8% フェアウェイ率- OB率11.7% バンカー率26.8%,難易度16位/18ホール中 平均スコア4.18 平均パット数2 パーオン率19.8% フェアウェイ率- OB率11.7% バンカー率26.8%,難易度16位/18ホール中 平均スコア4.18 平均パット数2 パーオン率19.8% フェアウェイ率- OB率11.7% バンカー率26.8%,難易度10位/18ホール中 平均スコア6.35 平均パット数1.97 パーオン率28.0% フェアウェイ率59.5% OB率39.8% バンカー率12.3%,難易度10位/18ホール中 平均スコア6.35 平均パット数1.97 パーオン率28.0% フェアウェイ率59.5% OB率39.8% バンカー率12.3%,難易度10位/18ホール中 平均スコア6.35 平均パット数1.97 パーオン率28.0% フェアウェイ率59.5% OB率39.8% バンカー率12.3%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：333yd,Hdcp：8,PAR：4,Reg.：350yd,Hdcp：2,PAR：4,Reg.：330yd,Hdcp：14
5,第２打から打ち上げの右ドッグのミドル,第２打から打ち上げの右ドッグのミドル,第２打から打ち上げの右ドッグのミドル,２打目からやや打ち上げのミドル　全体的に狭い,２打目からやや打ち上げのミドル　全体的に狭い,２打目からやや打ち上げのミドル　全体的に狭い,距離も短く、フラットな右ドッグレッグのミドル,距離も短く、フラットな右ドッグレッグのミドル,距離も短く、フラットな右ドッグレッグのミドル
6,難易度6位/18ホール中 平均スコア5.53 平均パット数1.97 パーオン率11.3% フェアウェイ率60.0% OB率18.5% バンカー率12.3%,難易度6位/18ホール中 平均スコア5.53 平均パット数1.97 パーオン率11.3% フェアウェイ率60.0% OB率18.5% バンカー率12.3%,難易度6位/18ホール中 平均スコア5.53 平均パット数1.97 パーオン率11.3% フェアウェイ率60.0% OB率18.5% バンカー率12.3%,難易度5位/18ホール中 平均スコア5.56 平均パット数1.94 パーオン率9.8% フェアウェイ率52.8% OB率34.3% バンカー率2.3%,難易度5位/18ホール中 平均スコア5.56 平均パット数1.94 パーオン率9.8% フェアウェイ率52.8% OB率34.3% バンカー率2.3%,難易度5位/18ホール中 平均スコア5.56 平均パット数1.94 パーオン率9.8% フェアウェイ率52.8% OB率34.3% バンカー率2.3%,難易度11位/18ホール中 平均スコア5.38 平均パット数1.94 パーオン率16.5% フェアウェイ率55.8% OB率24.5% バンカー率12.5%,難易度11位/18ホール中 平均スコア5.38 平均パット数1.94 パーオン率16.5% フェアウェイ率55.8% OB率24.5% バンカー率12.5%,難易度11位/18ホール中 平均スコア5.38 平均パット数1.94 パーオン率16.5% フェアウェイ率55.8% OB率24.5% バンカー率12.5%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：365yd,Hdcp：12,PAR：3,Reg.：186yd,Hdcp：18,PAR：5,Reg.：470yd,Hdcp：6
9,第２打は谷越えの右ドッグレッグのミドルホール,第２打は谷越えの右ドッグレッグのミドルホール,第２打は谷越えの右ドッグレッグのミドルホール,谷越え打ち下ろしのショートホール,谷越え打ち下ろしのショートホール,谷越え打ち下ろしのショートホール,最終打ち上げのロングホール　フェアウェーは広い,最終打ち上げのロングホール　フェアウェーは広い,最終打ち上げのロングホール　フェアウェーは広い
