,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：344yd,Hdcp：15,PAR：5,Reg.：543yd,Hdcp：3,PAR：4,Reg.：320yd,Hdcp：9
1,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,ティーショットは右バンカーの左側を狙う,ティーショットは右バンカーの左側を狙う,ティーショットは右バンカーの左側を狙う,ティーショットはバンカー右側を狙う,ティーショットはバンカー右側を狙う,ティーショットはバンカー右側を狙う
2,難易度14位/18ホール中 平均スコア5.14 平均パット数2.04 パーオン率26.0% フェアウェイ率41.3% OB率6.3% バンカー率23.5%,難易度14位/18ホール中 平均スコア5.14 平均パット数2.04 パーオン率26.0% フェアウェイ率41.3% OB率6.3% バンカー率23.5%,難易度14位/18ホール中 平均スコア5.14 平均パット数2.04 パーオン率26.0% フェアウェイ率41.3% OB率6.3% バンカー率23.5%,難易度7位/18ホール中 平均スコア6.4 平均パット数2.05 パーオン率24.0% フェアウェイ率38.0% OB率14.3% バンカー率21.0%,難易度7位/18ホール中 平均スコア6.4 平均パット数2.05 パーオン率24.0% フェアウェイ率38.0% OB率14.3% バンカー率21.0%,難易度7位/18ホール中 平均スコア6.4 平均パット数2.05 パーオン率24.0% フェアウェイ率38.0% OB率14.3% バンカー率21.0%,難易度9位/18ホール中 平均スコア5.31 平均パット数2.07 パーオン率25.0% フェアウェイ率46.0% OB率16.8% バンカー率29.3%,難易度9位/18ホール中 平均スコア5.31 平均パット数2.07 パーオン率25.0% フェアウェイ率46.0% OB率16.8% バンカー率29.3%,難易度9位/18ホール中 平均スコア5.31 平均パット数2.07 パーオン率25.0% フェアウェイ率46.0% OB率16.8% バンカー率29.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：180yd,Hdcp：7,PAR：4,Reg.：397yd,Hdcp：13,PAR：4,Reg.：401yd,Hdcp：1
5,長いショートホール　バンカーとバンカーの間を狙う,長いショートホール　バンカーとバンカーの間を狙う,長いショートホール　バンカーとバンカーの間を狙う,ティーショットはフェアウェイの左サイドを狙う,ティーショットはフェアウェイの左サイドを狙う,ティーショットはフェアウェイの左サイドを狙う,ティーショットは左バンカーの右側を狙う,ティーショットは左バンカーの右側を狙う,ティーショットは左バンカーの右側を狙う
6,難易度12位/18ホール中 平均スコア4.21 平均パット数2.08 パーオン率20.0% フェアウェイ率- OB率10.0% バンカー率40.5%,難易度12位/18ホール中 平均スコア4.21 平均パット数2.08 パーオン率20.0% フェアウェイ率- OB率10.0% バンカー率40.5%,難易度12位/18ホール中 平均スコア4.21 平均パット数2.08 パーオン率20.0% フェアウェイ率- OB率10.0% バンカー率40.5%,難易度6位/18ホール中 平均スコア5.45 平均パット数2.11 パーオン率18.5% フェアウェイ率40.3% OB率7.5% バンカー率19.8%,難易度6位/18ホール中 平均スコア5.45 平均パット数2.11 パーオン率18.5% フェアウェイ率40.3% OB率7.5% バンカー率19.8%,難易度6位/18ホール中 平均スコア5.45 平均パット数2.11 パーオン率18.5% フェアウェイ率40.3% OB率7.5% バンカー率19.8%,難易度4位/18ホール中 平均スコア5.52 平均パット数2 パーオン率8.5% フェアウェイ率39.5% OB率2.0% バンカー率19.0%,難易度4位/18ホール中 平均スコア5.52 平均パット数2 パーオン率8.5% フェアウェイ率39.5% OB率2.0% バンカー率19.0%,難易度4位/18ホール中 平均スコア5.52 平均パット数2 パーオン率8.5% フェアウェイ率39.5% OB率2.0% バンカー率19.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：5,Reg.：496yd,Hdcp：5,PAR：4,Reg.：290yd,Hdcp：11,PAR：3,Reg.：160yd,Hdcp：17
9,ティーショットはフェアウェイの左側を狙う,ティーショットはフェアウェイの左側を狙う,ティーショットはフェアウェイの左側を狙う,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,池越えのショートホール,池越えのショートホール,池越えのショートホール
10,難易度11位/18ホール中 平均スコア6.12 平均パット数2.07 パーオン率36.0% フェアウェイ率39.3% OB率- バンカー率21.8%,難易度11位/18ホール中 平均スコア6.12 平均パット数2.07 パーオン率36.0% フェアウェイ率39.3% OB率- バンカー率21.8%,難易度11位/18ホール中 平均スコア6.12 平均パット数2.07 パーオン率36.0% フェアウェイ率39.3% OB率- バンカー率21.8%,難易度13位/18ホール中 平均スコア5.14 平均パット数2.02 パーオン率30.3% フェアウェイ率48.3% OB率4.0% バンカー率11.8%,難易度13位/18ホール中 平均スコア5.14 平均パット数2.02 パーオン率30.3% フェアウェイ率48.3% OB率4.0% バンカー率11.8%,難易度13位/18ホール中 平均スコア5.14 平均パット数2.02 パーオン率30.3% フェアウェイ率48.3% OB率4.0% バンカー率11.8%,難易度17位/18ホール中 平均スコア4.06 平均パット数2.03 パーオン率28.8% フェアウェイ率- OB率7.0% バンカー率4.7%,難易度17位/18ホール中 平均スコア4.06 平均パット数2.03 パーオン率28.8% フェアウェイ率- OB率7.0% バンカー率4.7%,難易度17位/18ホール中 平均スコア4.06 平均パット数2.03 パーオン率28.8% フェアウェイ率- OB率7.0% バンカー率4.7%
