,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：437yd,Hdcp：4,PAR：3,Reg.：167yd,Hdcp：16,PAR：4,Reg.：386yd,Hdcp：10
1,距離のあるミドルホール,距離のあるミドルホール,距離のあるミドルホール,距離がありグリーンが縦に長く大きいショート,距離がありグリーンが縦に長く大きいショート,距離がありグリーンが縦に長く大きいショート,両サイドにクロスバンカー、右側の方が危険が少ない,両サイドにクロスバンカー、右側の方が危険が少ない,両サイドにクロスバンカー、右側の方が危険が少ない
2,難易度2位/18ホール中 平均スコア5.64 平均パット数2.09 パーオン率9.0% フェアウェイ率34.8% OB率25.3% バンカー率15.0%,難易度2位/18ホール中 平均スコア5.64 平均パット数2.09 パーオン率9.0% フェアウェイ率34.8% OB率25.3% バンカー率15.0%,難易度2位/18ホール中 平均スコア5.64 平均パット数2.09 パーオン率9.0% フェアウェイ率34.8% OB率25.3% バンカー率15.0%,難易度16位/18ホール中 平均スコア4.08 平均パット数2.12 パーオン率30.3% フェアウェイ率- OB率10.7% バンカー率31.8%,難易度16位/18ホール中 平均スコア4.08 平均パット数2.12 パーオン率30.3% フェアウェイ率- OB率10.7% バンカー率31.8%,難易度16位/18ホール中 平均スコア4.08 平均パット数2.12 パーオン率30.3% フェアウェイ率- OB率10.7% バンカー率31.8%,難易度8位/18ホール中 平均スコア5.38 平均パット数2.05 パーオン率18.3% フェアウェイ率33.8% OB率15.8% バンカー率30.5%,難易度8位/18ホール中 平均スコア5.38 平均パット数2.05 パーオン率18.3% フェアウェイ率33.8% OB率15.8% バンカー率30.5%,難易度8位/18ホール中 平均スコア5.38 平均パット数2.05 パーオン率18.3% フェアウェイ率33.8% OB率15.8% バンカー率30.5%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：5,Reg.：575yd,Hdcp：2,PAR：3,Reg.：181yd,Hdcp：14,PAR：4,Reg.：344yd,Hdcp：8
5,距離のあるロングホール,距離のあるロングホール,距離のあるロングホール,やや打ち下ろしのショートホール,やや打ち下ろしのショートホール,やや打ち下ろしのショートホール,距離は短いが、右側に池がグリーンまで続くホール,距離は短いが、右側に池がグリーンまで続くホール,距離は短いが、右側に池がグリーンまで続くホール
6,難易度4位/18ホール中 平均スコア6.41 平均パット数2.07 パーオン率23.0% フェアウェイ率60.5% OB率29.5% バンカー率2.0%,難易度4位/18ホール中 平均スコア6.41 平均パット数2.07 パーオン率23.0% フェアウェイ率60.5% OB率29.5% バンカー率2.0%,難易度4位/18ホール中 平均スコア6.41 平均パット数2.07 パーオン率23.0% フェアウェイ率60.5% OB率29.5% バンカー率2.0%,難易度17位/18ホール中 平均スコア4.03 平均パット数2.14 パーオン率35.3% フェアウェイ率- OB率16.0% バンカー率19.8%,難易度17位/18ホール中 平均スコア4.03 平均パット数2.14 パーオン率35.3% フェアウェイ率- OB率16.0% バンカー率19.8%,難易度17位/18ホール中 平均スコア4.03 平均パット数2.14 パーオン率35.3% フェアウェイ率- OB率16.0% バンカー率19.8%,難易度11位/18ホール中 平均スコア5.2 平均パット数2.11 パーオン率33.0% フェアウェイ率47.5% OB率10.0% バンカー率20.0%,難易度11位/18ホール中 平均スコア5.2 平均パット数2.11 パーオン率33.0% フェアウェイ率47.5% OB率10.0% バンカー率20.0%,難易度11位/18ホール中 平均スコア5.2 平均パット数2.11 パーオン率33.0% フェアウェイ率47.5% OB率10.0% バンカー率20.0%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：359yd,Hdcp：18,PAR：4,Reg.：423yd,Hdcp：6,PAR：5,Reg.：505yd,Hdcp：12
9,ティショットは右側に池が続く、スライスボール禁物,ティショットは右側に池が続く、スライスボール禁物,ティショットは右側に池が続く、スライスボール禁物,ティーショットはFW右側に、確実に距離を稼ぎたい,ティーショットはFW右側に、確実に距離を稼ぎたい,ティーショットはFW右側に、確実に距離を稼ぎたい,ほとんど真直ぐのフラットな最終ロングホール,ほとんど真直ぐのフラットな最終ロングホール,ほとんど真直ぐのフラットな最終ロングホール
10,難易度15位/18ホール中 平均スコア5.08 平均パット数2.05 パーオン率36.0% フェアウェイ率62.0% OB率11.8% バンカー率17.0%,難易度15位/18ホール中 平均スコア5.08 平均パット数2.05 パーオン率36.0% フェアウェイ率62.0% OB率11.8% バンカー率17.0%,難易度15位/18ホール中 平均スコア5.08 平均パット数2.05 パーオン率36.0% フェアウェイ率62.0% OB率11.8% バンカー率17.0%,難易度1位/18ホール中 平均スコア5.79 平均パット数2.11 パーオン率15.3% フェアウェイ率46.8% OB率45.8% バンカー率13.8%,難易度1位/18ホール中 平均スコア5.79 平均パット数2.11 パーオン率15.3% フェアウェイ率46.8% OB率45.8% バンカー率13.8%,難易度1位/18ホール中 平均スコア5.79 平均パット数2.11 パーオン率15.3% フェアウェイ率46.8% OB率45.8% バンカー率13.8%,難易度9位/18ホール中 平均スコア6.24 平均パット数2.15 パーオン率31.8% フェアウェイ率46.3% OB率13.0% バンカー率34.0%,難易度9位/18ホール中 平均スコア6.24 平均パット数2.15 パーオン率31.8% フェアウェイ率46.3% OB率13.0% バンカー率34.0%,難易度9位/18ホール中 平均スコア6.24 平均パット数2.15 パーオン率31.8% フェアウェイ率46.3% OB率13.0% バンカー率34.0%
