,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：351yd,Hdcp：10,PAR：5,Reg.：484yd,Hdcp：4,PAR：3,Reg.：171yd,Hdcp：16
1,ストレートなミドルホール,ストレートなミドルホール,ストレートなミドルホール,１打目落下地点付近のクリークには注意したい,１打目落下地点付近のクリークには注意したい,１打目落下地点付近のクリークには注意したい,池越えのショートホール,池越えのショートホール,池越えのショートホール
2,難易度12位/18ホール中 平均スコア5.16 平均パット数2.06 パーオン率26.5% フェアウェイ率47.5% OB率2.0% バンカー率7.3%,難易度12位/18ホール中 平均スコア5.16 平均パット数2.06 パーオン率26.5% フェアウェイ率47.5% OB率2.0% バンカー率7.3%,難易度12位/18ホール中 平均スコア5.16 平均パット数2.06 パーオン率26.5% フェアウェイ率47.5% OB率2.0% バンカー率7.3%,難易度5位/18ホール中 平均スコア6.44 平均パット数2.09 パーオン率28.0% フェアウェイ率63.3% OB率1.0% バンカー率18.3%,難易度5位/18ホール中 平均スコア6.44 平均パット数2.09 パーオン率28.0% フェアウェイ率63.3% OB率1.0% バンカー率18.3%,難易度5位/18ホール中 平均スコア6.44 平均パット数2.09 パーオン率28.0% フェアウェイ率63.3% OB率1.0% バンカー率18.3%,難易度10位/18ホール中 平均スコア4.22 平均パット数1.96 パーオン率24.0% フェアウェイ率- OB率6.0% バンカー率5.3%,難易度10位/18ホール中 平均スコア4.22 平均パット数1.96 パーオン率24.0% フェアウェイ率- OB率6.0% バンカー率5.3%,難易度10位/18ホール中 平均スコア4.22 平均パット数1.96 パーオン率24.0% フェアウェイ率- OB率6.0% バンカー率5.3%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：452yd,Hdcp：2,PAR：4,Reg.：359yd,Hdcp：8,PAR：4,Reg.：325yd,Hdcp：14
5,右ドッグレッグで長めのミドルホール,右ドッグレッグで長めのミドルホール,右ドッグレッグで長めのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,短めで右ドッグレッグのミドルホール,短めで右ドッグレッグのミドルホール,短めで右ドッグレッグのミドルホール
6,難易度3位/18ホール中 平均スコア5.42 平均パット数1.92 パーオン率8.3% フェアウェイ率50.3% OB率- バンカー率32.5%,難易度3位/18ホール中 平均スコア5.42 平均パット数1.92 パーオン率8.3% フェアウェイ率50.3% OB率- バンカー率32.5%,難易度3位/18ホール中 平均スコア5.42 平均パット数1.92 パーオン率8.3% フェアウェイ率50.3% OB率- バンカー率32.5%,難易度17位/18ホール中 平均スコア5.07 平均パット数1.93 パーオン率25.0% フェアウェイ率53.5% OB率3.5% バンカー率33.5%,難易度17位/18ホール中 平均スコア5.07 平均パット数1.93 パーオン率25.0% フェアウェイ率53.5% OB率3.5% バンカー率33.5%,難易度17位/18ホール中 平均スコア5.07 平均パット数1.93 パーオン率25.0% フェアウェイ率53.5% OB率3.5% バンカー率33.5%,難易度18位/18ホール中 平均スコア5.03 平均パット数1.98 パーオン率32.5% フェアウェイ率42.3% OB率3.7% バンカー率24.5%,難易度18位/18ホール中 平均スコア5.03 平均パット数1.98 パーオン率32.5% フェアウェイ率42.3% OB率3.7% バンカー率24.5%,難易度18位/18ホール中 平均スコア5.03 平均パット数1.98 パーオン率32.5% フェアウェイ率42.3% OB率3.7% バンカー率24.5%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：5,Reg.：515yd,Hdcp：6,PAR：3,Reg.：188yd,Hdcp：18,PAR：4,Reg.：432yd,Hdcp：12
9,やや左ドッグレッグのロングホール,やや左ドッグレッグのロングホール,やや左ドッグレッグのロングホール,長めのショートホール,長めのショートホール,長めのショートホール,グリーン周りが池で囲まれた長いミドルホール,グリーン周りが池で囲まれた長いミドルホール,グリーン周りが池で囲まれた長いミドルホール
10,難易度15位/18ホール中 平均スコア6.13 平均パット数2.06 パーオン率34.3% フェアウェイ率53.8% OB率12.8% バンカー率25.8%,難易度15位/18ホール中 平均スコア6.13 平均パット数2.06 パーオン率34.3% フェアウェイ率53.8% OB率12.8% バンカー率25.8%,難易度15位/18ホール中 平均スコア6.13 平均パット数2.06 パーオン率34.3% フェアウェイ率53.8% OB率12.8% バンカー率25.8%,難易度16位/18ホール中 平均スコア4.03 平均パット数2.1 パーオン率32.5% フェアウェイ率- OB率5.8% バンカー率18.5%,難易度16位/18ホール中 平均スコア4.03 平均パット数2.1 パーオン率32.5% フェアウェイ率- OB率5.8% バンカー率18.5%,難易度16位/18ホール中 平均スコア4.03 平均パット数2.1 パーオン率32.5% フェアウェイ率- OB率5.8% バンカー率18.5%,難易度1位/18ホール中 平均スコア5.71 平均パット数2.06 パーオン率13.8% フェアウェイ率52.0% OB率12.7% バンカー率26.0%,難易度1位/18ホール中 平均スコア5.71 平均パット数2.06 パーオン率13.8% フェアウェイ率52.0% OB率12.7% バンカー率26.0%,難易度1位/18ホール中 平均スコア5.71 平均パット数2.06 パーオン率13.8% フェアウェイ率52.0% OB率12.7% バンカー率26.0%
