,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：546yd,Hdcp：5,PAR：4,Reg.：321yd,Hdcp：11,PAR：3,Reg.：162yd,Hdcp：17
1,ティーショットは安全に右サイド狙いで,ティーショットは安全に右サイド狙いで,ティーショットは安全に右サイド狙いで,軽い打ち上げのミドルホール　左ＯＢ,軽い打ち上げのミドルホール　左ＯＢ,軽い打ち上げのミドルホール　左ＯＢ,距離はないが、打ちおろしと風の計算がポイント,距離はないが、打ちおろしと風の計算がポイント,距離はないが、打ちおろしと風の計算がポイント
2,難易度2位/18ホール中 平均スコア6.59 平均パット数2.07 パーオン率18.8% フェアウェイ率59.5% OB率13.8% バンカー率28.8%,難易度2位/18ホール中 平均スコア6.59 平均パット数2.07 パーオン率18.8% フェアウェイ率59.5% OB率13.8% バンカー率28.8%,難易度2位/18ホール中 平均スコア6.59 平均パット数2.07 パーオン率18.8% フェアウェイ率59.5% OB率13.8% バンカー率28.8%,難易度12位/18ホール中 平均スコア5.18 平均パット数1.95 パーオン率23.5% フェアウェイ率53.0% OB率15.0% バンカー率42.5%,難易度12位/18ホール中 平均スコア5.18 平均パット数1.95 パーオン率23.5% フェアウェイ率53.0% OB率15.0% バンカー率42.5%,難易度12位/18ホール中 平均スコア5.18 平均パット数1.95 パーオン率23.5% フェアウェイ率53.0% OB率15.0% バンカー率42.5%,難易度18位/18ホール中 平均スコア4.01 平均パット数1.95 パーオン率20.5% フェアウェイ率- OB率9.0% バンカー率32.5%,難易度18位/18ホール中 平均スコア4.01 平均パット数1.95 パーオン率20.5% フェアウェイ率- OB率9.0% バンカー率32.5%,難易度18位/18ホール中 平均スコア4.01 平均パット数1.95 パーオン率20.5% フェアウェイ率- OB率9.0% バンカー率32.5%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：381yd,Hdcp：3,PAR：5,Reg.：497yd,Hdcp：9,PAR：3,Reg.：163yd,Hdcp：15
5,左はＯＢ。右隣ホールはセーフだが風に注意,左はＯＢ。右隣ホールはセーフだが風に注意,左はＯＢ。右隣ホールはセーフだが風に注意,右へ大きくドッグレッグしているロングホール,右へ大きくドッグレッグしているロングホール,右へ大きくドッグレッグしているロングホール,打ち下ろしのショートホール,打ち下ろしのショートホール,打ち下ろしのショートホール
6,難易度11位/18ホール中 平均スコア5.26 平均パット数1.86 パーオン率16.0% フェアウェイ率54.5% OB率18.0% バンカー率25.0%,難易度11位/18ホール中 平均スコア5.26 平均パット数1.86 パーオン率16.0% フェアウェイ率54.5% OB率18.0% バンカー率25.0%,難易度11位/18ホール中 平均スコア5.26 平均パット数1.86 パーオン率16.0% フェアウェイ率54.5% OB率18.0% バンカー率25.0%,難易度4位/18ホール中 平均スコア6.53 平均パット数1.98 パーオン率21.3% フェアウェイ率61.5% OB率51.0% バンカー率19.8%,難易度4位/18ホール中 平均スコア6.53 平均パット数1.98 パーオン率21.3% フェアウェイ率61.5% OB率51.0% バンカー率19.8%,難易度4位/18ホール中 平均スコア6.53 平均パット数1.98 パーオン率21.3% フェアウェイ率61.5% OB率51.0% バンカー率19.8%,難易度17位/18ホール中 平均スコア4.06 平均パット数1.95 パーオン率22.5% フェアウェイ率- OB率16.3% バンカー率20.3%,難易度17位/18ホール中 平均スコア4.06 平均パット数1.95 パーオン率22.5% フェアウェイ率- OB率16.3% バンカー率20.3%,難易度17位/18ホール中 平均スコア4.06 平均パット数1.95 パーオン率22.5% フェアウェイ率- OB率16.3% バンカー率20.3%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：353yd,Hdcp：13,PAR：4,Reg.：374yd,Hdcp：1,PAR：4,Reg.：351yd,Hdcp：7
9,谷越えのミドルホール,谷越えのミドルホール,谷越えのミドルホール,左ドッグレッグのミドル　奥がＬ（左）グリーン,左ドッグレッグのミドル　奥がＬ（左）グリーン,左ドッグレッグのミドル　奥がＬ（左）グリーン,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
10,難易度9位/18ホール中 平均スコア5.36 平均パット数1.95 パーオン率18.0% フェアウェイ率54.3% OB率32.5% バンカー率32.7%,難易度9位/18ホール中 平均スコア5.36 平均パット数1.95 パーオン率18.0% フェアウェイ率54.3% OB率32.5% バンカー率32.7%,難易度9位/18ホール中 平均スコア5.36 平均パット数1.95 パーオン率18.0% フェアウェイ率54.3% OB率32.5% バンカー率32.7%,難易度7位/18ホール中 平均スコア5.42 平均パット数2.03 パーオン率21.5% フェアウェイ率45.0% OB率44.0% バンカー率21.3%,難易度7位/18ホール中 平均スコア5.42 平均パット数2.03 パーオン率21.5% フェアウェイ率45.0% OB率44.0% バンカー率21.3%,難易度7位/18ホール中 平均スコア5.42 平均パット数2.03 パーオン率21.5% フェアウェイ率45.0% OB率44.0% バンカー率21.3%,難易度3位/18ホール中 平均スコア5.53 平均パット数1.96 パーオン率15.3% フェアウェイ率51.8% OB率33.8% バンカー率28.0%,難易度3位/18ホール中 平均スコア5.53 平均パット数1.96 パーオン率15.3% フェアウェイ率51.8% OB率33.8% バンカー率28.0%,難易度3位/18ホール中 平均スコア5.53 平均パット数1.96 パーオン率15.3% フェアウェイ率51.8% OB率33.8% バンカー率28.0%
