,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：5,Reg.：507yd,Hdcp：16,PAR：4,Reg.：375yd,Hdcp：4,PAR：4,Reg.：358yd,Hdcp：14
1,左ドッグの美しいロングホール,左ドッグの美しいロングホール,左ドッグの美しいロングホール,軽い左ドッグの打ち下ろしミドル　難易度非常に高い,軽い左ドッグの打ち下ろしミドル　難易度非常に高い,軽い左ドッグの打ち下ろしミドル　難易度非常に高い,池のある戦略性に富んだ名物ホール,池のある戦略性に富んだ名物ホール,池のある戦略性に富んだ名物ホール
2,難易度1位/18ホール中 平均スコア6.69 平均パット数2.08 パーオン率22.5% フェアウェイ率63.5% OB率50.3% バンカー率17.0%,難易度1位/18ホール中 平均スコア6.69 平均パット数2.08 パーオン率22.5% フェアウェイ率63.5% OB率50.3% バンカー率17.0%,難易度1位/18ホール中 平均スコア6.69 平均パット数2.08 パーオン率22.5% フェアウェイ率63.5% OB率50.3% バンカー率17.0%,難易度2位/18ホール中 平均スコア5.71 平均パット数2.15 パーオン率20.0% フェアウェイ率37.8% OB率54.0% バンカー率26.0%,難易度2位/18ホール中 平均スコア5.71 平均パット数2.15 パーオン率20.0% フェアウェイ率37.8% OB率54.0% バンカー率26.0%,難易度2位/18ホール中 平均スコア5.71 平均パット数2.15 パーオン率20.0% フェアウェイ率37.8% OB率54.0% バンカー率26.0%,難易度6位/18ホール中 平均スコア5.45 平均パット数2.09 パーオン率23.3% フェアウェイ率44.5% OB率23.0% バンカー率10.3%,難易度6位/18ホール中 平均スコア5.45 平均パット数2.09 パーオン率23.3% フェアウェイ率44.5% OB率23.0% バンカー率10.3%,難易度6位/18ホール中 平均スコア5.45 平均パット数2.09 パーオン率23.3% フェアウェイ率44.5% OB率23.0% バンカー率10.3%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：3,Reg.：163yd,Hdcp：10,PAR：5,Reg.：494yd,Hdcp：18,PAR：4,Reg.：373yd,Hdcp：6
5,2段グリーンの左側に池のあるショートホール,2段グリーンの左側に池のあるショートホール,2段グリーンの左側に池のあるショートホール,ゆるやかな右ドッグのロング　グリーン奥OBは近い,ゆるやかな右ドッグのロング　グリーン奥OBは近い,ゆるやかな右ドッグのロング　グリーン奥OBは近い,まっすぐな打ち下ろしミドル　2打目は軽い打ち上げ,まっすぐな打ち下ろしミドル　2打目は軽い打ち上げ,まっすぐな打ち下ろしミドル　2打目は軽い打ち上げ
6,難易度16位/18ホール中 平均スコア4.02 平均パット数2.09 パーオン率38.0% フェアウェイ率- OB率12.8% バンカー率6.5%,難易度16位/18ホール中 平均スコア4.02 平均パット数2.09 パーオン率38.0% フェアウェイ率- OB率12.8% バンカー率6.5%,難易度16位/18ホール中 平均スコア4.02 平均パット数2.09 パーオン率38.0% フェアウェイ率- OB率12.8% バンカー率6.5%,難易度7位/18ホール中 平均スコア6.44 平均パット数2.1 パーオン率28.5% フェアウェイ率56.3% OB率37.0% バンカー率34.5%,難易度7位/18ホール中 平均スコア6.44 平均パット数2.1 パーオン率28.5% フェアウェイ率56.3% OB率37.0% バンカー率34.5%,難易度7位/18ホール中 平均スコア6.44 平均パット数2.1 パーオン率28.5% フェアウェイ率56.3% OB率37.0% バンカー率34.5%,難易度11位/18ホール中 平均スコア5.38 平均パット数2.04 パーオン率19.5% フェアウェイ率45.5% OB率30.0% バンカー率23.3%,難易度11位/18ホール中 平均スコア5.38 平均パット数2.04 パーオン率19.5% フェアウェイ率45.5% OB率30.0% バンカー率23.3%,難易度11位/18ホール中 平均スコア5.38 平均パット数2.04 パーオン率19.5% フェアウェイ率45.5% OB率30.0% バンカー率23.3%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：394yd,Hdcp：8,PAR：3,Reg.：165yd,Hdcp：12,PAR：4,Reg.：410yd,Hdcp：2
9,第1打は左バンカー横狙い,第1打は左バンカー横狙い,第1打は左バンカー横狙い,少し打ち上げで距離のあるショートホール,少し打ち上げで距離のあるショートホール,少し打ち上げで距離のあるショートホール,ゆるやかな打ち下ろしのミドルホール,ゆるやかな打ち下ろしのミドルホール,ゆるやかな打ち下ろしのミドルホール
10,難易度4位/18ホール中 平均スコア5.6 平均パット数2.24 パーオン率21.3% フェアウェイ率48.0% OB率22.5% バンカー率47.8%,難易度4位/18ホール中 平均スコア5.6 平均パット数2.24 パーオン率21.3% フェアウェイ率48.0% OB率22.5% バンカー率47.8%,難易度4位/18ホール中 平均スコア5.6 平均パット数2.24 パーオン率21.3% フェアウェイ率48.0% OB率22.5% バンカー率47.8%,難易度15位/18ホール中 平均スコア4.03 平均パット数2.04 パーオン率28.5% フェアウェイ率- OB率14.8% バンカー率28.3%,難易度15位/18ホール中 平均スコア4.03 平均パット数2.04 パーオン率28.5% フェアウェイ率- OB率14.8% バンカー率28.3%,難易度15位/18ホール中 平均スコア4.03 平均パット数2.04 パーオン率28.5% フェアウェイ率- OB率14.8% バンカー率28.3%,難易度10位/18ホール中 平均スコア5.42 平均パット数2 パーオン率18.0% フェアウェイ率54.0% OB率24.5% バンカー率26.3%,難易度10位/18ホール中 平均スコア5.42 平均パット数2 パーオン率18.0% フェアウェイ率54.0% OB率24.5% バンカー率26.3%,難易度10位/18ホール中 平均スコア5.42 平均パット数2 パーオン率18.0% フェアウェイ率54.0% OB率24.5% バンカー率26.3%
