,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：381yd,Hdcp：10,PAR：4,Reg.：383yd,Hdcp：16,PAR：5,Reg.：479yd,Hdcp：4
1,フラットで距離のたっぷりあるミドルホール,フラットで距離のたっぷりあるミドルホール,フラットで距離のたっぷりあるミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,谷越えのロングホール,谷越えのロングホール,谷越えのロングホール
2,難易度7位/18ホール中 平均スコア5.52 平均パット数2.08 パーオン率17.8% フェアウェイ率53.3% OB率19.8% バンカー率17.3%,難易度7位/18ホール中 平均スコア5.52 平均パット数2.08 パーオン率17.8% フェアウェイ率53.3% OB率19.8% バンカー率17.3%,難易度7位/18ホール中 平均スコア5.52 平均パット数2.08 パーオン率17.8% フェアウェイ率53.3% OB率19.8% バンカー率17.3%,難易度9位/18ホール中 平均スコア5.5 平均パット数2.11 パーオン率23.3% フェアウェイ率49.3% OB率42.3% バンカー率6.3%,難易度9位/18ホール中 平均スコア5.5 平均パット数2.11 パーオン率23.3% フェアウェイ率49.3% OB率42.3% バンカー率6.3%,難易度9位/18ホール中 平均スコア5.5 平均パット数2.11 パーオン率23.3% フェアウェイ率49.3% OB率42.3% バンカー率6.3%,難易度4位/18ホール中 平均スコア6.51 平均パット数2.02 パーオン率23.0% フェアウェイ率45.3% OB率54.0% バンカー率12.0%,難易度4位/18ホール中 平均スコア6.51 平均パット数2.02 パーオン率23.0% フェアウェイ率45.3% OB率54.0% バンカー率12.0%,難易度4位/18ホール中 平均スコア6.51 平均パット数2.02 パーオン率23.0% フェアウェイ率45.3% OB率54.0% バンカー率12.0%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：364yd,Hdcp：6,PAR：3,Reg.：111yd,Hdcp：18,PAR：4,Reg.：363yd,Hdcp：12
5,バンカー手前でとめるか、左サイドを狙うか,バンカー手前でとめるか、左サイドを狙うか,バンカー手前でとめるか、左サイドを狙うか,美しい造形の最も短いショートホール,美しい造形の最も短いショートホール,美しい造形の最も短いショートホール,フェアウェイはフラットで広いが左側は浅い,フェアウェイはフラットで広いが左側は浅い,フェアウェイはフラットで広いが左側は浅い
6,難易度6位/18ホール中 平均スコア5.54 平均パット数2.13 パーオン率19.8% フェアウェイ率46.5% OB率26.0% バンカー率49.3%,難易度6位/18ホール中 平均スコア5.54 平均パット数2.13 パーオン率19.8% フェアウェイ率46.5% OB率26.0% バンカー率49.3%,難易度6位/18ホール中 平均スコア5.54 平均パット数2.13 パーオン率19.8% フェアウェイ率46.5% OB率26.0% バンカー率49.3%,難易度18位/18ホール中 平均スコア3.79 平均パット数2.05 パーオン率44.8% フェアウェイ率- OB率9.5% バンカー率22.8%,難易度18位/18ホール中 平均スコア3.79 平均パット数2.05 パーオン率44.8% フェアウェイ率- OB率9.5% バンカー率22.8%,難易度18位/18ホール中 平均スコア3.79 平均パット数2.05 パーオン率44.8% フェアウェイ率- OB率9.5% バンカー率22.8%,難易度10位/18ホール中 平均スコア5.45 平均パット数2.13 パーオン率21.8% フェアウェイ率51.5% OB率35.3% バンカー率1.0%,難易度10位/18ホール中 平均スコア5.45 平均パット数2.13 パーオン率21.8% フェアウェイ率51.5% OB率35.3% バンカー率1.0%,難易度10位/18ホール中 平均スコア5.45 平均パット数2.13 パーオン率21.8% フェアウェイ率51.5% OB率35.3% バンカー率1.0%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：370yd,Hdcp：2,PAR：3,Reg.：152yd,Hdcp：14,PAR：5,Reg.：471yd,Hdcp：8
9,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,右側とグリーン奥が美しい池につつまれたホール,右側とグリーン奥が美しい池につつまれたホール,右側とグリーン奥が美しい池につつまれたホール,池越えで２オンを狙うか、左側のＦＷへの道を選ぶか,池越えで２オンを狙うか、左側のＦＷへの道を選ぶか,池越えで２オンを狙うか、左側のＦＷへの道を選ぶか
10,難易度13位/18ホール中 平均スコア5.34 平均パット数2.1 パーオン率30.3% フェアウェイ率46.0% OB率39.5% バンカー率1.0%,難易度13位/18ホール中 平均スコア5.34 平均パット数2.1 パーオン率30.3% フェアウェイ率46.0% OB率39.5% バンカー率1.0%,難易度13位/18ホール中 平均スコア5.34 平均パット数2.1 パーオン率30.3% フェアウェイ率46.0% OB率39.5% バンカー率1.0%,難易度17位/18ホール中 平均スコア4.01 平均パット数2.15 パーオン率39.0% フェアウェイ率- OB率12.7% バンカー率34.0%,難易度17位/18ホール中 平均スコア4.01 平均パット数2.15 パーオン率39.0% フェアウェイ率- OB率12.7% バンカー率34.0%,難易度17位/18ホール中 平均スコア4.01 平均パット数2.15 パーオン率39.0% フェアウェイ率- OB率12.7% バンカー率34.0%,難易度14位/18ホール中 平均スコア6.22 平均パット数2.09 パーオン率33.5% フェアウェイ率49.5% OB率12.8% バンカー率10.8%,難易度14位/18ホール中 平均スコア6.22 平均パット数2.09 パーオン率33.5% フェアウェイ率49.5% OB率12.8% バンカー率10.8%,難易度14位/18ホール中 平均スコア6.22 平均パット数2.09 パーオン率33.5% フェアウェイ率49.5% OB率12.8% バンカー率10.8%
