,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：498yd,Hdcp：13,PAR：4,Reg.：446yd,Hdcp：1,PAR：3,Reg.：192yd,Hdcp：7
1,第1打はフェアウェイ左サイド狙い,第1打はフェアウェイ左サイド狙い,第1打はフェアウェイ左サイド狙い,打ち下ろしのミドル　第1打はバンカーの左端狙い,打ち下ろしのミドル　第1打はバンカーの左端狙い,打ち下ろしのミドル　第1打はバンカーの左端狙い,左OBと手前のバンカーに要注意。グリーン手前は広くなっている。,左OBと手前のバンカーに要注意。グリーン手前は広くなっている。,左OBと手前のバンカーに要注意。グリーン手前は広くなっている。
2,難易度11位/18ホール中 平均スコア6.39 平均パット数2.04 パーオン率27.8% フェアウェイ率67.0% OB率67.8% バンカー率24.5%,難易度11位/18ホール中 平均スコア6.39 平均パット数2.04 パーオン率27.8% フェアウェイ率67.0% OB率67.8% バンカー率24.5%,難易度11位/18ホール中 平均スコア6.39 平均パット数2.04 パーオン率27.8% フェアウェイ率67.0% OB率67.8% バンカー率24.5%,難易度5位/18ホール中 平均スコア5.41 平均パット数1.96 パーオン率11.7% フェアウェイ率67.3% OB率32.0% バンカー率34.0%,難易度5位/18ホール中 平均スコア5.41 平均パット数1.96 パーオン率11.7% フェアウェイ率67.3% OB率32.0% バンカー率34.0%,難易度5位/18ホール中 平均スコア5.41 平均パット数1.96 パーオン率11.7% フェアウェイ率67.3% OB率32.0% バンカー率34.0%,難易度15位/18ホール中 平均スコア4.11 平均パット数2 パーオン率21.5% フェアウェイ率- OB率53.0% バンカー率24.0%,難易度15位/18ホール中 平均スコア4.11 平均パット数2 パーオン率21.5% フェアウェイ率- OB率53.0% バンカー率24.0%,難易度15位/18ホール中 平均スコア4.11 平均パット数2 パーオン率21.5% フェアウェイ率- OB率53.0% バンカー率24.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：400yd,Hdcp：9,PAR：4,Reg.：350yd,Hdcp：3,PAR：5,Reg.：555yd,Hdcp：5
5,第1打は正面の楠木狙い,第1打は正面の楠木狙い,第1打は正面の楠木狙い,打ち上げのミドルホール,打ち上げのミドルホール,打ち上げのミドルホール,第1打は正面のフラッグ狙い,第1打は正面のフラッグ狙い,第1打は正面のフラッグ狙い
6,難易度16位/18ホール中 平均スコア5.24 平均パット数2.05 パーオン率22.3% フェアウェイ率62.3% OB率39.0% バンカー率15.5%,難易度16位/18ホール中 平均スコア5.24 平均パット数2.05 パーオン率22.3% フェアウェイ率62.3% OB率39.0% バンカー率15.5%,難易度16位/18ホール中 平均スコア5.24 平均パット数2.05 パーオン率22.3% フェアウェイ率62.3% OB率39.0% バンカー率15.5%,難易度1位/18ホール中 平均スコア5.5 平均パット数2.1 パーオン率14.5% フェアウェイ率62.8% OB率72.8% バンカー率19.0%,難易度1位/18ホール中 平均スコア5.5 平均パット数2.1 パーオン率14.5% フェアウェイ率62.8% OB率72.8% バンカー率19.0%,難易度1位/18ホール中 平均スコア5.5 平均パット数2.1 パーオン率14.5% フェアウェイ率62.8% OB率72.8% バンカー率19.0%,難易度14位/18ホール中 平均スコア6.34 平均パット数2.09 パーオン率28.5% フェアウェイ率69.0% OB率38.0% バンカー率20.0%,難易度14位/18ホール中 平均スコア6.34 平均パット数2.09 パーオン率28.5% フェアウェイ率69.0% OB率38.0% バンカー率20.0%,難易度14位/18ホール中 平均スコア6.34 平均パット数2.09 パーオン率28.5% フェアウェイ率69.0% OB率38.0% バンカー率20.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：200yd,Hdcp：11,PAR：4,Reg.：362yd,Hdcp：17,PAR：4,Reg.：328yd,Hdcp：15
9,池越えのショートホール　距離、風を見極めて！,池越えのショートホール　距離、風を見極めて！,池越えのショートホール　距離、風を見極めて！,第1打はフェアウェイ右側狙い　２打目は池越え,第1打はフェアウェイ右側狙い　２打目は池越え,第1打はフェアウェイ右側狙い　２打目は池越え,飛距離よりもコントロール　奥が左（L)グリーン,飛距離よりもコントロール　奥が左（L)グリーン,飛距離よりもコントロール　奥が左（L)グリーン
