,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：387yd,Hdcp：12,PAR：4,Reg.：329yd,Hdcp：14,PAR：3,Reg.：196yd,Hdcp：2
1,緩やかな打ち下ろしのミドルホール,緩やかな打ち下ろしのミドルホール,緩やかな打ち下ろしのミドルホール,フラットで距離の短いミドルホール,フラットで距離の短いミドルホール,フラットで距離の短いミドルホール,池越えの打ち下しの長いショートホール,池越えの打ち下しの長いショートホール,池越えの打ち下しの長いショートホール
2,難易度8位/18ホール中 平均スコア5.43 平均パット数1.97 パーオン率11.8% フェアウェイ率34.8% OB率4.0% バンカー率32.0%,難易度8位/18ホール中 平均スコア5.43 平均パット数1.97 パーオン率11.8% フェアウェイ率34.8% OB率4.0% バンカー率32.0%,難易度8位/18ホール中 平均スコア5.43 平均パット数1.97 パーオン率11.8% フェアウェイ率34.8% OB率4.0% バンカー率32.0%,難易度15位/18ホール中 平均スコア5.12 平均パット数2.06 パーオン率31.3% フェアウェイ率42.0% OB率17.0% バンカー率32.8%,難易度15位/18ホール中 平均スコア5.12 平均パット数2.06 パーオン率31.3% フェアウェイ率42.0% OB率17.0% バンカー率32.8%,難易度15位/18ホール中 平均スコア5.12 平均パット数2.06 パーオン率31.3% フェアウェイ率42.0% OB率17.0% バンカー率32.8%,難易度14位/18ホール中 平均スコア4.15 平均パット数1.91 パーオン率14.3% フェアウェイ率- OB率22.0% バンカー率18.5%,難易度14位/18ホール中 平均スコア4.15 平均パット数1.91 パーオン率14.3% フェアウェイ率- OB率22.0% バンカー率18.5%,難易度14位/18ホール中 平均スコア4.15 平均パット数1.91 パーオン率14.3% フェアウェイ率- OB率22.0% バンカー率18.5%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：399yd,Hdcp：4,PAR：5,Reg.：518yd,Hdcp：8,PAR：4,Reg.：357yd,Hdcp：16
5,長いミドルホール　２打付近から緩い打ち上げ,長いミドルホール　２打付近から緩い打ち上げ,長いミドルホール　２打付近から緩い打ち上げ,緩やかに左へドッグレッグするロングホール,緩やかに左へドッグレッグするロングホール,緩やかに左へドッグレッグするロングホール,グリーン手前１００Ｙ付近から右へ多少ドッグレッグ,グリーン手前１００Ｙ付近から右へ多少ドッグレッグ,グリーン手前１００Ｙ付近から右へ多少ドッグレッグ
6,難易度7位/18ホール中 平均スコア5.41 平均パット数1.92 パーオン率12.5% フェアウェイ率39.8% OB率10.3% バンカー率21.3%,難易度7位/18ホール中 平均スコア5.41 平均パット数1.92 パーオン率12.5% フェアウェイ率39.8% OB率10.3% バンカー率21.3%,難易度7位/18ホール中 平均スコア5.41 平均パット数1.92 パーオン率12.5% フェアウェイ率39.8% OB率10.3% バンカー率21.3%,難易度4位/18ホール中 平均スコア6.43 平均パット数2.01 パーオン率22.8% フェアウェイ率42.8% OB率18.3% バンカー率23.3%,難易度4位/18ホール中 平均スコア6.43 平均パット数2.01 パーオン率22.8% フェアウェイ率42.8% OB率18.3% バンカー率23.3%,難易度4位/18ホール中 平均スコア6.43 平均パット数2.01 パーオン率22.8% フェアウェイ率42.8% OB率18.3% バンカー率23.3%,難易度13位/18ホール中 平均スコア5.19 平均パット数1.92 パーオン率18.0% フェアウェイ率37.8% OB率6.0% バンカー率17.5%,難易度13位/18ホール中 平均スコア5.19 平均パット数1.92 パーオン率18.0% フェアウェイ率37.8% OB率6.0% バンカー率17.5%,難易度13位/18ホール中 平均スコア5.19 平均パット数1.92 パーオン率18.0% フェアウェイ率37.8% OB率6.0% バンカー率17.5%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：3,Reg.：144yd,Hdcp：18,PAR：4,Reg.：427yd,Hdcp：6,PAR：5,Reg.：527yd,Hdcp：10
9,池越えの大胆さが要求される戦略性豊かなショート,池越えの大胆さが要求される戦略性豊かなショート,池越えの大胆さが要求される戦略性豊かなショート,緩やかな右ドッグレッグの長いミドルホール,緩やかな右ドッグレッグの長いミドルホール,緩やかな右ドッグレッグの長いミドルホール,緩やかな右ドッグレッグのロングホール,緩やかな右ドッグレッグのロングホール,緩やかな右ドッグレッグのロングホール
10,難易度17位/18ホール中 平均スコア3.95 平均パット数2.02 パーオン率34.0% フェアウェイ率- OB率7.7% バンカー率24.7%,難易度17位/18ホール中 平均スコア3.95 平均パット数2.02 パーオン率34.0% フェアウェイ率- OB率7.7% バンカー率24.7%,難易度17位/18ホール中 平均スコア3.95 平均パット数2.02 パーオン率34.0% フェアウェイ率- OB率7.7% バンカー率24.7%,難易度2位/18ホール中 平均スコア5.64 平均パット数2.03 パーオン率10.3% フェアウェイ率45.0% OB率36.0% バンカー率15.0%,難易度2位/18ホール中 平均スコア5.64 平均パット数2.03 パーオン率10.3% フェアウェイ率45.0% OB率36.0% バンカー率15.0%,難易度2位/18ホール中 平均スコア5.64 平均パット数2.03 パーオン率10.3% フェアウェイ率45.0% OB率36.0% バンカー率15.0%,難易度3位/18ホール中 平均スコア6.56 平均パット数2 パーオン率18.8% フェアウェイ率42.5% OB率24.5% バンカー率28.3%,難易度3位/18ホール中 平均スコア6.56 平均パット数2 パーオン率18.8% フェアウェイ率42.5% OB率24.5% バンカー率28.3%,難易度3位/18ホール中 平均スコア6.56 平均パット数2 パーオン率18.8% フェアウェイ率42.5% OB率24.5% バンカー率28.3%
