,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：473yd,Hdcp：,PAR：3,Reg.：170yd,Hdcp：,PAR：4,Reg.：375yd,Hdcp：
1,打ち下ろしのロングホール,打ち下ろしのロングホール,打ち下ろしのロングホール,グリーンは受けているので大きめのクラブで,グリーンは受けているので大きめのクラブで,グリーンは受けているので大きめのクラブで,視界がが開け、見通しも良い,視界がが開け、見通しも良い,視界がが開け、見通しも良い
2,難易度8位/27ホール中 平均スコア6.32 平均パット数1.91 パーオン率25.5% フェアウェイ率41.3% OB率5.3% バンカー率31.0%,難易度8位/27ホール中 平均スコア6.32 平均パット数1.91 パーオン率25.5% フェアウェイ率41.3% OB率5.3% バンカー率31.0%,難易度8位/27ホール中 平均スコア6.32 平均パット数1.91 パーオン率25.5% フェアウェイ率41.3% OB率5.3% バンカー率31.0%,難易度16位/27ホール中 平均スコア4.14 平均パット数1.9 パーオン率15.3% フェアウェイ率- OB率5.3% バンカー率42.0%,難易度16位/27ホール中 平均スコア4.14 平均パット数1.9 パーオン率15.3% フェアウェイ率- OB率5.3% バンカー率42.0%,難易度16位/27ホール中 平均スコア4.14 平均パット数1.9 パーオン率15.3% フェアウェイ率- OB率5.3% バンカー率42.0%,難易度2位/27ホール中 平均スコア5.48 平均パット数1.93 パーオン率15.3% フェアウェイ率34.0% OB率13.3% バンカー率41.8%,難易度2位/27ホール中 平均スコア5.48 平均パット数1.93 パーオン率15.3% フェアウェイ率34.0% OB率13.3% バンカー率41.8%,難易度2位/27ホール中 平均スコア5.48 平均パット数1.93 パーオン率15.3% フェアウェイ率34.0% OB率13.3% バンカー率41.8%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：5,Reg.：474yd,Hdcp：,PAR：4,Reg.：372yd,Hdcp：,PAR：4,Reg.：339yd,Hdcp：
5,２打で左右のクロスバンカーに入れないように,２打で左右のクロスバンカーに入れないように,２打で左右のクロスバンカーに入れないように,打ち下ろしのミドルホール,打ち下ろしのミドルホール,打ち下ろしのミドルホール,やや打ち上げのミドルホール,やや打ち上げのミドルホール,やや打ち上げのミドルホール
6,難易度6位/27ホール中 平均スコア6.38 平均パット数1.91 パーオン率21.8% フェアウェイ率48.5% OB率26.8% バンカー率27.0%,難易度6位/27ホール中 平均スコア6.38 平均パット数1.91 パーオン率21.8% フェアウェイ率48.5% OB率26.8% バンカー率27.0%,難易度6位/27ホール中 平均スコア6.38 平均パット数1.91 パーオン率21.8% フェアウェイ率48.5% OB率26.8% バンカー率27.0%,難易度5位/27ホール中 平均スコア5.43 平均パット数1.97 パーオン率13.5% フェアウェイ率38.5% OB率2.7% バンカー率35.8%,難易度5位/27ホール中 平均スコア5.43 平均パット数1.97 パーオン率13.5% フェアウェイ率38.5% OB率2.7% バンカー率35.8%,難易度5位/27ホール中 平均スコア5.43 平均パット数1.97 パーオン率13.5% フェアウェイ率38.5% OB率2.7% バンカー率35.8%,難易度13位/27ホール中 平均スコア5.24 平均パット数1.92 パーオン率22.0% フェアウェイ率48.5% OB率2.5% バンカー率32.0%,難易度13位/27ホール中 平均スコア5.24 平均パット数1.92 パーオン率22.0% フェアウェイ率48.5% OB率2.5% バンカー率32.0%,難易度13位/27ホール中 平均スコア5.24 平均パット数1.92 パーオン率22.0% フェアウェイ率48.5% OB率2.5% バンカー率32.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：373yd,Hdcp：,PAR：4,Reg.：405yd,Hdcp：,PAR：3,Reg.：180yd,Hdcp：
9,少し右にドッグレッグしているがフェアウェイが広い,少し右にドッグレッグしているがフェアウェイが広い,少し右にドッグレッグしているがフェアウェイが広い,２打目は右に注意,２打目は右に注意,２打目は右に注意,距離があるのでクラブの選択が鍵となる,距離があるのでクラブの選択が鍵となる,距離があるのでクラブの選択が鍵となる
10,難易度9位/27ホール中 平均スコア5.38 平均パット数1.89 パーオン率16.3% フェアウェイ率37.5% OB率6.5% バンカー率36.8%,難易度9位/27ホール中 平均スコア5.38 平均パット数1.89 パーオン率16.3% フェアウェイ率37.5% OB率6.5% バンカー率36.8%,難易度9位/27ホール中 平均スコア5.38 平均パット数1.89 パーオン率16.3% フェアウェイ率37.5% OB率6.5% バンカー率36.8%,難易度1位/27ホール中 平均スコア5.7 平均パット数1.98 パーオン率5.8% フェアウェイ率41.5% OB率3.0% バンカー率42.5%,難易度1位/27ホール中 平均スコア5.7 平均パット数1.98 パーオン率5.8% フェアウェイ率41.5% OB率3.0% バンカー率42.5%,難易度1位/27ホール中 平均スコア5.7 平均パット数1.98 パーオン率5.8% フェアウェイ率41.5% OB率3.0% バンカー率42.5%,難易度15位/27ホール中 平均スコア4.2 平均パット数2.01 パーオン率21.3% フェアウェイ率- OB率17.3% バンカー率42.5%,難易度15位/27ホール中 平均スコア4.2 平均パット数2.01 パーオン率21.3% フェアウェイ率- OB率17.3% バンカー率42.5%,難易度15位/27ホール中 平均スコア4.2 平均パット数2.01 パーオン率21.3% フェアウェイ率- OB率17.3% バンカー率42.5%
