,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：394yd,Hdcp：9,PAR：3,Reg.：173yd,Hdcp：15,PAR：4,Reg.：341yd,Hdcp：3
1,第一打を三本檜狙いで打てば残りは１００ｙ前後,第一打を三本檜狙いで打てば残りは１００ｙ前後,第一打を三本檜狙いで打てば残りは１００ｙ前後,打ち下ろしのショートホール,打ち下ろしのショートホール,打ち下ろしのショートホール,ティグラウンドからグリーンまで左サイドＯＢが続く,ティグラウンドからグリーンまで左サイドＯＢが続く,ティグラウンドからグリーンまで左サイドＯＢが続く
2,難易度2位/18ホール中 平均スコア5.66 平均パット数1.92 パーオン率11.3% フェアウェイ率57.3% OB率49.5% バンカー率11.7%,難易度2位/18ホール中 平均スコア5.66 平均パット数1.92 パーオン率11.3% フェアウェイ率57.3% OB率49.5% バンカー率11.7%,難易度2位/18ホール中 平均スコア5.66 平均パット数1.92 パーオン率11.3% フェアウェイ率57.3% OB率49.5% バンカー率11.7%,難易度12位/18ホール中 平均スコア4.26 平均パット数2 パーオン率18.5% フェアウェイ率- OB率28.5% バンカー率25.3%,難易度12位/18ホール中 平均スコア4.26 平均パット数2 パーオン率18.5% フェアウェイ率- OB率28.5% バンカー率25.3%,難易度12位/18ホール中 平均スコア4.26 平均パット数2 パーオン率18.5% フェアウェイ率- OB率28.5% バンカー率25.3%,難易度3位/18ホール中 平均スコア5.63 平均パット数1.98 パーオン率14.5% フェアウェイ率59.5% OB率37.0% バンカー率12.0%,難易度3位/18ホール中 平均スコア5.63 平均パット数1.98 パーオン率14.5% フェアウェイ率59.5% OB率37.0% バンカー率12.0%,難易度3位/18ホール中 平均スコア5.63 平均パット数1.98 パーオン率14.5% フェアウェイ率59.5% OB率37.0% バンカー率12.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：5,Reg.：410yd,Hdcp：1,PAR：4,Reg.：328yd,Hdcp：13,PAR：4,Reg.：357yd,Hdcp：7
5,距離のあるミドルホール,距離のあるミドルホール,距離のあるミドルホール,真っ直ぐなミドルホール　奥がＬ（左）グリーン,真っ直ぐなミドルホール　奥がＬ（左）グリーン,真っ直ぐなミドルホール　奥がＬ（左）グリーン,右ドッグレッグのミドル　奥がＬ（左）グリーン,右ドッグレッグのミドル　奥がＬ（左）グリーン,右ドッグレッグのミドル　奥がＬ（左）グリーン
6,難易度8位/18ホール中 平均スコア6.2 平均パット数1.88 パーオン率26.8% フェアウェイ率59.8% OB率19.5% バンカー率2.0%,難易度8位/18ホール中 平均スコア6.2 平均パット数1.88 パーオン率26.8% フェアウェイ率59.8% OB率19.5% バンカー率2.0%,難易度8位/18ホール中 平均スコア6.2 平均パット数1.88 パーオン率26.8% フェアウェイ率59.8% OB率19.5% バンカー率2.0%,難易度7位/18ホール中 平均スコア5.31 平均パット数1.88 パーオン率20.0% フェアウェイ率54.8% OB率16.8% バンカー率23.5%,難易度7位/18ホール中 平均スコア5.31 平均パット数1.88 パーオン率20.0% フェアウェイ率54.8% OB率16.8% バンカー率23.5%,難易度7位/18ホール中 平均スコア5.31 平均パット数1.88 パーオン率20.0% フェアウェイ率54.8% OB率16.8% バンカー率23.5%,難易度5位/18ホール中 平均スコア5.45 平均パット数1.97 パーオン率18.0% フェアウェイ率60.8% OB率22.0% バンカー率14.8%,難易度5位/18ホール中 平均スコア5.45 平均パット数1.97 パーオン率18.0% フェアウェイ率60.8% OB率22.0% バンカー率14.8%,難易度5位/18ホール中 平均スコア5.45 平均パット数1.97 パーオン率18.0% フェアウェイ率60.8% OB率22.0% バンカー率14.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：165yd,Hdcp：17,PAR：5,Reg.：525yd,Hdcp：5,PAR：4,Reg.：416yd,Hdcp：11
9,打ち上げのショートホール　奥がＬ（左）グリーン,打ち上げのショートホール　奥がＬ（左）グリーン,打ち上げのショートホール　奥がＬ（左）グリーン,距離のあるロングホール　手前がＬ（左）グリーン,距離のあるロングホール　手前がＬ（左）グリーン,距離のあるロングホール　手前がＬ（左）グリーン,１００ヤード以内は左右がＯＢなので注意,１００ヤード以内は左右がＯＢなので注意,１００ヤード以内は左右がＯＢなので注意
