,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：389yd,Hdcp：3,PAR：4,Reg.：343yd,Hdcp：9,PAR：3,Reg.：163yd,Hdcp：6
1,ほぼ真っ直ぐなミドルホール,ほぼ真っ直ぐなミドルホール,ほぼ真っ直ぐなミドルホール,緩やかな右ドッグレッグのミドルホール,緩やかな右ドッグレッグのミドルホール,緩やかな右ドッグレッグのミドルホール,池越えのショートホール,池越えのショートホール,池越えのショートホール
2,難易度6位/9ホール中 平均スコア5.42 平均パット数2.04 パーオン率20.5% フェアウェイ率50.0% OB率44.8% バンカー率14.7%,難易度6位/9ホール中 平均スコア5.42 平均パット数2.04 パーオン率20.5% フェアウェイ率50.0% OB率44.8% バンカー率14.7%,難易度6位/9ホール中 平均スコア5.42 平均パット数2.04 パーオン率20.5% フェアウェイ率50.0% OB率44.8% バンカー率14.7%,難易度5位/9ホール中 平均スコア5.38 平均パット数2.09 パーオン率23.3% フェアウェイ率54.5% OB率21.7% バンカー率42.0%,難易度5位/9ホール中 平均スコア5.38 平均パット数2.09 パーオン率23.3% フェアウェイ率54.5% OB率21.7% バンカー率42.0%,難易度5位/9ホール中 平均スコア5.38 平均パット数2.09 パーオン率23.3% フェアウェイ率54.5% OB率21.7% バンカー率42.0%,難易度9位/9ホール中 平均スコア3.92 平均パット数1.91 パーオン率30.5% フェアウェイ率- OB率19.5% バンカー率29.5%,難易度9位/9ホール中 平均スコア3.92 平均パット数1.91 パーオン率30.5% フェアウェイ率- OB率19.5% バンカー率29.5%,難易度9位/9ホール中 平均スコア3.92 平均パット数1.91 パーオン率30.5% フェアウェイ率- OB率19.5% バンカー率29.5%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：5,Reg.：521yd,Hdcp：7,PAR：4,Reg.：418yd,Hdcp：1,PAR：3,Reg.：159yd,Hdcp：5
5,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,やや右ドッグレッグの長いミドルホール,やや右ドッグレッグの長いミドルホール,やや右ドッグレッグの長いミドルホール,池越えのショートホール,池越えのショートホール,池越えのショートホール
6,難易度3位/9ホール中 平均スコア6.55 平均パット数2 パーオン率22.0% フェアウェイ率49.5% OB率62.5% バンカー率3.7%,難易度3位/9ホール中 平均スコア6.55 平均パット数2 パーオン率22.0% フェアウェイ率49.5% OB率62.5% バンカー率3.7%,難易度3位/9ホール中 平均スコア6.55 平均パット数2 パーオン率22.0% フェアウェイ率49.5% OB率62.5% バンカー率3.7%,難易度1位/9ホール中 平均スコア5.78 平均パット数1.95 パーオン率4.8% フェアウェイ率53.0% OB率48.0% バンカー率22.5%,難易度1位/9ホール中 平均スコア5.78 平均パット数1.95 パーオン率4.8% フェアウェイ率53.0% OB率48.0% バンカー率22.5%,難易度1位/9ホール中 平均スコア5.78 平均パット数1.95 パーオン率4.8% フェアウェイ率53.0% OB率48.0% バンカー率22.5%,難易度8位/9ホール中 平均スコア4.02 平均パット数1.97 パーオン率27.0% フェアウェイ率- OB率22.3% バンカー率32.3%,難易度8位/9ホール中 平均スコア4.02 平均パット数1.97 パーオン率27.0% フェアウェイ率- OB率22.3% バンカー率32.3%,難易度8位/9ホール中 平均スコア4.02 平均パット数1.97 パーオン率27.0% フェアウェイ率- OB率22.3% バンカー率32.3%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：349yd,Hdcp：4,PAR：5,Reg.：545yd,Hdcp：2,PAR：4,Reg.：347yd,Hdcp：8
9,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
10,難易度7位/9ホール中 平均スコア5.22 平均パット数2 パーオン率22.0% フェアウェイ率50.8% OB率16.7% バンカー率3.3%,難易度7位/9ホール中 平均スコア5.22 平均パット数2 パーオン率22.0% フェアウェイ率50.8% OB率16.7% バンカー率3.3%,難易度7位/9ホール中 平均スコア5.22 平均パット数2 パーオン率22.0% フェアウェイ率50.8% OB率16.7% バンカー率3.3%,難易度2位/9ホール中 平均スコア6.52 平均パット数2.1 パーオン率26.5% フェアウェイ率46.8% OB率39.0% バンカー率19.8%,難易度2位/9ホール中 平均スコア6.52 平均パット数2.1 パーオン率26.5% フェアウェイ率46.8% OB率39.0% バンカー率19.8%,難易度2位/9ホール中 平均スコア6.52 平均パット数2.1 パーオン率26.5% フェアウェイ率46.8% OB率39.0% バンカー率19.8%,難易度4位/9ホール中 平均スコア5.36 平均パット数2.08 パーオン率23.0% フェアウェイ率63.8% OB率36.0% バンカー率30.8%,難易度4位/9ホール中 平均スコア5.36 平均パット数2.08 パーオン率23.0% フェアウェイ率63.8% OB率36.0% バンカー率30.8%,難易度4位/9ホール中 平均スコア5.36 平均パット数2.08 パーオン率23.0% フェアウェイ率63.8% OB率36.0% バンカー率30.8%
