,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：374yd,Hdcp：13,PAR：4,Reg.：381yd,Hdcp：7,PAR：5,Reg.：499yd,Hdcp：3
1,スタートにふさわしい打ち下ろし,スタートにふさわしい打ち下ろし,スタートにふさわしい打ち下ろし,一打目はフラット、二打目からやや打ち下ろし,一打目はフラット、二打目からやや打ち下ろし,一打目はフラット、二打目からやや打ち下ろし,右に雷山大溜池の入江を見る,右に雷山大溜池の入江を見る,右に雷山大溜池の入江を見る
2,難易度12位/18ホール中 平均スコア5.24 平均パット数2.04 パーオン率27.5% フェアウェイ率43.3% OB率11.5% バンカー率35.8%,難易度12位/18ホール中 平均スコア5.24 平均パット数2.04 パーオン率27.5% フェアウェイ率43.3% OB率11.5% バンカー率35.8%,難易度12位/18ホール中 平均スコア5.24 平均パット数2.04 パーオン率27.5% フェアウェイ率43.3% OB率11.5% バンカー率35.8%,難易度14位/18ホール中 平均スコア5.12 平均パット数2.01 パーオン率32.0% フェアウェイ率45.5% OB率21.5% バンカー率21.0%,難易度14位/18ホール中 平均スコア5.12 平均パット数2.01 パーオン率32.0% フェアウェイ率45.5% OB率21.5% バンカー率21.0%,難易度14位/18ホール中 平均スコア5.12 平均パット数2.01 パーオン率32.0% フェアウェイ率45.5% OB率21.5% バンカー率21.0%,難易度5位/18ホール中 平均スコア6.51 平均パット数2.02 パーオン率24.3% フェアウェイ率44.5% OB率36.0% バンカー率28.3%,難易度5位/18ホール中 平均スコア6.51 平均パット数2.02 パーオン率24.3% フェアウェイ率44.5% OB率36.0% バンカー率28.3%,難易度5位/18ホール中 平均スコア6.51 平均パット数2.02 パーオン率24.3% フェアウェイ率44.5% OB率36.0% バンカー率28.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：145yd,Hdcp：17,PAR：4,Reg.：372yd,Hdcp：11,PAR：4,Reg.：429yd,Hdcp：1
5,谷超えの正確なショットを要求されるショートホール,谷超えの正確なショットを要求されるショートホール,谷超えの正確なショットを要求されるショートホール,２打目は距離の正確さが必要とされます,２打目は距離の正確さが必要とされます,２打目は距離の正確さが必要とされます,一打目は調整池にそって打ち下ろす長めのミドル,一打目は調整池にそって打ち下ろす長めのミドル,一打目は調整池にそって打ち下ろす長めのミドル
6,難易度18位/18ホール中 平均スコア3.86 平均パット数2.05 パーオン率43.5% フェアウェイ率- OB率28.0% バンカー率22.3%,難易度18位/18ホール中 平均スコア3.86 平均パット数2.05 パーオン率43.5% フェアウェイ率- OB率28.0% バンカー率22.3%,難易度18位/18ホール中 平均スコア3.86 平均パット数2.05 パーオン率43.5% フェアウェイ率- OB率28.0% バンカー率22.3%,難易度13位/18ホール中 平均スコア5.21 平均パット数2.03 パーオン率25.5% フェアウェイ率47.5% OB率16.5% バンカー率25.8%,難易度13位/18ホール中 平均スコア5.21 平均パット数2.03 パーオン率25.5% フェアウェイ率47.5% OB率16.5% バンカー率25.8%,難易度13位/18ホール中 平均スコア5.21 平均パット数2.03 パーオン率25.5% フェアウェイ率47.5% OB率16.5% バンカー率25.8%,難易度1位/18ホール中 平均スコア5.9 平均パット数2.05 パーオン率4.0% フェアウェイ率39.8% OB率34.3% バンカー率2.7%,難易度1位/18ホール中 平均スコア5.9 平均パット数2.05 パーオン率4.0% フェアウェイ率39.8% OB率34.3% バンカー率2.7%,難易度1位/18ホール中 平均スコア5.9 平均パット数2.05 パーオン率4.0% フェアウェイ率39.8% OB率34.3% バンカー率2.7%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：5,Reg.：538yd,Hdcp：5,PAR：3,Reg.：176yd,Hdcp：15,PAR：4,Reg.：342yd,Hdcp：9
9,二打目地点より左にドッグレッグのロングホール,二打目地点より左にドッグレッグのロングホール,二打目地点より左にドッグレッグのロングホール,左に調整池、右に雷山大溜池を見る,左に調整池、右に雷山大溜池を見る,左に調整池、右に雷山大溜池を見る,なだらかな打ち上げのやや左にドッグレッグ,なだらかな打ち上げのやや左にドッグレッグ,なだらかな打ち上げのやや左にドッグレッグ
10,難易度8位/18ホール中 平均スコア6.29 平均パット数2.01 パーオン率28.3% フェアウェイ率45.0% OB率13.3% バンカー率20.7%,難易度8位/18ホール中 平均スコア6.29 平均パット数2.01 パーオン率28.3% フェアウェイ率45.0% OB率13.3% バンカー率20.7%,難易度8位/18ホール中 平均スコア6.29 平均パット数2.01 パーオン率28.3% フェアウェイ率45.0% OB率13.3% バンカー率20.7%,難易度15位/18ホール中 平均スコア4.07 平均パット数2.04 パーオン率27.0% フェアウェイ率- OB率28.5% バンカー率21.0%,難易度15位/18ホール中 平均スコア4.07 平均パット数2.04 パーオン率27.0% フェアウェイ率- OB率28.5% バンカー率21.0%,難易度15位/18ホール中 平均スコア4.07 平均パット数2.04 パーオン率27.0% フェアウェイ率- OB率28.5% バンカー率21.0%,難易度10位/18ホール中 平均スコア5.29 平均パット数2.05 パーオン率24.8% フェアウェイ率37.8% OB率11.8% バンカー率42.5%,難易度10位/18ホール中 平均スコア5.29 平均パット数2.05 パーオン率24.8% フェアウェイ率37.8% OB率11.8% バンカー率42.5%,難易度10位/18ホール中 平均スコア5.29 平均パット数2.05 パーオン率24.8% フェアウェイ率37.8% OB率11.8% バンカー率42.5%
