,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：372yd,Hdcp：10,PAR：4,Reg.：370yd,Hdcp：16,PAR：5,Reg.：479yd,Hdcp：4
1,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール
2,難易度7位/18ホール中 平均スコア5.42 平均パット数2.05 パーオン率20.3% フェアウェイ率39.3% OB率28.8% バンカー率10.5%,難易度7位/18ホール中 平均スコア5.42 平均パット数2.05 パーオン率20.3% フェアウェイ率39.3% OB率28.8% バンカー率10.5%,難易度7位/18ホール中 平均スコア5.42 平均パット数2.05 パーオン率20.3% フェアウェイ率39.3% OB率28.8% バンカー率10.5%,難易度8位/18ホール中 平均スコア5.44 平均パット数2.1 パーオン率18.8% フェアウェイ率61.5% OB率22.8% バンカー率10.7%,難易度8位/18ホール中 平均スコア5.44 平均パット数2.1 パーオン率18.8% フェアウェイ率61.5% OB率22.8% バンカー率10.7%,難易度8位/18ホール中 平均スコア5.44 平均パット数2.1 パーオン率18.8% フェアウェイ率61.5% OB率22.8% バンカー率10.7%,難易度9位/18ホール中 平均スコア6.39 平均パット数2.05 パーオン率26.0% フェアウェイ率51.5% OB率7.3% バンカー率36.5%,難易度9位/18ホール中 平均スコア6.39 平均パット数2.05 パーオン率26.0% フェアウェイ率51.5% OB率7.3% バンカー率36.5%,難易度9位/18ホール中 平均スコア6.39 平均パット数2.05 パーオン率26.0% フェアウェイ率51.5% OB率7.3% バンカー率36.5%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：3,Reg.：177yd,Hdcp：8,PAR：4,Reg.：416yd,Hdcp：2,PAR：4,Reg.：356yd,Hdcp：14
5,長いショートホール,長いショートホール,長いショートホール,長いミドルホール,長いミドルホール,長いミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
6,難易度16位/18ホール中 平均スコア3.94 平均パット数2.05 パーオン率38.0% フェアウェイ率- OB率4.5% バンカー率3.0%,難易度16位/18ホール中 平均スコア3.94 平均パット数2.05 パーオン率38.0% フェアウェイ率- OB率4.5% バンカー率3.0%,難易度16位/18ホール中 平均スコア3.94 平均パット数2.05 パーオン率38.0% フェアウェイ率- OB率4.5% バンカー率3.0%,難易度3位/18ホール中 平均スコア5.55 平均パット数2.01 パーオン率8.8% フェアウェイ率57.3% OB率6.8% バンカー率4.7%,難易度3位/18ホール中 平均スコア5.55 平均パット数2.01 パーオン率8.8% フェアウェイ率57.3% OB率6.8% バンカー率4.7%,難易度3位/18ホール中 平均スコア5.55 平均パット数2.01 パーオン率8.8% フェアウェイ率57.3% OB率6.8% バンカー率4.7%,難易度12位/18ホール中 平均スコア5.3 平均パット数2 パーオン率21.0% フェアウェイ率62.0% OB率2.0% バンカー率19.3%,難易度12位/18ホール中 平均スコア5.3 平均パット数2 パーオン率21.0% フェアウェイ率62.0% OB率2.0% バンカー率19.3%,難易度12位/18ホール中 平均スコア5.3 平均パット数2 パーオン率21.0% フェアウェイ率62.0% OB率2.0% バンカー率19.3%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：3,Reg.：165yd,Hdcp：18,PAR：4,Reg.：366yd,Hdcp：12,PAR：5,Reg.：524yd,Hdcp：6
9,長いショートホール,長いショートホール,長いショートホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール
10,難易度17位/18ホール中 平均スコア3.84 平均パット数2.05 パーオン率39.0% フェアウェイ率- OB率2.5% バンカー率4.3%,難易度17位/18ホール中 平均スコア3.84 平均パット数2.05 パーオン率39.0% フェアウェイ率- OB率2.5% バンカー率4.3%,難易度17位/18ホール中 平均スコア3.84 平均パット数2.05 パーオン率39.0% フェアウェイ率- OB率2.5% バンカー率4.3%,難易度1位/18ホール中 平均スコア5.57 平均パット数2.1 パーオン率11.5% フェアウェイ率55.0% OB率11.3% バンカー率11.5%,難易度1位/18ホール中 平均スコア5.57 平均パット数2.1 パーオン率11.5% フェアウェイ率55.0% OB率11.3% バンカー率11.5%,難易度1位/18ホール中 平均スコア5.57 平均パット数2.1 パーオン率11.5% フェアウェイ率55.0% OB率11.3% バンカー率11.5%,難易度2位/18ホール中 平均スコア6.58 平均パット数2.11 パーオン率22.3% フェアウェイ率59.3% OB率11.0% バンカー率16.3%,難易度2位/18ホール中 平均スコア6.58 平均パット数2.11 パーオン率22.3% フェアウェイ率59.3% OB率11.0% バンカー率16.3%,難易度2位/18ホール中 平均スコア6.58 平均パット数2.11 パーオン率22.3% フェアウェイ率59.3% OB率11.0% バンカー率16.3%
