,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：376yd,Hdcp：9,PAR：4,Reg.：295yd,Hdcp：15,PAR：3,Reg.：172yd,Hdcp：13
1,真っ直ぐなミドルホール　奥がＬ（左）グリーン,真っ直ぐなミドルホール　奥がＬ（左）グリーン,真っ直ぐなミドルホール　奥がＬ（左）グリーン,短いミドルホール　ティショットやや右狙い,短いミドルホール　ティショットやや右狙い,短いミドルホール　ティショットやや右狙い,池越えのショートホール,池越えのショートホール,池越えのショートホール
2,難易度8位/18ホール中 平均スコア5.32 平均パット数1.87 パーオン率15.5% フェアウェイ率39.8% OB率9.0% バンカー率15.8%,難易度8位/18ホール中 平均スコア5.32 平均パット数1.87 パーオン率15.5% フェアウェイ率39.8% OB率9.0% バンカー率15.8%,難易度8位/18ホール中 平均スコア5.32 平均パット数1.87 パーオン率15.5% フェアウェイ率39.8% OB率9.0% バンカー率15.8%,難易度14位/18ホール中 平均スコア5.04 平均パット数1.93 パーオン率26.3% フェアウェイ率57.0% OB率11.7% バンカー率21.3%,難易度14位/18ホール中 平均スコア5.04 平均パット数1.93 パーオン率26.3% フェアウェイ率57.0% OB率11.7% バンカー率21.3%,難易度14位/18ホール中 平均スコア5.04 平均パット数1.93 パーオン率26.3% フェアウェイ率57.0% OB率11.7% バンカー率21.3%,難易度13位/18ホール中 平均スコア4.11 平均パット数1.84 パーオン率12.5% フェアウェイ率- OB率29.0% バンカー率1.0%,難易度13位/18ホール中 平均スコア4.11 平均パット数1.84 パーオン率12.5% フェアウェイ率- OB率29.0% バンカー率1.0%,難易度13位/18ホール中 平均スコア4.11 平均パット数1.84 パーオン率12.5% フェアウェイ率- OB率29.0% バンカー率1.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：381yd,Hdcp：7,PAR：5,Reg.：543yd,Hdcp：5,PAR：4,Reg.：346yd,Hdcp：3
5,真っ直ぐなミドルホール　左右ＯＢ,真っ直ぐなミドルホール　左右ＯＢ,真っ直ぐなミドルホール　左右ＯＢ,真っ直ぐなロングホール　右側ＯＢに注意,真っ直ぐなロングホール　右側ＯＢに注意,真っ直ぐなロングホール　右側ＯＢに注意,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール
6,難易度11位/18ホール中 平均スコア5.2 平均パット数1.92 パーオン率24.0% フェアウェイ率48.3% OB率28.3% バンカー率21.5%,難易度11位/18ホール中 平均スコア5.2 平均パット数1.92 パーオン率24.0% フェアウェイ率48.3% OB率28.3% バンカー率21.5%,難易度11位/18ホール中 平均スコア5.2 平均パット数1.92 パーオン率24.0% フェアウェイ率48.3% OB率28.3% バンカー率21.5%,難易度10位/18ホール中 平均スコア6.26 平均パット数1.9 パーオン率27.0% フェアウェイ率38.5% OB率38.8% バンカー率11.0%,難易度10位/18ホール中 平均スコア6.26 平均パット数1.9 パーオン率27.0% フェアウェイ率38.5% OB率38.8% バンカー率11.0%,難易度10位/18ホール中 平均スコア6.26 平均パット数1.9 パーオン率27.0% フェアウェイ率38.5% OB率38.8% バンカー率11.0%,難易度3位/18ホール中 平均スコア5.52 平均パット数2.07 パーオン率12.8% フェアウェイ率51.0% OB率9.0% バンカー率14.7%,難易度3位/18ホール中 平均スコア5.52 平均パット数2.07 パーオン率12.8% フェアウェイ率51.0% OB率9.0% バンカー率14.7%,難易度3位/18ホール中 平均スコア5.52 平均パット数2.07 パーオン率12.8% フェアウェイ率51.0% OB率9.0% バンカー率14.7%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：119yd,Hdcp：17,PAR：5,Reg.：665yd,Hdcp：1,PAR：4,Reg.：311yd,Hdcp：11
9,打ち上げのショートホール,打ち上げのショートホール,打ち上げのショートホール,距離の長い名物ロングホール,距離の長い名物ロングホール,距離の長い名物ロングホール,短いミドルホール,短いミドルホール,短いミドルホール
10,難易度17位/18ホール中 平均スコア3.85 平均パット数1.91 パーオン率30.0% フェアウェイ率- OB率1.5% バンカー率23.8%,難易度17位/18ホール中 平均スコア3.85 平均パット数1.91 パーオン率30.0% フェアウェイ率- OB率1.5% バンカー率23.8%,難易度17位/18ホール中 平均スコア3.85 平均パット数1.91 パーオン率30.0% フェアウェイ率- OB率1.5% バンカー率23.8%,難易度1位/18ホール中 平均スコア6.96 平均パット数1.9 パーオン率5.0% フェアウェイ率36.3% OB率37.5% バンカー率9.3%,難易度1位/18ホール中 平均スコア6.96 平均パット数1.9 パーオン率5.0% フェアウェイ率36.3% OB率37.5% バンカー率9.3%,難易度1位/18ホール中 平均スコア6.96 平均パット数1.9 パーオン率5.0% フェアウェイ率36.3% OB率37.5% バンカー率9.3%,難易度9位/18ホール中 平均スコア5.28 平均パット数1.84 パーオン率17.8% フェアウェイ率50.5% OB率24.7% バンカー率15.3%,難易度9位/18ホール中 平均スコア5.28 平均パット数1.84 パーオン率17.8% フェアウェイ率50.5% OB率24.7% バンカー率15.3%,難易度9位/18ホール中 平均スコア5.28 平均パット数1.84 パーオン率17.8% フェアウェイ率50.5% OB率24.7% バンカー率15.3%
