,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：501yd,Hdcp：,PAR：4,Reg.：391yd,Hdcp：,PAR：3,Reg.：148yd,Hdcp：
1,パーの取りやすい、距離の短いロングホール,パーの取りやすい、距離の短いロングホール,パーの取りやすい、距離の短いロングホール,距離が長く、右ドッグレッグしているミドルホール,距離が長く、右ドッグレッグしているミドルホール,距離が長く、右ドッグレッグしているミドルホール,池越えのショートホール,池越えのショートホール,池越えのショートホール
2,難易度12位/18ホール中 平均スコア6.17 平均パット数1.94 パーオン率27.8% フェアウェイ率66.0% OB率7.0% バンカー率29.5%,難易度12位/18ホール中 平均スコア6.17 平均パット数1.94 パーオン率27.8% フェアウェイ率66.0% OB率7.0% バンカー率29.5%,難易度12位/18ホール中 平均スコア6.17 平均パット数1.94 パーオン率27.8% フェアウェイ率66.0% OB率7.0% バンカー率29.5%,難易度3位/18ホール中 平均スコア5.68 平均パット数2.02 パーオン率7.0% フェアウェイ率62.0% OB率2.0% バンカー率4.3%,難易度3位/18ホール中 平均スコア5.68 平均パット数2.02 パーオン率7.0% フェアウェイ率62.0% OB率2.0% バンカー率4.3%,難易度3位/18ホール中 平均スコア5.68 平均パット数2.02 パーオン率7.0% フェアウェイ率62.0% OB率2.0% バンカー率4.3%,難易度18位/18ホール中 平均スコア3.86 平均パット数2.02 パーオン率37.3% フェアウェイ率- OB率3.5% バンカー率35.8%,難易度18位/18ホール中 平均スコア3.86 平均パット数2.02 パーオン率37.3% フェアウェイ率- OB率3.5% バンカー率35.8%,難易度18位/18ホール中 平均スコア3.86 平均パット数2.02 パーオン率37.3% フェアウェイ率- OB率3.5% バンカー率35.8%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：383yd,Hdcp：,PAR：4,Reg.：301yd,Hdcp：,PAR：3,Reg.：146yd,Hdcp：
5,思い切りティーショットが打てるミドルホール,思い切りティーショットが打てるミドルホール,思い切りティーショットが打てるミドルホール,ティーショットの落とし場所が狭くなっている,ティーショットの落とし場所が狭くなっている,ティーショットの落とし場所が狭くなっている,グリーン左サイドにＯＢの池があるショートホール,グリーン左サイドにＯＢの池があるショートホール,グリーン左サイドにＯＢの池があるショートホール
6,難易度9位/18ホール中 平均スコア5.26 平均パット数1.97 パーオン率16.3% フェアウェイ率68.0% OB率4.0% バンカー率30.8%,難易度9位/18ホール中 平均スコア5.26 平均パット数1.97 パーオン率16.3% フェアウェイ率68.0% OB率4.0% バンカー率30.8%,難易度9位/18ホール中 平均スコア5.26 平均パット数1.97 パーオン率16.3% フェアウェイ率68.0% OB率4.0% バンカー率30.8%,難易度13位/18ホール中 平均スコア5.16 平均パット数1.94 パーオン率23.3% フェアウェイ率56.5% OB率4.0% バンカー率48.8%,難易度13位/18ホール中 平均スコア5.16 平均パット数1.94 パーオン率23.3% フェアウェイ率56.5% OB率4.0% バンカー率48.8%,難易度13位/18ホール中 平均スコア5.16 平均パット数1.94 パーオン率23.3% フェアウェイ率56.5% OB率4.0% バンカー率48.8%,難易度17位/18ホール中 平均スコア3.99 平均パット数2.04 パーオン率32.5% フェアウェイ率- OB率3.0% バンカー率42.5%,難易度17位/18ホール中 平均スコア3.99 平均パット数2.04 パーオン率32.5% フェアウェイ率- OB率3.0% バンカー率42.5%,難易度17位/18ホール中 平均スコア3.99 平均パット数2.04 パーオン率32.5% フェアウェイ率- OB率3.0% バンカー率42.5%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：333yd,Hdcp：,PAR：4,Reg.：406yd,Hdcp：,PAR：5,Reg.：514yd,Hdcp：
9,ティーショットは正面フェアウェイバンカーの右端を,ティーショットは正面フェアウェイバンカーの右端を,ティーショットは正面フェアウェイバンカーの右端を,第一打は思い切って打ち、２段フェアウェイ上段へ,第一打は思い切って打ち、２段フェアウェイ上段へ,第一打は思い切って打ち、２段フェアウェイ上段へ,もっとも距離のあるロングホール,もっとも距離のあるロングホール,もっとも距離のあるロングホール
10,難易度10位/18ホール中 平均スコア5.24 平均パット数1.92 パーオン率17.0% フェアウェイ率59.0% OB率10.3% バンカー率47.5%,難易度10位/18ホール中 平均スコア5.24 平均パット数1.92 パーオン率17.0% フェアウェイ率59.0% OB率10.3% バンカー率47.5%,難易度10位/18ホール中 平均スコア5.24 平均パット数1.92 パーオン率17.0% フェアウェイ率59.0% OB率10.3% バンカー率47.5%,難易度6位/18ホール中 平均スコア5.5 平均パット数1.96 パーオン率7.3% フェアウェイ率65.5% OB率8.5% バンカー率36.3%,難易度6位/18ホール中 平均スコア5.5 平均パット数1.96 パーオン率7.3% フェアウェイ率65.5% OB率8.5% バンカー率36.3%,難易度6位/18ホール中 平均スコア5.5 平均パット数1.96 パーオン率7.3% フェアウェイ率65.5% OB率8.5% バンカー率36.3%,難易度1位/18ホール中 平均スコア6.75 平均パット数2 パーオン率12.0% フェアウェイ率59.5% OB率26.0% バンカー率32.3%,難易度1位/18ホール中 平均スコア6.75 平均パット数2 パーオン率12.0% フェアウェイ率59.5% OB率26.0% バンカー率32.3%,難易度1位/18ホール中 平均スコア6.75 平均パット数2 パーオン率12.0% フェアウェイ率59.5% OB率26.0% バンカー率32.3%
