,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：327yd,Hdcp：9,PAR：4,Reg.：315yd,Hdcp：6,PAR：3,Reg.：155yd,Hdcp：3
1,短いミドルホール　一打目、左バンカーに注意,短いミドルホール　一打目、左バンカーに注意,短いミドルホール　一打目、左バンカーに注意,左ＯＢ右１ペナあり、自信のクラブでフェアウェイに,左ＯＢ右１ペナあり、自信のクラブでフェアウェイに,左ＯＢ右１ペナあり、自信のクラブでフェアウェイに,池越えのショートホール,池越えのショートホール,池越えのショートホール
2,難易度8位/9ホール中 平均スコア5.07 平均パット数2.06 パーオン率28.8% フェアウェイ率36.3% OB率- バンカー率45.3%,難易度8位/9ホール中 平均スコア5.07 平均パット数2.06 パーオン率28.8% フェアウェイ率36.3% OB率- バンカー率45.3%,難易度8位/9ホール中 平均スコア5.07 平均パット数2.06 パーオン率28.8% フェアウェイ率36.3% OB率- バンカー率45.3%,難易度5位/9ホール中 平均スコア5.21 平均パット数1.87 パーオン率31.3% フェアウェイ率53.5% OB率33.3% バンカー率35.0%,難易度5位/9ホール中 平均スコア5.21 平均パット数1.87 パーオン率31.3% フェアウェイ率53.5% OB率33.3% バンカー率35.0%,難易度5位/9ホール中 平均スコア5.21 平均パット数1.87 パーオン率31.3% フェアウェイ率53.5% OB率33.3% バンカー率35.0%,難易度6位/9ホール中 平均スコア4.17 平均パット数2.07 パーオン率38.7% フェアウェイ率- OB率46.3% バンカー率19.5%,難易度6位/9ホール中 平均スコア4.17 平均パット数2.07 パーオン率38.7% フェアウェイ率- OB率46.3% バンカー率19.5%,難易度6位/9ホール中 平均スコア4.17 平均パット数2.07 パーオン率38.7% フェアウェイ率- OB率46.3% バンカー率19.5%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：5,Reg.：473yd,Hdcp：7,PAR：4,Reg.：374yd,Hdcp：1,PAR：4,Reg.：409yd,Hdcp：5
5,一打目、左からの風に注意　バンカーを避け右目に,一打目、左からの風に注意　バンカーを避け右目に,一打目、左からの風に注意　バンカーを避け右目に,右サイドＯＢに注意して左前方松を目標に,右サイドＯＢに注意して左前方松を目標に,右サイドＯＢに注意して左前方松を目標に,左右ＯＢ、左よりの風に注意して前方松の左に,左右ＯＢ、左よりの風に注意して前方松の左に,左右ＯＢ、左よりの風に注意して前方松の左に
6,難易度9位/9ホール中 平均スコア5.96 平均パット数1.95 パーオン率41.0% フェアウェイ率54.5% OB率40.0% バンカー率40.0%,難易度9位/9ホール中 平均スコア5.96 平均パット数1.95 パーオン率41.0% フェアウェイ率54.5% OB率40.0% バンカー率40.0%,難易度9位/9ホール中 平均スコア5.96 平均パット数1.95 パーオン率41.0% フェアウェイ率54.5% OB率40.0% バンカー率40.0%,難易度4位/9ホール中 平均スコア5.31 平均パット数1.94 パーオン率17.7% フェアウェイ率31.5% OB率42.3% バンカー率62.0%,難易度4位/9ホール中 平均スコア5.31 平均パット数1.94 パーオン率17.7% フェアウェイ率31.5% OB率42.3% バンカー率62.0%,難易度4位/9ホール中 平均スコア5.31 平均パット数1.94 パーオン率17.7% フェアウェイ率31.5% OB率42.3% バンカー率62.0%,難易度3位/9ホール中 平均スコア5.48 平均パット数1.98 パーオン率19.3% フェアウェイ率60.5% OB率36.3% バンカー率22.0%,難易度3位/9ホール中 平均スコア5.48 平均パット数1.98 パーオン率19.3% フェアウェイ率60.5% OB率36.3% バンカー率22.0%,難易度3位/9ホール中 平均スコア5.48 平均パット数1.98 パーオン率19.3% フェアウェイ率60.5% OB率36.3% バンカー率22.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：399yd,Hdcp：2,PAR：5,Reg.：518yd,Hdcp：4,PAR：3,Reg.：169yd,Hdcp：8
9,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグの難しいロングホール,右ドッグレッグの難しいロングホール,右ドッグレッグの難しいロングホール,打ち下ろしのショートホール,打ち下ろしのショートホール,打ち下ろしのショートホール
10,難易度2位/9ホール中 平均スコア5.84 平均パット数2.06 パーオン率6.0% フェアウェイ率53.0% OB率38.3% バンカー率23.0%,難易度2位/9ホール中 平均スコア5.84 平均パット数2.06 パーオン率6.0% フェアウェイ率53.0% OB率38.3% バンカー率23.0%,難易度2位/9ホール中 平均スコア5.84 平均パット数2.06 パーオン率6.0% フェアウェイ率53.0% OB率38.3% バンカー率23.0%,難易度1位/9ホール中 平均スコア6.85 平均パット数2.02 パーオン率16.0% フェアウェイ率50.0% OB率47.3% バンカー率25.5%,難易度1位/9ホール中 平均スコア6.85 平均パット数2.02 パーオン率16.0% フェアウェイ率50.0% OB率47.3% バンカー率25.5%,難易度1位/9ホール中 平均スコア6.85 平均パット数2.02 パーオン率16.0% フェアウェイ率50.0% OB率47.3% バンカー率25.5%,難易度7位/9ホール中 平均スコア4.24 平均パット数2.01 パーオン率20.0% フェアウェイ率- OB率26.5% バンカー率35.0%,難易度7位/9ホール中 平均スコア4.24 平均パット数2.01 パーオン率20.0% フェアウェイ率- OB率26.5% バンカー率35.0%,難易度7位/9ホール中 平均スコア4.24 平均パット数2.01 パーオン率20.0% フェアウェイ率- OB率26.5% バンカー率35.0%
