,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：520yd,Hdcp：14,PAR：3,Reg.：157yd,Hdcp：12,PAR：4,Reg.：262yd,Hdcp：18
1,左ドッグレッグでセカンドから打ち下ろしのロング,左ドッグレッグでセカンドから打ち下ろしのロング,左ドッグレッグでセカンドから打ち下ろしのロング,やや打ち下ろしのショートホール,やや打ち下ろしのショートホール,やや打ち下ろしのショートホール,短いミドルホール,短いミドルホール,短いミドルホール
2,難易度2位/18ホール中 平均スコア6.59 平均パット数2.06 パーオン率25.3% フェアウェイ率44.8% OB率41.5% バンカー率24.8%,難易度2位/18ホール中 平均スコア6.59 平均パット数2.06 パーオン率25.3% フェアウェイ率44.8% OB率41.5% バンカー率24.8%,難易度2位/18ホール中 平均スコア6.59 平均パット数2.06 パーオン率25.3% フェアウェイ率44.8% OB率41.5% バンカー率24.8%,難易度17位/18ホール中 平均スコア3.93 平均パット数1.99 パーオン率28.3% フェアウェイ率- OB率12.3% バンカー率13.0%,難易度17位/18ホール中 平均スコア3.93 平均パット数1.99 パーオン率28.3% フェアウェイ率- OB率12.3% バンカー率13.0%,難易度17位/18ホール中 平均スコア3.93 平均パット数1.99 パーオン率28.3% フェアウェイ率- OB率12.3% バンカー率13.0%,難易度14位/18ホール中 平均スコア5 平均パット数1.93 パーオン率29.0% フェアウェイ率51.0% OB率16.7% バンカー率31.0%,難易度14位/18ホール中 平均スコア5 平均パット数1.93 パーオン率29.0% フェアウェイ率51.0% OB率16.7% バンカー率31.0%,難易度14位/18ホール中 平均スコア5 平均パット数1.93 パーオン率29.0% フェアウェイ率51.0% OB率16.7% バンカー率31.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：180yd,Hdcp：6,PAR：4,Reg.：377yd,Hdcp：10,PAR：4,Reg.：360yd,Hdcp：2
5,２段グリーンのショートホール,２段グリーンのショートホール,２段グリーンのショートホール,やや右ドッグレッグの池のあるミドルホール,やや右ドッグレッグの池のあるミドルホール,やや右ドッグレッグの池のあるミドルホール,打ち上げで右サイドがＯＢのミドルホール,打ち上げで右サイドがＯＢのミドルホール,打ち上げで右サイドがＯＢのミドルホール
6,難易度16位/18ホール中 平均スコア3.95 平均パット数1.94 パーオン率25.8% フェアウェイ率- OB率7.0% バンカー率3.0%,難易度16位/18ホール中 平均スコア3.95 平均パット数1.94 パーオン率25.8% フェアウェイ率- OB率7.0% バンカー率3.0%,難易度16位/18ホール中 平均スコア3.95 平均パット数1.94 パーオン率25.8% フェアウェイ率- OB率7.0% バンカー率3.0%,難易度11位/18ホール中 平均スコア5.28 平均パット数1.99 パーオン率23.5% フェアウェイ率54.5% OB率25.5% バンカー率12.8%,難易度11位/18ホール中 平均スコア5.28 平均パット数1.99 パーオン率23.5% フェアウェイ率54.5% OB率25.5% バンカー率12.8%,難易度11位/18ホール中 平均スコア5.28 平均パット数1.99 パーオン率23.5% フェアウェイ率54.5% OB率25.5% バンカー率12.8%,難易度6位/18ホール中 平均スコア5.55 平均パット数2.11 パーオン率12.5% フェアウェイ率50.3% OB率23.0% バンカー率13.7%,難易度6位/18ホール中 平均スコア5.55 平均パット数2.11 パーオン率12.5% フェアウェイ率50.3% OB率23.0% バンカー率13.7%,難易度6位/18ホール中 平均スコア5.55 平均パット数2.11 パーオン率12.5% フェアウェイ率50.3% OB率23.0% バンカー率13.7%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：320yd,Hdcp：4,PAR：4,Reg.：367yd,Hdcp：16,PAR：5,Reg.：555yd,Hdcp：8
9,ティインググラウンドから太平洋が見えるミドル,ティインググラウンドから太平洋が見えるミドル,ティインググラウンドから太平洋が見えるミドル,打ち下ろしのミドルホール,打ち下ろしのミドルホール,打ち下ろしのミドルホール,打ち下ろしのロングホール,打ち下ろしのロングホール,打ち下ろしのロングホール
10,難易度7位/18ホール中 平均スコア5.37 平均パット数2.05 パーオン率16.3% フェアウェイ率47.8% OB率19.8% バンカー率9.5%,難易度7位/18ホール中 平均スコア5.37 平均パット数2.05 パーオン率16.3% フェアウェイ率47.8% OB率19.8% バンカー率9.5%,難易度7位/18ホール中 平均スコア5.37 平均パット数2.05 パーオン率16.3% フェアウェイ率47.8% OB率19.8% バンカー率9.5%,難易度13位/18ホール中 平均スコア5.12 平均パット数2.06 パーオン率31.0% フェアウェイ率44.3% OB率14.8% バンカー率29.0%,難易度13位/18ホール中 平均スコア5.12 平均パット数2.06 パーオン率31.0% フェアウェイ率44.3% OB率14.8% バンカー率29.0%,難易度13位/18ホール中 平均スコア5.12 平均パット数2.06 パーオン率31.0% フェアウェイ率44.3% OB率14.8% バンカー率29.0%,難易度3位/18ホール中 平均スコア6.59 平均パット数2.04 パーオン率20.0% フェアウェイ率52.3% OB率41.3% バンカー率18.0%,難易度3位/18ホール中 平均スコア6.59 平均パット数2.04 パーオン率20.0% フェアウェイ率52.3% OB率41.3% バンカー率18.0%,難易度3位/18ホール中 平均スコア6.59 平均パット数2.04 パーオン率20.0% フェアウェイ率52.3% OB率41.3% バンカー率18.0%
