,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：380yd,Hdcp：12,PAR：4,Reg.：419yd,Hdcp：4,PAR：3,Reg.：151yd,Hdcp：16
1,まっすぐなミドルホール,まっすぐなミドルホール,まっすぐなミドルホール,長くてタフなミドルホール,長くてタフなミドルホール,長くてタフなミドルホール,短い池越えのショートホール,短い池越えのショートホール,短い池越えのショートホール
2,難易度8位/18ホール中 平均スコア5.4 平均パット数2.01 パーオン率19.5% フェアウェイ率50.8% OB率5.8% バンカー率30.0%,難易度8位/18ホール中 平均スコア5.4 平均パット数2.01 パーオン率19.5% フェアウェイ率50.8% OB率5.8% バンカー率30.0%,難易度8位/18ホール中 平均スコア5.4 平均パット数2.01 パーオン率19.5% フェアウェイ率50.8% OB率5.8% バンカー率30.0%,難易度3位/18ホール中 平均スコア5.49 平均パット数2.05 パーオン率16.8% フェアウェイ率46.8% OB率16.8% バンカー率37.3%,難易度3位/18ホール中 平均スコア5.49 平均パット数2.05 パーオン率16.8% フェアウェイ率46.8% OB率16.8% バンカー率37.3%,難易度3位/18ホール中 平均スコア5.49 平均パット数2.05 パーオン率16.8% フェアウェイ率46.8% OB率16.8% バンカー率37.3%,難易度17位/18ホール中 平均スコア3.78 平均パット数2 パーオン率43.8% フェアウェイ率- OB率14.0% バンカー率1.7%,難易度17位/18ホール中 平均スコア3.78 平均パット数2 パーオン率43.8% フェアウェイ率- OB率14.0% バンカー率1.7%,難易度17位/18ホール中 平均スコア3.78 平均パット数2 パーオン率43.8% フェアウェイ率- OB率14.0% バンカー率1.7%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：5,Reg.：510yd,Hdcp：14,PAR：4,Reg.：418yd,Hdcp：2,PAR：4,Reg.：299yd,Hdcp：10
5,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグの長いミドルホール,左ドッグレッグの長いミドルホール,左ドッグレッグの長いミドルホール,短いミドルホール,短いミドルホール,短いミドルホール
6,難易度4位/18ホール中 平均スコア6.47 平均パット数2.02 パーオン率24.0% フェアウェイ率56.0% OB率33.8% バンカー率20.0%,難易度4位/18ホール中 平均スコア6.47 平均パット数2.02 パーオン率24.0% フェアウェイ率56.0% OB率33.8% バンカー率20.0%,難易度4位/18ホール中 平均スコア6.47 平均パット数2.02 パーオン率24.0% フェアウェイ率56.0% OB率33.8% バンカー率20.0%,難易度1位/18ホール中 平均スコア5.56 平均パット数1.96 パーオン率12.0% フェアウェイ率49.0% OB率37.3% バンカー率14.8%,難易度1位/18ホール中 平均スコア5.56 平均パット数1.96 パーオン率12.0% フェアウェイ率49.0% OB率37.3% バンカー率14.8%,難易度1位/18ホール中 平均スコア5.56 平均パット数1.96 パーオン率12.0% フェアウェイ率49.0% OB率37.3% バンカー率14.8%,難易度13位/18ホール中 平均スコア5.24 平均パット数1.96 パーオン率27.0% フェアウェイ率55.3% OB率20.3% バンカー率13.8%,難易度13位/18ホール中 平均スコア5.24 平均パット数1.96 パーオン率27.0% フェアウェイ率55.3% OB率20.3% バンカー率13.8%,難易度13位/18ホール中 平均スコア5.24 平均パット数1.96 パーオン率27.0% フェアウェイ率55.3% OB率20.3% バンカー率13.8%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：5,Reg.：506yd,Hdcp：8,PAR：3,Reg.：140yd,Hdcp：18,PAR：4,Reg.：440yd,Hdcp：6
9,タフなロングホール,タフなロングホール,タフなロングホール,風に注意したいショートホール,風に注意したいショートホール,風に注意したいショートホール,長いミドルホール,長いミドルホール,長いミドルホール
10,難易度2位/18ホール中 平均スコア6.51 平均パット数2.01 パーオン率23.8% フェアウェイ率45.5% OB率32.3% バンカー率18.3%,難易度2位/18ホール中 平均スコア6.51 平均パット数2.01 パーオン率23.8% フェアウェイ率45.5% OB率32.3% バンカー率18.3%,難易度2位/18ホール中 平均スコア6.51 平均パット数2.01 パーオン率23.8% フェアウェイ率45.5% OB率32.3% バンカー率18.3%,難易度18位/18ホール中 平均スコア3.79 平均パット数1.88 パーオン率31.8% フェアウェイ率- OB率8.0% バンカー率15.5%,難易度18位/18ホール中 平均スコア3.79 平均パット数1.88 パーオン率31.8% フェアウェイ率- OB率8.0% バンカー率15.5%,難易度18位/18ホール中 平均スコア3.79 平均パット数1.88 パーオン率31.8% フェアウェイ率- OB率8.0% バンカー率15.5%,難易度5位/18ホール中 平均スコア5.5 平均パット数1.99 パーオン率16.5% フェアウェイ率45.3% OB率5.3% バンカー率26.5%,難易度5位/18ホール中 平均スコア5.5 平均パット数1.99 パーオン率16.5% フェアウェイ率45.3% OB率5.3% バンカー率26.5%,難易度5位/18ホール中 平均スコア5.5 平均パット数1.99 パーオン率16.5% フェアウェイ率45.3% OB率5.3% バンカー率26.5%
