,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：5,Reg.：452yd,Hdcp：8,PAR：3,Reg.：160yd,Hdcp：12,PAR：4,Reg.：328yd,Hdcp：16
1,ロングホール,ロングホール,ロングホール,谷越えのショートホール,谷越えのショートホール,谷越えのショートホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
2,難易度1位/18ホール中 平均スコア6.67 平均パット数1.98 パーオン率17.0% フェアウェイ率56.0% OB率38.8% バンカー率15.8%,難易度1位/18ホール中 平均スコア6.67 平均パット数1.98 パーオン率17.0% フェアウェイ率56.0% OB率38.8% バンカー率15.8%,難易度1位/18ホール中 平均スコア6.67 平均パット数1.98 パーオン率17.0% フェアウェイ率56.0% OB率38.8% バンカー率15.8%,難易度12位/18ホール中 平均スコア4.2 平均パット数2.01 パーオン率23.5% フェアウェイ率- OB率33.5% バンカー率11.3%,難易度12位/18ホール中 平均スコア4.2 平均パット数2.01 パーオン率23.5% フェアウェイ率- OB率33.5% バンカー率11.3%,難易度12位/18ホール中 平均スコア4.2 平均パット数2.01 パーオン率23.5% フェアウェイ率- OB率33.5% バンカー率11.3%,難易度11位/18ホール中 平均スコア5.23 平均パット数1.93 パーオン率27.5% フェアウェイ率39.0% OB率46.5% バンカー率14.8%,難易度11位/18ホール中 平均スコア5.23 平均パット数1.93 パーオン率27.5% フェアウェイ率39.0% OB率46.5% バンカー率14.8%,難易度11位/18ホール中 平均スコア5.23 平均パット数1.93 パーオン率27.5% フェアウェイ率39.0% OB率46.5% バンカー率14.8%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：333yd,Hdcp：18,PAR：4,Reg.：336yd,Hdcp：14,PAR：4,Reg.：320yd,Hdcp：10
5,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,ミドルホール　奥が左グリーン,ミドルホール　奥が左グリーン,ミドルホール　奥が左グリーン
6,難易度13位/18ホール中 平均スコア5.04 平均パット数1.9 パーオン率30.8% フェアウェイ率38.8% OB率30.5% バンカー率25.0%,難易度13位/18ホール中 平均スコア5.04 平均パット数1.9 パーオン率30.8% フェアウェイ率38.8% OB率30.5% バンカー率25.0%,難易度13位/18ホール中 平均スコア5.04 平均パット数1.9 パーオン率30.8% フェアウェイ率38.8% OB率30.5% バンカー率25.0%,難易度9位/18ホール中 平均スコア5.32 平均パット数1.98 パーオン率22.3% フェアウェイ率54.8% OB率36.8% バンカー率12.3%,難易度9位/18ホール中 平均スコア5.32 平均パット数1.98 パーオン率22.3% フェアウェイ率54.8% OB率36.8% バンカー率12.3%,難易度9位/18ホール中 平均スコア5.32 平均パット数1.98 パーオン率22.3% フェアウェイ率54.8% OB率36.8% バンカー率12.3%,難易度5位/18ホール中 平均スコア5.38 平均パット数1.9 パーオン率21.0% フェアウェイ率52.8% OB率42.3% バンカー率17.3%,難易度5位/18ホール中 平均スコア5.38 平均パット数1.9 パーオン率21.0% フェアウェイ率52.8% OB率42.3% バンカー率17.3%,難易度5位/18ホール中 平均スコア5.38 平均パット数1.9 パーオン率21.0% フェアウェイ率52.8% OB率42.3% バンカー率17.3%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：385yd,Hdcp：2,PAR：5,Reg.：480yd,Hdcp：4,PAR：3,Reg.：161yd,Hdcp：6
9,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,ロングホール,ロングホール,ロングホール,池越えのショートホール,池越えのショートホール,池越えのショートホール
10,難易度3位/18ホール中 平均スコア5.65 平均パット数1.97 パーオン率7.3% フェアウェイ率62.3% OB率30.0% バンカー率8.0%,難易度3位/18ホール中 平均スコア5.65 平均パット数1.97 パーオン率7.3% フェアウェイ率62.3% OB率30.0% バンカー率8.0%,難易度3位/18ホール中 平均スコア5.65 平均パット数1.97 パーオン率7.3% フェアウェイ率62.3% OB率30.0% バンカー率8.0%,難易度4位/18ホール中 平均スコア6.4 平均パット数1.96 パーオン率26.0% フェアウェイ率44.5% OB率33.5% バンカー率15.5%,難易度4位/18ホール中 平均スコア6.4 平均パット数1.96 パーオン率26.0% フェアウェイ率44.5% OB率33.5% バンカー率15.5%,難易度4位/18ホール中 平均スコア6.4 平均パット数1.96 パーオン率26.0% フェアウェイ率44.5% OB率33.5% バンカー率15.5%,難易度18位/18ホール中 平均スコア4.05 平均パット数2.02 パーオン率30.0% フェアウェイ率- OB率31.5% バンカー率2.7%,難易度18位/18ホール中 平均スコア4.05 平均パット数2.02 パーオン率30.0% フェアウェイ率- OB率31.5% バンカー率2.7%,難易度18位/18ホール中 平均スコア4.05 平均パット数2.02 パーオン率30.0% フェアウェイ率- OB率31.5% バンカー率2.7%
