,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：338yd,Hdcp：4,PAR：4,Reg.：319yd,Hdcp：6,PAR：5,Reg.：490yd,Hdcp：3
1,ホールを横切るクリークまで約２００Ｙ,ホールを横切るクリークまで約２００Ｙ,ホールを横切るクリークまで約２００Ｙ,右GはOBが近く、両Gともやや左から攻めていこう,右GはOBが近く、両Gともやや左から攻めていこう,右GはOBが近く、両Gともやや左から攻めていこう,ＦＷセンター狙いで左はカート道を越えるとOB,ＦＷセンター狙いで左はカート道を越えるとOB,ＦＷセンター狙いで左はカート道を越えるとOB
2,難易度3位/9ホール中 平均スコア5.44 平均パット数2.02 パーオン率16.3% フェアウェイ率59.0% OB率22.0% バンカー率16.0%,難易度3位/9ホール中 平均スコア5.44 平均パット数2.02 パーオン率16.3% フェアウェイ率59.0% OB率22.0% バンカー率16.0%,難易度3位/9ホール中 平均スコア5.44 平均パット数2.02 パーオン率16.3% フェアウェイ率59.0% OB率22.0% バンカー率16.0%,難易度7位/9ホール中 平均スコア5.05 平均パット数1.92 パーオン率28.5% フェアウェイ率65.3% OB率20.0% バンカー率10.3%,難易度7位/9ホール中 平均スコア5.05 平均パット数1.92 パーオン率28.5% フェアウェイ率65.3% OB率20.0% バンカー率10.3%,難易度7位/9ホール中 平均スコア5.05 平均パット数1.92 パーオン率28.5% フェアウェイ率65.3% OB率20.0% バンカー率10.3%,難易度4位/9ホール中 平均スコア6.17 平均パット数1.94 パーオン率32.5% フェアウェイ率61.3% OB率33.0% バンカー率18.3%,難易度4位/9ホール中 平均スコア6.17 平均パット数1.94 パーオン率32.5% フェアウェイ率61.3% OB率33.0% バンカー率18.3%,難易度4位/9ホール中 平均スコア6.17 平均パット数1.94 パーオン率32.5% フェアウェイ率61.3% OB率33.0% バンカー率18.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：146yd,Hdcp：9,PAR：4,Reg.：392yd,Hdcp：1,PAR：4,Reg.：304yd,Hdcp：8
5,カート道より右はすぐＯＢ　奥が右（Ｒ）グリーン,カート道より右はすぐＯＢ　奥が右（Ｒ）グリーン,カート道より右はすぐＯＢ　奥が右（Ｒ）グリーン,ＦＷが左から右へ傾斜　２打目は１５Ｙ打上げで,ＦＷが左から右へ傾斜　２打目は１５Ｙ打上げで,ＦＷが左から右へ傾斜　２打目は１５Ｙ打上げで,１打目ＢＧ狙い　セカンドは左サイドからが安全,１打目ＢＧ狙い　セカンドは左サイドからが安全,１打目ＢＧ狙い　セカンドは左サイドからが安全
6,難易度8位/9ホール中 平均スコア4.05 平均パット数1.96 パーオン率26.8% フェアウェイ率- OB率21.5% バンカー率18.8%,難易度8位/9ホール中 平均スコア4.05 平均パット数1.96 パーオン率26.8% フェアウェイ率- OB率21.5% バンカー率18.8%,難易度8位/9ホール中 平均スコア4.05 平均パット数1.96 パーオン率26.8% フェアウェイ率- OB率21.5% バンカー率18.8%,難易度1位/9ホール中 平均スコア5.62 平均パット数1.93 パーオン率10.8% フェアウェイ率55.5% OB率26.8% バンカー率1.8%,難易度1位/9ホール中 平均スコア5.62 平均パット数1.93 パーオン率10.8% フェアウェイ率55.5% OB率26.8% バンカー率1.8%,難易度1位/9ホール中 平均スコア5.62 平均パット数1.93 パーオン率10.8% フェアウェイ率55.5% OB率26.8% バンカー率1.8%,難易度5位/9ホール中 平均スコア5.2 平均パット数1.86 パーオン率21.8% フェアウェイ率50.8% OB率14.5% バンカー率34.3%,難易度5位/9ホール中 平均スコア5.2 平均パット数1.86 パーオン率21.8% フェアウェイ率50.8% OB率14.5% バンカー率34.3%,難易度5位/9ホール中 平均スコア5.2 平均パット数1.86 パーオン率21.8% フェアウェイ率50.8% OB率14.5% バンカー率34.3%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：438yd,Hdcp：2,PAR：3,Reg.：167yd,Hdcp：8,PAR：5,Reg.：484yd,Hdcp：5
9,１打目はバンカーの左狙い　２打目は打ち上げ１５Ｙ,１打目はバンカーの左狙い　２打目は打ち上げ１５Ｙ,１打目はバンカーの左狙い　２打目は打ち上げ１５Ｙ,右Ｇの右サイドは崖あり　手前が左（Ｌ）グリーン,右Ｇの右サイドは崖あり　手前が左（Ｌ）グリーン,右Ｇの右サイドは崖あり　手前が左（Ｌ）グリーン,左ＯＢが近く右目狙い　２打目は打ち上げ,左ＯＢが近く右目狙い　２打目は打ち上げ,左ＯＢが近く右目狙い　２打目は打ち上げ
