,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：341yd,Hdcp：12,PAR：3,Reg.：185yd,Hdcp：18,PAR：4,Reg.：410yd,Hdcp：6
1,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,長いショートホール,長いショートホール,長いショートホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
2,難易度15位/18ホール中 平均スコア5.11 平均パット数2.03 パーオン率33.5% フェアウェイ率50.5% OB率26.0% バンカー率22.3%,難易度15位/18ホール中 平均スコア5.11 平均パット数2.03 パーオン率33.5% フェアウェイ率50.5% OB率26.0% バンカー率22.3%,難易度15位/18ホール中 平均スコア5.11 平均パット数2.03 パーオン率33.5% フェアウェイ率50.5% OB率26.0% バンカー率22.3%,難易度16位/18ホール中 平均スコア4.05 平均パット数1.93 パーオン率21.5% フェアウェイ率- OB率16.5% バンカー率27.3%,難易度16位/18ホール中 平均スコア4.05 平均パット数1.93 パーオン率21.5% フェアウェイ率- OB率16.5% バンカー率27.3%,難易度16位/18ホール中 平均スコア4.05 平均パット数1.93 パーオン率21.5% フェアウェイ率- OB率16.5% バンカー率27.3%,難易度4位/18ホール中 平均スコア5.52 平均パット数2.01 パーオン率16.5% フェアウェイ率45.8% OB率45.5% バンカー率19.8%,難易度4位/18ホール中 平均スコア5.52 平均パット数2.01 パーオン率16.5% フェアウェイ率45.8% OB率45.5% バンカー率19.8%,難易度4位/18ホール中 平均スコア5.52 平均パット数2.01 パーオン率16.5% フェアウェイ率45.8% OB率45.5% バンカー率19.8%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：357yd,Hdcp：14,PAR：4,Reg.：385yd,Hdcp：8,PAR：5,Reg.：478yd,Hdcp：2
5,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,長いミドルホール,長いミドルホール,長いミドルホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール
6,難易度8位/18ホール中 平均スコア5.31 平均パット数2.02 パーオン率25.3% フェアウェイ率49.3% OB率27.3% バンカー率23.5%,難易度8位/18ホール中 平均スコア5.31 平均パット数2.02 パーオン率25.3% フェアウェイ率49.3% OB率27.3% バンカー率23.5%,難易度8位/18ホール中 平均スコア5.31 平均パット数2.02 パーオン率25.3% フェアウェイ率49.3% OB率27.3% バンカー率23.5%,難易度10位/18ホール中 平均スコア5.28 平均パット数1.97 パーオン率23.3% フェアウェイ率43.3% OB率17.3% バンカー率24.8%,難易度10位/18ホール中 平均スコア5.28 平均パット数1.97 パーオン率23.3% フェアウェイ率43.3% OB率17.3% バンカー率24.8%,難易度10位/18ホール中 平均スコア5.28 平均パット数1.97 パーオン率23.3% フェアウェイ率43.3% OB率17.3% バンカー率24.8%,難易度7位/18ホール中 平均スコア6.31 平均パット数2.03 パーオン率27.8% フェアウェイ率44.8% OB率13.0% バンカー率25.0%,難易度7位/18ホール中 平均スコア6.31 平均パット数2.03 パーオン率27.8% フェアウェイ率44.8% OB率13.0% バンカー率25.0%,難易度7位/18ホール中 平均スコア6.31 平均パット数2.03 パーオン率27.8% フェアウェイ率44.8% OB率13.0% バンカー率25.0%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：3,Reg.：210yd,Hdcp：16,PAR：4,Reg.：430yd,Hdcp：4,PAR：5,Reg.：475yd,Hdcp：10
9,短いショートホール,短いショートホール,短いショートホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール
10,難易度18位/18ホール中 平均スコア3.91 平均パット数2.11 パーオン率39.0% フェアウェイ率- OB率4.0% バンカー率24.5%,難易度18位/18ホール中 平均スコア3.91 平均パット数2.11 パーオン率39.0% フェアウェイ率- OB率4.0% バンカー率24.5%,難易度18位/18ホール中 平均スコア3.91 平均パット数2.11 パーオン率39.0% フェアウェイ率- OB率4.0% バンカー率24.5%,難易度1位/18ホール中 平均スコア5.79 平均パット数1.99 パーオン率5.8% フェアウェイ率42.5% OB率36.0% バンカー率15.3%,難易度1位/18ホール中 平均スコア5.79 平均パット数1.99 パーオン率5.8% フェアウェイ率42.5% OB率36.0% バンカー率15.3%,難易度1位/18ホール中 平均スコア5.79 平均パット数1.99 パーオン率5.8% フェアウェイ率42.5% OB率36.0% バンカー率15.3%,難易度11位/18ホール中 平均スコア6.21 平均パット数2.08 パーオン率39.8% フェアウェイ率48.5% OB率24.0% バンカー率8.3%,難易度11位/18ホール中 平均スコア6.21 平均パット数2.08 パーオン率39.8% フェアウェイ率48.5% OB率24.0% バンカー率8.3%,難易度11位/18ホール中 平均スコア6.21 平均パット数2.08 パーオン率39.8% フェアウェイ率48.5% OB率24.0% バンカー率8.3%
