,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：374yd,Hdcp：5,PAR：4,Reg.：334yd,Hdcp：8,PAR：4,Reg.：366yd,Hdcp：2
1,左ドッグレッグミドル　第１打はＦＷ中央桜の木狙い,左ドッグレッグミドル　第１打はＦＷ中央桜の木狙い,左ドッグレッグミドル　第１打はＦＷ中央桜の木狙い,右ドッグレッグのミドルホール　第１打はＦＷ左狙い,右ドッグレッグのミドルホール　第１打はＦＷ左狙い,右ドッグレッグのミドルホール　第１打はＦＷ左狙い,真っ直ぐなミドルホール　第１打はＦＷ右狙い,真っ直ぐなミドルホール　第１打はＦＷ右狙い,真っ直ぐなミドルホール　第１打はＦＷ右狙い
2,難易度6位/9ホール中 平均スコア5.21 平均パット数1.98 パーオン率23.3% フェアウェイ率59.3% OB率4.0% バンカー率1.7%,難易度6位/9ホール中 平均スコア5.21 平均パット数1.98 パーオン率23.3% フェアウェイ率59.3% OB率4.0% バンカー率1.7%,難易度6位/9ホール中 平均スコア5.21 平均パット数1.98 パーオン率23.3% フェアウェイ率59.3% OB率4.0% バンカー率1.7%,難易度5位/9ホール中 平均スコア5.24 平均パット数2.08 パーオン率25.5% フェアウェイ率59.3% OB率3.0% バンカー率10.0%,難易度5位/9ホール中 平均スコア5.24 平均パット数2.08 パーオン率25.5% フェアウェイ率59.3% OB率3.0% バンカー率10.0%,難易度5位/9ホール中 平均スコア5.24 平均パット数2.08 パーオン率25.5% フェアウェイ率59.3% OB率3.0% バンカー率10.0%,難易度3位/9ホール中 平均スコア5.43 平均パット数2.03 パーオン率17.0% フェアウェイ率54.5% OB率4.0% バンカー率8.8%,難易度3位/9ホール中 平均スコア5.43 平均パット数2.03 パーオン率17.0% フェアウェイ率54.5% OB率4.0% バンカー率8.8%,難易度3位/9ホール中 平均スコア5.43 平均パット数2.03 パーオン率17.0% フェアウェイ率54.5% OB率4.0% バンカー率8.8%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：5,Reg.：514yd,Hdcp：7,PAR：3,Reg.：178yd,Hdcp：4,PAR：5,Reg.：496yd,Hdcp：1
5,右ドッグレッグのロングホール　第１打はＦＷ左狙い,右ドッグレッグのロングホール　第１打はＦＷ左狙い,右ドッグレッグのロングホール　第１打はＦＷ左狙い,長いショートホール,長いショートホール,長いショートホール,谷越えの真っ直ぐなロングホール,谷越えの真っ直ぐなロングホール,谷越えの真っ直ぐなロングホール
6,難易度4位/9ホール中 平均スコア6.3 平均パット数2.06 パーオン率27.3% フェアウェイ率53.8% OB率7.5% バンカー率2.3%,難易度4位/9ホール中 平均スコア6.3 平均パット数2.06 パーオン率27.3% フェアウェイ率53.8% OB率7.5% バンカー率2.3%,難易度4位/9ホール中 平均スコア6.3 平均パット数2.06 パーオン率27.3% フェアウェイ率53.8% OB率7.5% バンカー率2.3%,難易度8位/9ホール中 平均スコア3.95 平均パット数1.94 パーオン率30.0% フェアウェイ率- OB率7.7% バンカー率1.0%,難易度8位/9ホール中 平均スコア3.95 平均パット数1.94 パーオン率30.0% フェアウェイ率- OB率7.7% バンカー率1.0%,難易度8位/9ホール中 平均スコア3.95 平均パット数1.94 パーオン率30.0% フェアウェイ率- OB率7.7% バンカー率1.0%,難易度2位/9ホール中 平均スコア6.56 平均パット数2.08 パーオン率21.3% フェアウェイ率54.5% OB率31.8% バンカー率1.0%,難易度2位/9ホール中 平均スコア6.56 平均パット数2.08 パーオン率21.3% フェアウェイ率54.5% OB率31.8% バンカー率1.0%,難易度2位/9ホール中 平均スコア6.56 平均パット数2.08 パーオン率21.3% フェアウェイ率54.5% OB率31.8% バンカー率1.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：155yd,Hdcp：9,PAR：4,Reg.：345yd,Hdcp：3,PAR：4,Reg.：312yd,Hdcp：6
9,長いショートホール　正確な距離と方向性がポイント,長いショートホール　正確な距離と方向性がポイント,長いショートホール　正確な距離と方向性がポイント,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,真っ直ぐなミドルホール　第１打はＦＷ中央の木狙い,真っ直ぐなミドルホール　第１打はＦＷ中央の木狙い,真っ直ぐなミドルホール　第１打はＦＷ中央の木狙い
