,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：356yd,Hdcp：10,PAR：5,Reg.：505yd,Hdcp：8,PAR：3,Reg.：132yd,Hdcp：18
1,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール,短いショートホール手前がＬ（左）グリーン,短いショートホール手前がＬ（左）グリーン,短いショートホール手前がＬ（左）グリーン
2,難易度9位/18ホール中 平均スコア5.42 平均パット数1.96 パーオン率13.3% フェアウェイ率49.5% OB率15.8% バンカー率11.0%,難易度9位/18ホール中 平均スコア5.42 平均パット数1.96 パーオン率13.3% フェアウェイ率49.5% OB率15.8% バンカー率11.0%,難易度9位/18ホール中 平均スコア5.42 平均パット数1.96 パーオン率13.3% フェアウェイ率49.5% OB率15.8% バンカー率11.0%,難易度4位/18ホール中 平均スコア6.54 平均パット数2.03 パーオン率21.5% フェアウェイ率59.0% OB率28.3% バンカー率9.3%,難易度4位/18ホール中 平均スコア6.54 平均パット数2.03 パーオン率21.5% フェアウェイ率59.0% OB率28.3% バンカー率9.3%,難易度4位/18ホール中 平均スコア6.54 平均パット数2.03 パーオン率21.5% フェアウェイ率59.0% OB率28.3% バンカー率9.3%,難易度18位/18ホール中 平均スコア3.95 平均パット数1.87 パーオン率27.8% フェアウェイ率- OB率21.3% バンカー率6.5%,難易度18位/18ホール中 平均スコア3.95 平均パット数1.87 パーオン率27.8% フェアウェイ率- OB率21.3% バンカー率6.5%,難易度18位/18ホール中 平均スコア3.95 平均パット数1.87 パーオン率27.8% フェアウェイ率- OB率21.3% バンカー率6.5%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：359yd,Hdcp：14,PAR：4,Reg.：345yd,Hdcp：6,PAR：5,Reg.：472yd,Hdcp：2
5,Ｓ字のミドルホール手前がＬ（左）グリーン,Ｓ字のミドルホール手前がＬ（左）グリーン,Ｓ字のミドルホール手前がＬ（左）グリーン,短いミドルホール,短いミドルホール,短いミドルホール,長いミドルホール　奥がＬ（左）グリーン,長いミドルホール　奥がＬ（左）グリーン,長いミドルホール　奥がＬ（左）グリーン
6,難易度13位/18ホール中 平均スコア5.18 平均パット数1.95 パーオン率27.8% フェアウェイ率53.3% OB率36.3% バンカー率8.8%,難易度13位/18ホール中 平均スコア5.18 平均パット数1.95 パーオン率27.8% フェアウェイ率53.3% OB率36.3% バンカー率8.8%,難易度13位/18ホール中 平均スコア5.18 平均パット数1.95 パーオン率27.8% フェアウェイ率53.3% OB率36.3% バンカー率8.8%,難易度7位/18ホール中 平均スコア5.44 平均パット数2.05 パーオン率25.0% フェアウェイ率55.5% OB率44.8% バンカー率14.8%,難易度7位/18ホール中 平均スコア5.44 平均パット数2.05 パーオン率25.0% フェアウェイ率55.5% OB率44.8% バンカー率14.8%,難易度7位/18ホール中 平均スコア5.44 平均パット数2.05 パーオン率25.0% フェアウェイ率55.5% OB率44.8% バンカー率14.8%,難易度14位/18ホール中 平均スコア6.09 平均パット数1.95 パーオン率32.5% フェアウェイ率56.8% OB率27.8% バンカー率30.3%,難易度14位/18ホール中 平均スコア6.09 平均パット数1.95 パーオン率32.5% フェアウェイ率56.8% OB率27.8% バンカー率30.3%,難易度14位/18ホール中 平均スコア6.09 平均パット数1.95 パーオン率32.5% フェアウェイ率56.8% OB率27.8% バンカー率30.3%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：3,Reg.：172yd,Hdcp：4,PAR：4,Reg.：375yd,Hdcp：12,PAR：4,Reg.：372yd,Hdcp：16
9,長いショートホール,長いショートホール,長いショートホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール
10,難易度15位/18ホール中 平均スコア4.07 平均パット数1.92 パーオン率19.0% フェアウェイ率- OB率25.8% バンカー率22.5%,難易度15位/18ホール中 平均スコア4.07 平均パット数1.92 パーオン率19.0% フェアウェイ率- OB率25.8% バンカー率22.5%,難易度15位/18ホール中 平均スコア4.07 平均パット数1.92 パーオン率19.0% フェアウェイ率- OB率25.8% バンカー率22.5%,難易度5位/18ホール中 平均スコア5.52 平均パット数2.02 パーオン率12.8% フェアウェイ率51.5% OB率22.3% バンカー率21.5%,難易度5位/18ホール中 平均スコア5.52 平均パット数2.02 パーオン率12.8% フェアウェイ率51.5% OB率22.3% バンカー率21.5%,難易度5位/18ホール中 平均スコア5.52 平均パット数2.02 パーオン率12.8% フェアウェイ率51.5% OB率22.3% バンカー率21.5%,難易度1位/18ホール中 平均スコア5.82 平均パット数1.93 パーオン率6.0% フェアウェイ率44.3% OB率36.5% バンカー率19.5%,難易度1位/18ホール中 平均スコア5.82 平均パット数1.93 パーオン率6.0% フェアウェイ率44.3% OB率36.5% バンカー率19.5%,難易度1位/18ホール中 平均スコア5.82 平均パット数1.93 パーオン率6.0% フェアウェイ率44.3% OB率36.5% バンカー率19.5%
