,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：380yd,Hdcp：12,PAR：4,Reg.：348yd,Hdcp：4,PAR：5,Reg.：528yd,Hdcp：8
1,長いミドルホール,長いミドルホール,長いミドルホール,長いミドルホール,長いミドルホール,長いミドルホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール
2,難易度8位/18ホール中 平均スコア5.44 平均パット数2 パーオン率16.0% フェアウェイ率49.8% OB率30.8% バンカー率18.3%,難易度8位/18ホール中 平均スコア5.44 平均パット数2 パーオン率16.0% フェアウェイ率49.8% OB率30.8% バンカー率18.3%,難易度8位/18ホール中 平均スコア5.44 平均パット数2 パーオン率16.0% フェアウェイ率49.8% OB率30.8% バンカー率18.3%,難易度5位/18ホール中 平均スコア5.53 平均パット数2.03 パーオン率18.3% フェアウェイ率52.8% OB率56.3% バンカー率17.0%,難易度5位/18ホール中 平均スコア5.53 平均パット数2.03 パーオン率18.3% フェアウェイ率52.8% OB率56.3% バンカー率17.0%,難易度5位/18ホール中 平均スコア5.53 平均パット数2.03 パーオン率18.3% フェアウェイ率52.8% OB率56.3% バンカー率17.0%,難易度2位/18ホール中 平均スコア6.66 平均パット数1.98 パーオン率21.5% フェアウェイ率46.5% OB率63.3% バンカー率14.3%,難易度2位/18ホール中 平均スコア6.66 平均パット数1.98 パーオン率21.5% フェアウェイ率46.5% OB率63.3% バンカー率14.3%,難易度2位/18ホール中 平均スコア6.66 平均パット数1.98 パーオン率21.5% フェアウェイ率46.5% OB率63.3% バンカー率14.3%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：390yd,Hdcp：2,PAR：3,Reg.：160yd,Hdcp：16,PAR：4,Reg.：350yd,Hdcp：6
5,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,谷越えのショートホール,谷越えのショートホール,谷越えのショートホール,谷越えのミドルホール,谷越えのミドルホール,谷越えのミドルホール
6,難易度4位/18ホール中 平均スコア5.58 平均パット数2.04 パーオン率14.0% フェアウェイ率57.3% OB率41.0% バンカー率19.3%,難易度4位/18ホール中 平均スコア5.58 平均パット数2.04 パーオン率14.0% フェアウェイ率57.3% OB率41.0% バンカー率19.3%,難易度4位/18ホール中 平均スコア5.58 平均パット数2.04 パーオン率14.0% フェアウェイ率57.3% OB率41.0% バンカー率19.3%,難易度16位/18ホール中 平均スコア4.17 平均パット数2.01 パーオン率28.0% フェアウェイ率- OB率46.3% バンカー率16.0%,難易度16位/18ホール中 平均スコア4.17 平均パット数2.01 パーオン率28.0% フェアウェイ率- OB率46.3% バンカー率16.0%,難易度16位/18ホール中 平均スコア4.17 平均パット数2.01 パーオン率28.0% フェアウェイ率- OB率46.3% バンカー率16.0%,難易度7位/18ホール中 平均スコア5.46 平均パット数2.03 パーオン率22.8% フェアウェイ率49.5% OB率56.5% バンカー率20.3%,難易度7位/18ホール中 平均スコア5.46 平均パット数2.03 パーオン率22.8% フェアウェイ率49.5% OB率56.5% バンカー率20.3%,難易度7位/18ホール中 平均スコア5.46 平均パット数2.03 パーオン率22.8% フェアウェイ率49.5% OB率56.5% バンカー率20.3%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：315yd,Hdcp：10,PAR：3,Reg.：166yd,Hdcp：18,PAR：5,Reg.：515yd,Hdcp：14
9,短いミドルホール,短いミドルホール,短いミドルホール,長いショートホール,長いショートホール,長いショートホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール
10,難易度17位/18ホール中 平均スコア5.07 平均パット数1.96 パーオン率29.8% フェアウェイ率60.5% OB率21.3% バンカー率36.8%,難易度17位/18ホール中 平均スコア5.07 平均パット数1.96 パーオン率29.8% フェアウェイ率60.5% OB率21.3% バンカー率36.8%,難易度17位/18ホール中 平均スコア5.07 平均パット数1.96 パーオン率29.8% フェアウェイ率60.5% OB率21.3% バンカー率36.8%,難易度14位/18ホール中 平均スコア4.23 平均パット数2.21 パーオン率22.5% フェアウェイ率- OB率15.3% バンカー率26.5%,難易度14位/18ホール中 平均スコア4.23 平均パット数2.21 パーオン率22.5% フェアウェイ率- OB率15.3% バンカー率26.5%,難易度14位/18ホール中 平均スコア4.23 平均パット数2.21 パーオン率22.5% フェアウェイ率- OB率15.3% バンカー率26.5%,難易度10位/18ホール中 平均スコア6.33 平均パット数2.05 パーオン率29.3% フェアウェイ率57.8% OB率33.0% バンカー率21.5%,難易度10位/18ホール中 平均スコア6.33 平均パット数2.05 パーオン率29.3% フェアウェイ率57.8% OB率33.0% バンカー率21.5%,難易度10位/18ホール中 平均スコア6.33 平均パット数2.05 パーオン率29.3% フェアウェイ率57.8% OB率33.0% バンカー率21.5%
