,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：378yd,Hdcp：3,PAR：5,Reg.：461yd,Hdcp：4,PAR：4,Reg.：350yd,Hdcp：7
1,グリーンまで打ち上げが続く長いミドルホール,グリーンまで打ち上げが続く長いミドルホール,グリーンまで打ち上げが続く長いミドルホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
2,難易度1位/9ホール中 平均スコア5.83 平均パット数2.12 パーオン率6.0% フェアウェイ率59.0% OB率28.0% バンカー率38.3%,難易度1位/9ホール中 平均スコア5.83 平均パット数2.12 パーオン率6.0% フェアウェイ率59.0% OB率28.0% バンカー率38.3%,難易度1位/9ホール中 平均スコア5.83 平均パット数2.12 パーオン率6.0% フェアウェイ率59.0% OB率28.0% バンカー率38.3%,難易度7位/9ホール中 平均スコア6.05 平均パット数2.03 パーオン率39.0% フェアウェイ率53.5% OB率19.0% バンカー率42.0%,難易度7位/9ホール中 平均スコア6.05 平均パット数2.03 パーオン率39.0% フェアウェイ率53.5% OB率19.0% バンカー率42.0%,難易度7位/9ホール中 平均スコア6.05 平均パット数2.03 パーオン率39.0% フェアウェイ率53.5% OB率19.0% バンカー率42.0%,難易度5位/9ホール中 平均スコア5.34 平均パット数2.03 パーオン率23.0% フェアウェイ率52.5% OB率26.8% バンカー率30.3%,難易度5位/9ホール中 平均スコア5.34 平均パット数2.03 パーオン率23.0% フェアウェイ率52.5% OB率26.8% バンカー率30.3%,難易度5位/9ホール中 平均スコア5.34 平均パット数2.03 パーオン率23.0% フェアウェイ率52.5% OB率26.8% バンカー率30.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：5,Reg.：539yd,Hdcp：1,PAR：3,Reg.：138yd,Hdcp：8,PAR：4,Reg.：371yd,Hdcp：2
5,左ドッグレッグで距離のあるロングホール,左ドッグレッグで距離のあるロングホール,左ドッグレッグで距離のあるロングホール,谷越えのショートホール,谷越えのショートホール,谷越えのショートホール,セカンド地点から右へ打ち上げのミドルホール,セカンド地点から右へ打ち上げのミドルホール,セカンド地点から右へ打ち上げのミドルホール
6,難易度3位/9ホール中 平均スコア6.66 平均パット数2.08 パーオン率16.5% フェアウェイ率50.5% OB率36.5% バンカー率29.0%,難易度3位/9ホール中 平均スコア6.66 平均パット数2.08 パーオン率16.5% フェアウェイ率50.5% OB率36.5% バンカー率29.0%,難易度3位/9ホール中 平均スコア6.66 平均パット数2.08 パーオン率16.5% フェアウェイ率50.5% OB率36.5% バンカー率29.0%,難易度9位/9ホール中 平均スコア3.89 平均パット数2.03 パーオン率40.0% フェアウェイ率- OB率22.5% バンカー率31.5%,難易度9位/9ホール中 平均スコア3.89 平均パット数2.03 パーオン率40.0% フェアウェイ率- OB率22.5% バンカー率31.5%,難易度9位/9ホール中 平均スコア3.89 平均パット数2.03 パーオン率40.0% フェアウェイ率- OB率22.5% バンカー率31.5%,難易度2位/9ホール中 平均スコア5.78 平均パット数2.08 パーオン率8.0% フェアウェイ率48.5% OB率41.3% バンカー率26.0%,難易度2位/9ホール中 平均スコア5.78 平均パット数2.08 パーオン率8.0% フェアウェイ率48.5% OB率41.3% バンカー率26.0%,難易度2位/9ホール中 平均スコア5.78 平均パット数2.08 パーオン率8.0% フェアウェイ率48.5% OB率41.3% バンカー率26.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：384yd,Hdcp：6,PAR：3,Reg.：182yd,Hdcp：9,PAR：4,Reg.：395yd,Hdcp：5
9,約５０ｍの豪快な打ち下ろしミドルホール,約５０ｍの豪快な打ち下ろしミドルホール,約５０ｍの豪快な打ち下ろしミドルホール,フラットなショートホール,フラットなショートホール,フラットなショートホール,ストレートなミドルホール,ストレートなミドルホール,ストレートなミドルホール
10,難易度4位/9ホール中 平均スコア5.42 平均パット数2.12 パーオン率26.8% フェアウェイ率44.0% OB率42.5% バンカー率28.8%,難易度4位/9ホール中 平均スコア5.42 平均パット数2.12 パーオン率26.8% フェアウェイ率44.0% OB率42.5% バンカー率28.8%,難易度4位/9ホール中 平均スコア5.42 平均パット数2.12 パーオン率26.8% フェアウェイ率44.0% OB率42.5% バンカー率28.8%,難易度8位/9ホール中 平均スコア4.09 平均パット数2.07 パーオン率27.3% フェアウェイ率- OB率11.0% バンカー率47.3%,難易度8位/9ホール中 平均スコア4.09 平均パット数2.07 パーオン率27.3% フェアウェイ率- OB率11.0% バンカー率47.3%,難易度8位/9ホール中 平均スコア4.09 平均パット数2.07 パーオン率27.3% フェアウェイ率- OB率11.0% バンカー率47.3%,難易度6位/9ホール中 平均スコア5.27 平均パット数2.06 パーオン率26.3% フェアウェイ率51.8% OB率23.0% バンカー率27.8%,難易度6位/9ホール中 平均スコア5.27 平均パット数2.06 パーオン率26.3% フェアウェイ率51.8% OB率23.0% バンカー率27.8%,難易度6位/9ホール中 平均スコア5.27 平均パット数2.06 パーオン率26.3% フェアウェイ率51.8% OB率23.0% バンカー率27.8%
