,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：390yd,Hdcp：1,PAR：4,Reg.：237yd,Hdcp：17,PAR：3,Reg.：190yd,Hdcp：11
1,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,1オンも可能なミドルホール,1オンも可能なミドルホール,1オンも可能なミドルホール,長いショートホール,長いショートホール,長いショートホール
2,難易度5位/18ホール中 平均スコア5.63 平均パット数2.1 パーオン率20.0% フェアウェイ率46.3% OB率31.3% バンカー率6.3%,難易度5位/18ホール中 平均スコア5.63 平均パット数2.1 パーオン率20.0% フェアウェイ率46.3% OB率31.3% バンカー率6.3%,難易度5位/18ホール中 平均スコア5.63 平均パット数2.1 パーオン率20.0% フェアウェイ率46.3% OB率31.3% バンカー率6.3%,難易度16位/18ホール中 平均スコア4.81 平均パット数1.93 パーオン率41.0% フェアウェイ率54.3% OB率13.8% バンカー率31.0%,難易度16位/18ホール中 平均スコア4.81 平均パット数1.93 パーオン率41.0% フェアウェイ率54.3% OB率13.8% バンカー率31.0%,難易度16位/18ホール中 平均スコア4.81 平均パット数1.93 パーオン率41.0% フェアウェイ率54.3% OB率13.8% バンカー率31.0%,難易度13位/18ホール中 平均スコア4.11 平均パット数1.9 パーオン率19.0% フェアウェイ率- OB率26.7% バンカー率29.5%,難易度13位/18ホール中 平均スコア4.11 平均パット数1.9 パーオン率19.0% フェアウェイ率- OB率26.7% バンカー率29.5%,難易度13位/18ホール中 平均スコア4.11 平均パット数1.9 パーオン率19.0% フェアウェイ率- OB率26.7% バンカー率29.5%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：5,Reg.：531yd,Hdcp：3,PAR：4,Reg.：306yd,Hdcp：15,PAR：5,Reg.：525yd,Hdcp：5
5,やや左ドッグレッグのロングホール,やや左ドッグレッグのロングホール,やや左ドッグレッグのロングホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール
6,難易度2位/18ホール中 平均スコア6.65 平均パット数2.01 パーオン率19.0% フェアウェイ率48.5% OB率36.0% バンカー率36.3%,難易度2位/18ホール中 平均スコア6.65 平均パット数2.01 パーオン率19.0% フェアウェイ率48.5% OB率36.0% バンカー率36.3%,難易度2位/18ホール中 平均スコア6.65 平均パット数2.01 パーオン率19.0% フェアウェイ率48.5% OB率36.0% バンカー率36.3%,難易度10位/18ホール中 平均スコア5.15 平均パット数2.04 パーオン率27.3% フェアウェイ率51.0% OB率18.0% バンカー率11.8%,難易度10位/18ホール中 平均スコア5.15 平均パット数2.04 パーオン率27.3% フェアウェイ率51.0% OB率18.0% バンカー率11.8%,難易度10位/18ホール中 平均スコア5.15 平均パット数2.04 パーオン率27.3% フェアウェイ率51.0% OB率18.0% バンカー率11.8%,難易度3位/18ホール中 平均スコア6.51 平均パット数2.06 パーオン率26.8% フェアウェイ率48.3% OB率33.0% バンカー率26.5%,難易度3位/18ホール中 平均スコア6.51 平均パット数2.06 パーオン率26.8% フェアウェイ率48.3% OB率33.0% バンカー率26.5%,難易度3位/18ホール中 平均スコア6.51 平均パット数2.06 パーオン率26.8% フェアウェイ率48.3% OB率33.0% バンカー率26.5%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：147yd,Hdcp：9,PAR：4,Reg.：287yd,Hdcp：13,PAR：3,Reg.：113yd,Hdcp：7
9,,,,,,,谷越えのショートホール,谷越えのショートホール,谷越えのショートホール
10,難易度12位/18ホール中 平均スコア4.12 平均パット数1.88 パーオン率21.3% フェアウェイ率- OB率35.8% バンカー率27.8%,難易度12位/18ホール中 平均スコア4.12 平均パット数1.88 パーオン率21.3% フェアウェイ率- OB率35.8% バンカー率27.8%,難易度12位/18ホール中 平均スコア4.12 平均パット数1.88 パーオン率21.3% フェアウェイ率- OB率35.8% バンカー率27.8%,難易度11位/18ホール中 平均スコア5.18 平均パット数1.94 パーオン率26.3% フェアウェイ率59.8% OB率32.0% バンカー率10.3%,難易度11位/18ホール中 平均スコア5.18 平均パット数1.94 パーオン率26.3% フェアウェイ率59.8% OB率32.0% バンカー率10.3%,難易度11位/18ホール中 平均スコア5.18 平均パット数1.94 パーオン率26.3% フェアウェイ率59.8% OB率32.0% バンカー率10.3%,難易度15位/18ホール中 平均スコア4.01 平均パット数2.13 パーオン率40.8% フェアウェイ率- OB率48.5% バンカー率7.7%,難易度15位/18ホール中 平均スコア4.01 平均パット数2.13 パーオン率40.8% フェアウェイ率- OB率48.5% バンカー率7.7%,難易度15位/18ホール中 平均スコア4.01 平均パット数2.13 パーオン率40.8% フェアウェイ率- OB率48.5% バンカー率7.7%
